date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,UBS SECURITIES HONG KONG LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIBANK N.A.,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHINA INDUSTRIAL SECURITIES,CMB INTERNATIONAL SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-03-01,12.146027974735029,4.000019051019171,2.789529850181702,0.6736219683900739,2.76558939462697,1.4568823451620712,4.089023622488457,0.0,0.0,0.0
2024-03-04,12.159775218550301,3.959812058355149,2.791155868267379,0.0,2.805689217917163,1.4565867055101298,4.087092726011715,0.0,0.0,0.0
2024-03-05,12.1628055249827,3.9388955529803,2.791451840513929,0.0,2.8016980826159554,1.4552563270763939,4.097587933655634,0.0,0.0,0.0
2024-03-06,12.165096732285246,3.925813498381895,2.7920431198178117,0.0,2.79450845887535,1.454812867598482,4.097440113829663,0.0,0.0,2.0738204361664763
2024-03-07,12.181578642880975,3.9045274434421184,2.7925604892087086,0.6728089593472353,2.77742418248879,1.4554041469023644,4.104905015041181,0.0,0.0,0.0
2024-03-08,12.189536892761671,3.929139444466235,2.7828786232022384,0.606290037660434,2.7849629936132945,1.4544433180335552,4.108746482768594,0.0,0.0,2.0735987064275205
2024-03-11,12.24139578320783,3.942591048629566,2.783248172767165,0.0,2.7423908837337416,1.454812867598482,4.113181077547714,0.0,0.0,0.0
2024-03-12,12.281898415523793,3.9417780395867275,2.7859828395476223,0.6063639475734194,2.6985826675144655,0.0,4.109483734150622,0.0,0.0,11.075857778439
2024-03-13,12.277907280222585,3.9410389404568744,2.7972171463213935,0.6060683079214779,2.685829512028846,1.4467566870830804,4.110592382845402,0.0,0.0,11.080661922783046
2024-03-14,12.278942019004381,3.951386328274821,0.0,0.6063639475734194,2.6557498404168567,1.452891209860863,4.110370653106447,0.0,0.0,11.079996733566178
2024-03-15,12.355715941117897,3.96232499539665,0.0,0.6124984703512021,2.666450406754004,1.451117371949215,4.095958220074306,0.0,0.0,11.08044019304409
