date,THE HONGKONG AND SHANGHAI BANKING,KINGSWAY FINANCIAL SERVICES GROUP LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,KGI ASIA LTD,BRIGHT SMART SECURITIES INTERNATIONAL,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,72.64096702588944,0.0,0.0,0.0,27.359032974110566,0.0,0.0,0.0
2024-03-07,48.005284601504414,33.92828637311872,0.0,0.0,18.066429025376856,0.0,0.0,0.0
2024-03-08,48.02645998425899,33.90845177530038,0.0,0.0,18.065088240440634,0.0,0.0,0.0
2024-03-11,48.02903130560675,33.906774200020855,0.0,0.0,18.064194494372387,0.0,0.0,0.0
2024-03-14,48.0166628901256,33.906774200020855,0.0,0.0,18.076562909853536,0.0,0.0,0.0
2024-03-18,48.04879059725767,33.88581850591086,0.0,0.0,18.065390896831467,0.0,0.0,0.0
2024-03-19,48.042852130168626,33.88163047504721,0.0,0.0,18.07551739478416,0.0,0.0,0.0
2024-03-20,45.61945563967921,32.156015346785,0.0,0.0,17.154918656462584,0.0,0.0,5.069610357073202
2024-03-21,45.6003127508847,32.167334818355194,0.0,0.0,17.160957483472917,0.0,0.0,5.071394947287193
2024-03-26,45.61052396842962,32.16129677530237,0.0,0.0,17.15773624675256,0.0,0.0,5.0704430095154605
2024-03-27,45.63603524885923,32.14621158013449,0.0,0.0,17.149688443154044,0.0,0.0,5.068064727852238
2024-03-28,45.6551530093063,32.13490696732556,0.0,0.0,17.143657543147047,0.0,0.0,5.066282480221094
2024-04-02,45.69970886991164,32.10856043191905,0.0,0.0,17.12960192503317,0.0,0.0,5.06212877313614
2024-04-03,45.71242569970753,32.10104078350638,0.0,0.0,17.125590266391594,0.0,0.0,5.060943250394491
2024-04-05,45.85571302732577,32.01631288017091,0.0,0.0,17.080388761355056,0.0,0.0,5.0475853311482695
2024-04-08,45.899940761198884,31.990160370925057,0.0,0.0,17.066436654294012,0.0,0.0,5.043462213582043
2024-04-10,45.93779277868666,31.967777916509405,0.0,0.0,17.054495834491195,0.0,0.0,5.039933470312747
2024-04-11,45.950398350015334,31.960324056864042,0.0,0.0,17.05051927351143,0.0,0.0,5.038758319609192
2024-04-12,45.98314534108939,31.94096027961751,0.0,0.0,17.040188888357555,0.0,0.0,5.035705490935539
2024-04-15,46.04860883360663,31.929799539205845,0.0,0.0,17.03423474286275,0.0,0.0,4.987356884324776
2024-04-16,46.08000984179419,31.911215627371845,0.0,0.0,17.02432040825403,0.0,0.0,4.9844541225799315
2024-04-17,46.11764283627794,31.888943468231034,0.0,0.0,17.01243842989807,0.0,0.0,4.980975265592956
2024-04-18,46.15522333614866,31.86670237673157,0.0,0.0,17.00057302582392,0.0,0.0,4.977501261295855
2024-04-19,46.208854509944985,31.85559346104042,0.0,0.0,16.994646528308976,0.0,0.0,4.94090550070562
2024-04-22,46.23921602005638,31.84449228791395,0.0,0.0,16.988724161376314,0.0,0.0,4.927567530653351
2024-04-23,46.28396941596037,31.817036856155244,0.0,0.0,16.975315399276088,0.0,0.0,4.923678328608294
2024-04-24,46.302667322127995,31.805961727125798,0.0,0.0,16.96940649552705,0.0,0.0,4.92196445521916
2024-04-25,46.333801589104084,31.787520302673965,0.0,0.0,16.959567458727456,0.0,0.0,4.91911064949449
2024-04-26,46.36241324472447,31.770573069390128,0.0,0.0,16.95052561641389,0.0,0.0,4.916488069471506
2024-04-29,46.381056589531774,31.75953025810258,0.0,0.0,16.94463395512097,0.0,0.0,4.914779197244679
2024-04-30,46.41210004732426,31.74114262167474,0.0,0.0,16.934823615798017,0.0,0.0,4.911933715202986
2024-05-02,46.46999648432571,31.68324618467329,0.0,0.0,16.934823615798017,0.0,0.0,4.911933715202986
2024-05-03,46.497255525144766,31.66711215059322,0.0,0.0,16.926199909130943,0.0,0.0,4.909432415131073
2024-05-07,46.520775092168215,31.653191429815706,0.0,0.0,16.918759227402884,0.0,0.0,4.907274250613194
2024-05-08,46.57940801746812,31.599607139925567,0.0,0.0,16.91484570610224,0.0,0.0,4.906139136504072
2024-05-09,46.60271862697501,31.584873852461893,0.0,0.0,16.908196873339694,0.0,0.0,4.904210647223403
2024-05-10,46.615062378954384,31.57757243487827,0.0,0.0,16.904288236359378,0.0,0.0,4.903076949807965
2024-05-13,46.62740042528753,31.5702743922252,0.0,0.0,16.90038140606635,0.0,0.0,4.901943776420911
2024-05-14,46.6535964506274,31.549116041465357,0.0,0.0,16.896476381208252,0.0,0.0,4.900811126698991
2024-05-16,46.69054971047706,31.527261846889175,0.0,0.0,16.88477212673718,0.0,0.0,4.897416315896582
2024-05-17,46.70285608964619,31.519983842026157,0.0,0.0,16.880874311118234,0.0,0.0,4.896285757209424
2024-05-20,46.727451810433635,31.50543790832458,0.0,0.0,16.873084076206162,0.0,0.0,4.894026205035626
2024-05-21,46.73974115991267,31.498169974837193,0.0,0.0,16.8691916544233,0.0,0.0,4.892897210826841
2024-05-22,46.734350627761884,31.483004184539087,0.0,0.0,16.890312278664858,0.0,0.0,4.892332909034171
2024-05-23,46.723573292766694,31.47574393852745,0.0,0.0,16.90947807285878,0.0,0.0,4.891204695847075
2024-05-24,46.70526322653452,31.463409202213295,0.0,0.0,16.94203964408577,0.0,0.0,4.889287927166415
2024-05-27,46.71172396396123,31.453928538008093,0.0,0.0,16.9443832358365,0.0,0.0,4.8899642621941775
2024-05-28,46.72400674109791,31.446678508113262,0.0,0.0,16.94047760971222,0.0,0.0,4.888837141076613
2024-05-29,46.73628385725775,31.439431819665625,0.0,0.0,16.936573783641684,0.0,0.0,4.887710539434933
2024-05-30,46.74855531635348,31.432188470355676,0.0,0.0,16.93267175638075,0.0,0.0,4.886584456910093
2024-05-31,46.75717324661415,31.419548237649224,0.0,0.0,16.93579323432452,0.0,0.0,4.8874852814121015
2024-06-03,46.749632383901684,31.414480983080644,0.0,0.0,16.949189591205126,0.0,0.0,4.886697041812544
2024-06-04,46.75468892572404,31.398620719983793,0.0,0.0,16.960668744087794,0.0,0.0,4.8860216102043745
2024-06-05,46.78998300653167,31.3683581722739,0.0,0.0,16.956762515512132,0.0,0.0,4.884896305682301
2024-06-07,46.80713426945549,31.358247163315433,0.0,0.0,16.951296817347142,0.0,0.0,4.883321749881941
2024-06-11,46.85643172439137,31.323518663413907,0.0,0.0,16.939986215316445,0.0,0.0,4.88006339687828
2024-06-12,46.88001432326019,31.30395166582907,0.0,0.0,16.936868704971328,0.0,0.0,4.8791653059394084
