date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF COMMUNICATIONS TRUSTEE LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,HANG SENG BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,BNP PARIBAS
2024-03-01,42.74481066803826,12.708576918086912,11.50994673857961,5.202123764920122,9.44548904058395,6.738464083515799,3.7882617940048977,4.362024541907113,2.8030115516921863,0.6972908986711445
2024-03-04,42.74304834279092,12.749264101515195,11.493713132105768,5.195747774862084,9.444230932446143,6.727974432253831,3.7826970748689215,4.391188691348423,2.7958091697222094,0.6763263480865095
2024-03-05,42.731152610771474,12.81130531295662,11.487195785506856,5.193134463926294,9.397089098840661,6.726264910504769,3.7813395573904764,4.4089337340170935,2.794765539719081,0.6688189863666797
2024-03-06,42.70847608613963,12.898374847782529,11.474691018137445,5.180512192942628,9.357934326960565,6.717775749796155,3.777687840217482,4.408869383440688,2.7911071935393568,0.6845713610435161
2024-03-07,42.607010488860155,13.016706592099334,11.449856249352605,5.161822663121425,9.391287836791944,6.69261492960768,3.7695421217985405,4.396602251086388,2.7850579981795165,0.7294988691024155
2024-03-08,42.54481325556507,13.09994317976216,11.444255785829064,5.154677293570504,9.388303467994461,6.683097591170151,3.7689816815858257,4.404712009306604,2.782481025267271,0.7287347099488894
2024-03-11,42.49906596914161,13.183325517375055,11.43780662221589,5.125469892855176,9.383314279856513,6.697907894686285,3.7679527452510317,4.400420879844578,2.7797197312541257,0.7250164675197351
2024-03-12,42.54999626779909,13.037074133319667,11.436248322671176,5.142625748671927,9.417589456193557,6.68726796038103,3.7693547758676527,4.435978498512686,2.780745773586229,0.743119062996985
2024-03-13,42.532857978845406,13.021728800827969,11.432998907516655,5.158545274542575,9.442926350385747,6.681455933697761,3.768458307215053,4.4392318418032835,2.779581663478807,0.7422149416867427
2024-03-14,42.51673642409342,12.962182948652485,11.429175752392114,5.149986434576125,9.529765418870644,6.670223333366751,3.767951256829262,4.446444966311572,2.775986638215467,0.7515468266921583
2024-03-15,42.48819600866891,13.044969756859453,11.420867570021434,5.145418331103213,9.523905228620876,6.6628480095872575,3.7649291155679214,4.421490699728127,2.7741433173087637,0.7532319625340433
