date,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,LONG BRIDGE HK LTD,CHINA GALAXY INTERNATIONAL SECURITIES,LUK FOOK SECURITIES (HK) LTD,ORIENT SECURITIES (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF COMMUNICATIONS TRUSTEE LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-26,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-27,0.0,0.0,48.807431584232994,0.0,0.0,0.0,0.0,10.143108209892041,0.0,41.04946020587497
2024-04-02,0.0,0.0,48.84596086302057,0.0,0.0,0.0,0.0,10.135474159558456,0.0,41.01856497742097
2024-04-09,0.0,0.0,48.73338349636318,0.0,0.0,0.0,0.0,10.258339603712065,0.0,41.00827689992476
2024-04-15,0.0,0.0,48.683220466516175,0.0,0.0,0.0,0.0,10.308502633559067,0.0,41.00827689992476
2024-04-16,0.0,0.0,48.760330578512395,0.0,0.0,0.0,0.0,10.293012772351616,0.0,40.94665664913599
2024-04-18,0.0,0.0,48.78598247809762,0.0,0.0,0.0,0.0,10.287859824780977,0.0,40.926157697121404
2024-04-22,0.0,0.0,48.811608706529896,0.0,0.0,0.0,0.0,10.282712034025518,0.0,40.90567925944458
2024-04-26,0.0,0.0,48.87556221889056,0.0,0.0,0.0,0.0,10.269865067466268,0.0,40.85457271364318
2024-04-29,0.0,0.0,48.44221105527638,0.0,0.0,0.0,0.0,10.527638190954775,0.0,41.030150753768844
2024-05-20,0.0,0.0,47.568657092466616,0.0,0.0,0.0,0.0,11.28747795414462,0.0,41.143864953388764
2024-05-21,0.0,0.0,48.08457711442786,0.0,0.0,0.0,0.0,11.293532338308458,0.0,40.62189054726368
2024-05-22,0.0,0.0,48.17481996523467,0.0,0.0,0.0,0.0,11.273901167121927,0.0,40.55127886764341
2024-05-29,0.0,0.0,48.12329107631121,0.0,0.0,0.0,0.0,11.285110613969675,0.0,40.59159830971911
2024-06-06,0.0,0.0,48.110392839383394,0.0,0.0,0.0,0.0,11.2879164594729,0.0,40.60169070114371
2024-06-20,0.0,0.0,48.12329107631121,0.0,0.0,0.0,0.0,11.285110613969675,0.0,40.59159830971911
2024-06-21,44.333748443337484,0.0,26.78843226788432,0.0,0.0,0.0,0.0,6.281998062819981,0.0,22.59582122595821
2024-06-24,44.32148291603264,0.0,26.808687231982294,0.0,0.0,0.0,0.0,6.280260063632591,0.0,22.58956978835247
2024-06-26,44.284727021423635,0.0,26.869384934346925,0.0,0.0,0.0,0.0,6.27505183137526,0.0,22.570836212854182
2024-06-27,44.29084876969864,0.0,26.845452032070778,0.0,0.0,0.0,0.0,6.275919270113353,0.0,22.587779928117225
2024-07-02,44.30309734513274,0.0,26.797566371681413,0.0,0.0,0.0,0.0,6.3191371681415935,0.0,22.58019911504425
2024-07-05,44.32761483121195,0.0,27.006087437742117,0.0,0.0,0.0,0.0,6.391809629219701,0.0,22.274488101826233
2024-07-11,41.81130105702727,0.0,31.149680281873938,0.0,0.0,0.0,0.0,6.028970377136892,0.0,21.010048283961893
2024-07-12,41.72418283630681,0.0,31.13686677952858,0.0,0.0,0.0,0.0,6.172678734210184,0.0,20.96627164995442
2024-07-18,41.713318578310115,0.0,31.15479755240203,0.0,0.0,0.0,0.0,6.17107147506835,0.0,20.960812394219502
2024-07-29,40.909090909090914,0.0,31.870428422152557,0.0,0.0,0.0,0.0,6.191222570532915,0.0,21.029258098223615
2024-08-06,40.90374820425754,0.0,31.87932610683035,0.0,0.0,0.0,0.0,6.190414000261199,0.0,21.02651168865091
2024-08-09,40.8930669800235,0.0,31.89711450581016,0.0,0.0,0.0,0.0,6.188797493145319,0.0,21.02102102102102
2024-08-14,40.87172125799295,0.0,31.880464570011746,0.0,0.0,0.0,0.0,6.2247161686023755,0.0,21.023098003392924
2024-08-15,40.62256809338521,0.0,31.73800259403372,0.0,0.0,0.0,0.0,6.54993514915694,0.0,21.089494163424124
2024-08-16,40.618930467434936,0.0,31.632785187103458,0.0,0.0,0.0,0.0,6.6942897837627875,0.0,21.053994561698822
2024-08-22,40.61367167270844,0.0,31.641636457793886,0.0,0.0,0.0,0.0,6.693423096841015,0.0,21.051268772656652
2024-08-23,40.48786783686113,0.0,31.84047496128033,0.0,0.0,0.0,0.0,6.672689726381001,0.0,20.998967475477542
