date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,ABN AMRO CLEARING HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,VALUABLE CAPITAL LTD,INTERACTIVE BROKERS HONG KONG LTD,HANG SENG SECURITIES LTD,DAH SING SECURITIES LTD
2024-03-01,93.70312473105156,0.0,6.296875268948445,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,94.61092273533107,0.0,5.389077264668927,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,94.47166299059865,0.0,5.528337009401349,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,94.3232513468024,0.0,5.6767486531976,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,94.16658193393977,0.0,5.833418066060241,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,93.8840709861429,0.0,6.115929013857099,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,92.93704028801967,0.0,7.062959711980323,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,92.90570300679529,0.0,7.094296993204709,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,92.85865165409969,0.0,7.141348345900308,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,92.52366389070775,0.0,7.335688913406647,0.0,0.1406471958856007,0.0,0.0,0.0,0.0
2024-03-18,92.4373700907997,0.0,7.421976338943848,0.0,0.14065357025645833,0.0,0.0,0.0,0.0
2024-03-19,92.38354040906768,0.0,7.4758220654027,0.0,0.1406375255296175,0.0,0.0,0.0,0.0
2024-03-20,92.01585857922882,0.0,7.843495763440256,0.0,0.14064565733092046,0.0,0.0,0.0,0.0
2024-03-21,91.59419746314813,0.0,8.26516149498302,0.0,0.14064104186883816,0.0,0.0,0.0,0.0
2024-03-22,91.50818380990184,0.0,8.351174049337263,0.0,0.14064214076090523,0.0,0.0,0.0,0.0
2024-03-25,91.31231803314044,0.0,8.54703125415115,0.0,0.140650712708417,0.0,0.0,0.0,0.0
2024-03-26,91.14034237776576,0.0,8.719005810482622,0.0,0.14065181175161515,0.0,0.0,0.0,0.0
2024-03-27,78.8098337649267,0.0,21.049514203510988,0.0,0.14065203156231587,0.0,0.0,0.0,0.0
2024-03-28,78.72590782232028,0.0,21.13345355331298,0.0,0.14063862436673552,0.0,0.0,0.0,0.0
2024-04-02,78.56880544699045,0.0,21.29055043419965,0.0,0.14064411880990071,0.0,0.0,0.0,0.0
2024-04-03,85.28151074637339,0.0,14.565950241774333,0.0,0.15253901185228122,0.0,0.0,0.0,0.0
2024-04-05,84.91637061344036,0.0,14.931082876823778,0.0,0.15254650973585726,0.0,0.0,0.0,0.0
2024-04-08,84.83986609602103,0.0,15.00758506716386,0.0,0.1525488368151193,0.0,0.0,0.0,0.0
2024-04-09,84.78857816997142,0.0,15.05886859742558,0.0,0.15255323260299886,0.0,0.0,0.0,0.0
2024-04-10,84.60102794296137,0.0,15.246407963167638,0.0,0.1525640938709918,0.0,0.0,0.0,0.0
2024-04-11,76.39449693690395,0.0,23.452941555381525,0.0,0.1525615077145269,0.0,0.0,0.0,0.0
2024-04-15,76.38421986807509,0.0,23.46320698581578,0.0,0.1525731461091305,0.0,0.0,0.0,0.0
