date,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,BNP PARIBAS,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,MERRILL LYNCH FAR EAST LTD
2024-03-01,93.84522242689236,3.9097913616317572,0.0,0.0,1.5250536432148531,0.06436842266140716,0.0339632011716933,0.614588298604329,0.0,0.007012645823596019
2024-03-04,93.84619925081846,3.909941140145995,0.0,0.0,1.5219872874694387,0.06436756684738994,0.03603209696809406,0.6145790926370411,0.0,0.006893565113591402
2024-03-05,93.8474645036311,3.904988098156876,0.0,0.0,1.5256004133976524,0.06436872563168344,0.03972142370677097,0.6146574116654441,0.0,0.0031994238104823144
2024-03-06,93.8516664330254,3.900962030738024,0.0,0.0,1.524256433540843,0.06437109757658067,0.03972288741492033,0.614985306861486,0.0,0.004035810842748675
2024-03-07,93.87388248519838,3.8948822383059127,0.0,0.0,1.5120178719737647,0.06312500628521328,0.03897291547418403,0.6130879928062448,0.0,0.00403148995630048
2024-03-08,93.905690271305,3.8829291827739283,0.0,0.0,1.5012686192056888,0.0630429862144371,0.0402881524508407,0.5946956356910813,0.0,0.012085152359014606
2024-03-11,93.98122948466984,3.8623694252077616,0.0,0.0,1.4370992249610899,0.06307244678753603,0.04797128156684602,0.5956538862645058,0.0,0.012604250542419992
2024-03-12,93.9785034608084,3.8631178238166792,0.0,0.0,1.4492019958150442,0.06307215187511049,0.04400909951645988,0.5959823858046353,0.0,0.006113082363673679
2024-03-13,93.97847445121117,3.862031731401573,0.0,0.0,1.4468115895917872,0.06308226615147028,0.04700083670081991,0.5959490759434146,0.0,0.006650048999769863
2024-03-14,93.94761803189088,3.8605246038045578,0.0,0.0,1.49497079187205,0.06313654040404153,0.04933391699098945,0.5747869401038851,0.0,0.00962917493359708
2024-03-15,93.93560950277956,3.857694733573095,0.0,0.0,1.5091692814152582,0.06268345097762083,0.048339383647129974,0.5792129664941233,0.0,0.007290681113215839
2024-03-18,93.92744045910553,3.8588142137818235,0.0,0.0,1.5171109730448846,0.0626020852420609,0.048968322426400764,0.5793379255159108,0.0,0.005726020883388309
2024-03-19,93.93469965689091,3.8569988109362354,0.0,0.0,1.5112140948336115,0.06257894049329386,0.04838762036166847,0.5795253512767519,0.0,0.006595525207521248
2024-03-20,93.93995393997865,3.8558725257964404,0.0,0.0,1.4891127130445334,0.06253478475208005,0.047597030131877355,0.597331184775268,0.0,0.007597821521149206
2024-03-21,95.10451354135738,3.855468922199702,0.0,0.0,0.32696155780237207,0.0625005977628214,0.04753894920323844,0.5974174458858125,0.0,0.005598985788685822
2024-03-22,95.13231711449588,3.810507272713854,0.0,0.0,0.3691302125099928,0.06239788437294411,0.048874911215214596,0.5721362425224252,0.0,0.004636362169688122
2024-03-25,95.13944594857328,3.80924938180928,0.0,0.0,0.3510019718265683,0.06240424083106629,0.06774236170953958,0.5657594415336886,0.0,0.004396653716577422
2024-03-26,95.07621616356151,3.807011820493266,0.0,0.0,0.3429275909288009,0.062326798055540505,0.05496712155280746,0.5807191556669818,0.07168589972508994,0.004145450015997445
2024-03-27,95.05954154868421,3.812089741167364,0.0,0.0,0.34709989601396396,0.06247643951538573,0.05856645599476028,0.5816196976718728,0.0716973451568364,0.006908875795608037
2024-03-28,95.0674751749126,3.807359627034505,0.0,0.0,0.35336037294939404,0.06268362162432911,0.045989325672114244,0.5845139818236392,0.07169761223581496,0.006920283747610144
2024-04-02,95.05583038865456,3.806960864042824,0.0,0.0,0.26065414630235123,0.06276508603288862,0.15714612984935608,0.5781370803345203,0.07169020042000163,0.006816104363500199
2024-04-03,95.12184357727864,3.8129243283930276,0.0,0.0,0.15650619577607833,0.06505286570337013,0.15744501632771665,0.5849502837695785,0.07174860863951847,0.02952912411206968
2024-04-05,95.09970243761418,3.8202501973111627,0.0,0.0,0.16920216125813403,0.06414842826612574,0.15571056962910107,0.5889012961141178,0.07174461887764333,0.030340290929534195
2024-04-08,95.12694684724204,3.813212733880407,0.0,0.0,0.22056485419327918,0.06409793464587893,0.06714424274601813,0.605210352848175,0.07175764078755917,0.03106539365663864
2024-04-09,95.1041997289582,3.815072505123931,0.0,0.0,0.22036107035648078,0.06409890584297494,0.10711152653846416,0.5861866827357336,0.07175872804275288,0.031210852401461216
2024-04-10,95.10890168711492,3.814798517713913,0.0,0.0,0.2614720636446547,0.06402523901068924,0.0859486481990484,0.5859948302996119,0.07176321745767313,0.007095796559487416
2024-04-11,95.10734599337306,3.8158867828588323,0.0,0.0,0.2655727414027623,0.06345131512038381,0.08016400256356002,0.5887669098954307,0.07175836315592454,0.007053891630044611
2024-04-12,95.09801345110425,3.8139105104908775,0.0,0.0,0.2725167442880696,0.06140966423964433,0.09368700140029686,0.5815487032619563,0.07175664281282651,0.0071572824020803465
2024-04-15,95.09434453100715,3.813465585512526,0.0,0.0,0.27479739027410593,0.06123353398986073,0.08810293344252271,0.5889646400004023,0.07176261922304339,0.00732876655039776
2024-04-16,95.09025641599095,3.8135343190905453,0.0,0.0,0.2717590242875625,0.061145855552305575,0.09613403801402959,0.5875192291780408,0.07176303562272295,0.0078880822638413
2024-04-17,95.03587855712304,3.8142057325140892,0.0,0.0,0.3209444968252909,0.06103824145059588,0.10919394446182062,0.579461991507756,0.07177654746921508,0.00750048864818837
2024-04-18,94.97731430336782,3.8122418707737236,0.0,0.0,0.3786289097875253,0.06100681402494283,0.1152554665992909,0.5729411676420745,0.0717395910947257,0.010871876709897987
2024-04-19,95.01153959303173,3.8159433208254234,0.0,0.0,0.32566373489008793,0.06103377525818908,0.11786663616656931,0.5855828599480737,0.07174085751916363,0.010629222360766138
2024-04-22,95.0127449257805,3.8158104254306062,0.0,0.0,0.3241497278805313,0.06104390775749893,0.11804739831392554,0.5854248116118724,0.07174059754569048,0.01103820567937997
2024-04-23,95.01021980738554,3.814739063906642,0.0,0.0,0.3259387290134322,0.06105828593736229,0.11806519046715794,0.5861112171256867,0.07175141031854909,0.012116295845630414
2024-04-24,94.98762959375587,3.814168574947357,0.0,0.0,0.3502905136196176,0.0609973863324473,0.11685686026190283,0.5860391990661341,0.07174067999421652,0.01227719202244798
