date,FUTU SECURITIES INTERNATIONAL,IMPERIUM INTERNATIONAL SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,WEST BULL SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,KINGKEY SECURITIES GROUP LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,YUEN META (INTERNATIONAL) SECURITIES LTD,NANYANG COMMERCIAL BANK LTD
2024-03-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,66.78564580731035,0.0,0.0,0.0,33.21435419268965,0.0,0.0,0.0,0.0,0.0
2024-03-19,66.78144275162342,0.0,0.0,0.0,33.21855724837658,0.0,0.0,0.0,0.0,0.0
2024-03-20,66.79404872868272,0.0,0.0,0.0,33.20595127131728,0.0,0.0,0.0,0.0,0.0
2024-03-21,66.79614879473638,0.0,0.0,0.0,33.20385120526361,0.0,0.0,0.0,0.0,0.0
2024-03-22,66.80034813004926,0.0,0.0,0.0,33.19965186995074,0.0,0.0,0.0,0.0,0.0
2024-03-25,66.81293976525862,0.0,0.0,0.0,33.18706023474139,0.0,0.0,0.0,0.0,0.0
2024-03-26,66.82132888381649,0.0,0.0,0.0,33.17867111618351,0.0,0.0,0.0,0.0,0.0
2024-03-27,66.83180931963997,0.0,0.0,0.0,33.168190680360034,0.0,0.0,0.0,0.0,0.0
2024-03-28,66.84647081127338,0.0,0.0,0.0,33.15352918872662,0.0,0.0,0.0,0.0,0.0
2024-04-02,66.86948412822518,0.0,0.0,0.0,33.13051587177483,0.0,0.0,0.0,0.0,0.0
2024-04-03,66.88828945542433,0.0,0.0,0.0,33.111710544575686,0.0,0.0,0.0,0.0,0.0
2024-04-05,66.9008144845355,0.0,0.0,0.0,33.099185515464505,0.0,0.0,0.0,0.0,0.0
2024-04-08,53.42586746432659,0.0,0.0,0.0,26.420005446495587,20.15412708917782,0.0,0.0,0.0,0.0
2024-04-09,53.43758313058334,0.0,0.0,0.0,26.41335952633646,20.149057343080198,0.0,0.0,0.0,0.0
2024-04-10,53.446951420673926,0.0,0.0,0.0,26.40804519707809,20.145003382247985,0.0,0.0,0.0,0.0
2024-04-11,53.45865648337751,0.0,0.0,0.0,26.401405291973184,20.13993822464931,0.0,0.0,0.0,0.0
2024-04-12,53.46801629638386,0.0,0.0,0.0,26.39609577149169,20.13588793212445,0.0,0.0,0.0,0.0
2024-04-15,53.486724632966066,0.0,0.0,0.0,26.385483134659044,20.127792232374894,0.0,0.0,0.0,0.0
2024-04-16,53.49607316107996,0.0,0.0,0.0,26.380180015733607,20.12374682318644,0.0,0.0,0.0,0.0
2024-04-17,53.493736381367704,0.0,0.0,0.0,26.38150559560731,20.124758023024974,0.0,0.0,0.0,0.0
2024-04-18,53.51942804902349,0.0,0.0,0.0,26.366931539957967,20.11364041101855,0.0,0.0,0.0,0.0
2024-04-19,53.526429941733355,0.0,0.0,0.0,26.362959591722774,20.110610466543868,0.0,0.0,0.0,0.0
2024-04-22,53.533429725212855,0.0,0.0,0.0,26.358988839986047,20.1075814348011,0.0,0.0,0.0,0.0
2024-04-23,53.53809507620847,0.0,0.0,0.0,26.356342336615974,20.10556258717556,0.0,0.0,0.0,0.0
2024-04-24,53.56606752072175,0.0,0.0,0.0,26.34047446970881,20.093458009569442,0.0,0.0,0.0,0.0
2024-04-25,53.561407785876916,0.0,0.0,0.0,26.34311778721742,20.095474426905668,0.0,0.0,0.0,0.0
2024-04-26,53.56606752072175,0.0,0.0,0.0,26.34047446970881,20.093458009569442,0.0,0.0,0.0,0.0
2024-04-29,53.55674711571143,0.0,0.0,0.0,26.345761635303305,20.097491248985264,0.0,0.0,0.0,0.0
2024-04-30,53.58057345471223,0.0,0.0,0.0,26.34309175876533,20.076334786522445,0.0,0.0,0.0,0.0
2024-05-02,53.64099465746454,0.0,0.0,0.0,26.308802638740847,20.050202703794614,0.0,0.0,0.0,0.0
2024-05-03,53.664558453303314,0.0,0.0,0.0,26.293265802927795,20.042175743768894,0.0,0.0,0.0,0.0
2024-05-06,53.66687709647932,0.0,0.0,0.0,26.291950077873842,20.041172825646843,0.0,0.0,0.0,0.0
2024-05-07,53.666510149345385,0.0,0.0,0.0,26.294322560163586,20.03916729049103,0.0,0.0,0.0,0.0
2024-05-08,53.6572350390357,0.0,0.0,0.0,26.299586198690488,20.043178762273808,0.0,0.0,0.0,0.0
2024-05-09,49.11497968354543,0.0,0.0,0.0,24.066417170751055,18.34474903476389,0.0,8.473854110939625,0.0,0.0
2024-05-14,49.128960454385904,0.0,0.0,0.0,24.05980486989467,18.33970877476623,0.0,8.471525900953191,0.0,0.0
2024-05-16,49.1312898359843,0.0,0.0,0.0,24.05870317299157,18.338869000691997,0.0,8.471137990332132,0.0,0.0
2024-05-23,49.13361900426799,0.0,0.0,0.0,24.057601576977113,18.33802930352064,0.0,8.470750115234253,0.0,0.0
2024-05-24,49.119640794259176,0.0,0.0,0.0,24.06421266667071,18.343068640303297,0.0,8.473077898766816,0.0,0.0
2024-05-29,49.11264880792331,0.0,0.0,0.0,24.067519574262864,18.34558934745421,0.0,8.474242270359623,0.0,0.0
2024-05-30,49.11497968354543,0.0,0.0,0.0,24.066417170751055,18.34474903476389,0.0,8.473854110939625,0.0,0.0
2024-05-31,49.11739119706027,0.0,0.0,0.0,24.067690398423615,18.342228558511874,0.0,8.472689846004236,0.0,0.0
2024-06-03,49.122051446553186,0.0,0.0,0.0,24.065486080590595,18.34054862575391,0.0,8.471913847102305,0.0,0.0
2024-06-04,49.124381251196205,0.0,0.0,0.0,24.064384073084376,18.33970877476623,0.0,8.471525900953191,0.0,0.0
2024-06-11,49.12904022042192,0.0,0.0,0.0,24.062180360823184,18.33802930352064,0.0,8.470750115234253,0.0,0.0
2024-06-12,49.133698336429255,0.0,0.0,0.0,24.05997705213792,18.336350139844313,0.0,8.46997447158851,0.0,0.0
2024-06-13,49.13144891957465,0.0,0.0,0.0,24.063453704076228,18.335510673318225,0.0,8.46958670303089,0.0,0.0
2024-06-17,49.13377765406338,0.0,0.0,0.0,24.062352092306906,18.334671283652774,0.0,8.469198969976937,0.0,0.0
2024-06-18,49.13393624576619,0.0,0.0,0.0,24.067100868147254,18.331314493386273,0.0,8.467648392700275,0.0,0.0
2024-06-19,49.12695070369962,0.0,0.0,0.0,24.0704060530412,18.333831970837405,0.0,8.468811272421773,0.0,0.0
2024-06-20,49.07099721878978,0.0,0.0,0.0,24.106045790934992,18.353996710413856,0.0,8.468960279861374,0.0,0.0
2024-06-21,49.075664709837945,0.0,0.0,0.0,24.10383654381073,18.352314621414155,0.0,8.468184124937169,0.0,0.0
2024-06-24,49.07333107125917,0.0,0.0,0.0,24.104941116752816,18.353155627372633,0.0,8.468572184615388,0.0,0.0
2024-06-25,49.08033134544127,0.0,0.0,0.0,24.101627701591163,18.350632840703074,0.0,8.46740811226449,0.0,0.0
2024-06-27,49.08266434252461,0.0,0.0,0.0,24.100523432285858,18.349792065929275,0.0,8.467020159260251,0.0,0.0
2024-06-28,49.13409477940835,0.0,0.0,0.0,24.08100044424593,18.327958932045895,0.0,8.45694584429983,0.0,0.0
2024-07-02,49.13642243374236,0.0,0.0,0.0,24.079898483220987,18.327120233651424,0.0,8.456558849385228,0.0,0.0
2024-07-03,49.141077103379715,0.0,0.0,0.0,24.077694863701808,18.325443067117465,0.0,8.455784965801016,0.0,0.0
2024-07-09,49.14573092117109,0.0,0.0,0.0,24.075491647464613,18.323766207519906,0.0,8.45501122384439,0.0,0.0
2024-07-11,49.14805751069762,0.0,0.0,0.0,24.074390190542164,18.32292789279595,0.0,8.454624405964273,0.0,0.0
2024-07-15,49.15728464578849,0.0,0.0,0.0,24.072187579020405,18.321251493445036,0.0,8.449276281746062,0.0,0.0
2024-07-16,49.1526325239043,0.0,0.0,0.0,24.074390190542164,18.32292789279595,0.0,8.450049392757581,0.0,0.0
2024-07-22,49.14805751069762,0.0,0.0,0.004575013206690624,24.074390190542164,18.32292789279595,0.0,8.450049392757581,0.0,0.0
2024-07-23,48.947045966319834,0.0,0.0,0.21954036991564402,24.067783564882255,18.317899614836545,0.0,8.447730484045717,0.0,0.0
2024-07-24,48.15866229021333,0.0,0.0,1.0241938172674725,24.06008041640648,18.312036777483158,0.0,8.445026698629562,0.0,0.0
2024-07-25,47.62805065673238,0.0,0.0,1.5989138057728318,24.039196704973048,18.296142263200547,0.0,8.4376965693212,0.0,0.0
2024-07-26,47.05110053128895,0.0,0.0,2.192095082270333,24.03151184176157,18.290293342693094,0.0,8.434999201986052,0.0,0.0
2024-07-29,46.466864549718764,0.0,0.0,2.780966629660784,24.029317068937523,18.28862290934555,0.0,8.434228842337385,0.0,0.0
2024-07-30,45.905565427009435,0.0,0.0,3.3469004715449446,24.027122696969478,18.286952781087997,0.0,8.433458623388148,0.0,0.0
2024-07-31,45.41119873109389,0.0,0.0,3.8528502628456445,24.021638520073836,18.282778794664463,0.0,8.431533691322162,0.0,0.0
2024-08-01,44.90495018856337,0.0,0.0,4.363730563117885,24.019445550237304,18.28110973356394,0.0,8.430763964517503,0.0,0.0
2024-08-02,44.38512597123891,0.0,0.0,4.913576620069171,24.007391369671755,18.267373061055675,0.0,8.426532977964493,0.0,0.0
2024-08-05,43.83021658828897,0.0,0.0,5.486922051280199,24.000821460190462,18.257812943702938,0.0,8.42422695653743,0.0,0.0
2024-08-06,43.47445605628577,0.0,0.0,5.847243615744984,24.000821460190462,18.253251911241357,0.0,8.42422695653743,0.0,0.0
2024-08-07,43.09974449267356,0.0,0.0,6.233509812948923,23.99534928184039,18.24909017660687,0.0,8.422306235930257,0.0,0.0
2024-08-08,42.742116036633014,0.0,0.0,6.593448563468125,23.994255145593833,18.248258057399337,0.0,8.42192219690569,0.0,0.0
2024-08-09,42.33559624466395,0.0,0.0,6.995347555771754,23.99644351787656,18.249922371707015,0.0,8.422690309980723,0.0,0.0
2024-08-12,41.99166630353926,0.0,0.0,7.341588002083224,23.99534928184039,18.24909017660687,0.0,8.422306235930257,0.0,0.0
2024-08-13,41.49772873930769,0.0,0.0,7.854002024737107,23.98659898483081,18.242435347067847,0.0,8.419234904056552,0.0,0.0
2024-08-14,41.29448624289007,0.0,0.0,8.054935700826176,23.987692422932135,18.24326693531769,0.0,8.419618698033926,0.0,0.0
2024-08-15,41.09203739850582,0.0,0.0,8.259693365538965,23.98659898483081,18.242435347067847,0.0,8.419234904056552,0.0,0.0
2024-08-16,40.888979030707304,0.0,0.0,8.453455229908357,23.993161109123236,18.247426014074026,0.0,8.41697861618707,0.0,0.0
2024-08-19,40.688043936329116,0.0,0.0,8.672920004540726,23.98678372778272,18.23910975206095,0.0,8.413142579286486,0.0,0.0
2024-08-20,40.48100196591373,0.0,0.0,8.893805429890559,23.980226336777687,18.23412363238833,0.0,8.4108426350297,0.0,0.0
2024-08-21,40.28052684351865,0.0,0.0,9.094280552285634,23.980226336777687,18.23412363238833,0.0,8.4108426350297,0.0,0.0
2024-08-22,40.17935351636604,0.0,0.0,9.202372768950779,23.976948985562316,18.231631594723275,0.0,8.409693134397592,0.0,0.0
2024-08-23,40.11364372222208,0.0,0.0,9.321013162818021,23.95403258615279,18.209655109587352,0.0,8.40165541921976,0.0,0.0
2024-08-26,39.9998618232619,0.0,0.0,9.4347950617782,23.95403258615279,18.209655109587352,0.0,8.40165541921976,0.0,0.0
2024-08-27,39.88518534570532,0.0,0.0,9.560925356322173,23.950762390281213,18.20261847943298,0.0,8.40050842825832,0.0,0.0
2024-08-28,39.879713612525386,0.0,0.0,9.561795604909044,23.95294242164302,18.204275306823504,0.0,8.401273054099047,0.0,0.0
2024-09-02,39.95714029981302,0.0,0.0,9.548758487782798,23.924828428216543,18.17945452219476,0.0,8.389818261992882,0.0,0.0
2024-09-03,40.030729382198,0.0,0.0,9.53705544134996,23.895505937931407,18.157173615135573,0.0,8.379535623385067,0.0,0.0
2024-09-04,40.08420513104958,0.0,0.0,9.52710878267746,23.87965327164543,18.138236616235055,0.0,8.370796198392478,0.0,0.0
2024-09-05,40.137569451200186,0.0,0.0,9.517182850096297,23.863833637940562,18.11933907681351,0.0,8.362074983949437,0.0,0.0
2024-09-09,40.1664925171997,0.0,0.0,9.51330441735552,23.84958068378825,18.111955102057152,0.0,8.358667279599377,0.0,0.0
2024-09-10,40.17550875966604,0.0,0.0,9.511151098084802,23.848709338154077,18.10785549373594,0.0,8.356775310359136,0.0,0.0
2024-09-11,40.20439805122259,0.0,0.0,9.50727757889271,23.834471573022835,18.100480873665322,0.0,8.353371923196546,0.0,0.0
2024-09-12,41.30323601491483,0.0,0.0,9.33327275220453,23.393804174628528,17.769200860931996,0.0,8.200486197320117,0.0,0.0
2024-09-13,41.30062841260446,0.0,0.0,9.33368738261922,23.394843443809187,17.769990257247443,0.0,8.200850503719694,0.0,0.0
2024-09-16,41.30323601491483,0.0,0.0,9.33327275220453,23.393804174628528,17.769200860931996,0.0,8.200486197320117,0.0,0.0
2024-09-23,41.31366410781743,0.0,0.0,9.331614598862892,23.389648021090995,17.7660439768927,0.0,8.199029295335981,0.0,0.0
2024-09-24,41.31627055211268,0.0,0.0,9.331200152582221,23.388609213441384,17.765254931141783,0.0,8.198665150721933,0.0,0.0
2024-09-25,41.319647774005475,0.0,0.0,9.3299570345931,23.389934066112865,17.762888214360974,0.0,8.197572910927589,0.0,0.0
2024-09-27,41.34125576986575,0.0,0.0,9.334693200904205,23.375113106031765,17.755003710707,0.0,8.19393421249128,0.0,0.0
2024-10-02,41.34646273872435,0.0,0.0,9.333864586902326,23.37303816413509,17.753427649837995,0.0,8.193206860400236,0.0,0.0
