date,KINGSTON SECURITIES LTD,BOCI SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,I WIN SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,DONGXING SECURITIES (HONG KONG) CO LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-03-04,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-18,0.0,77.31056278276259,0.0,0.0,22.689437217237415,0.0,0.0,0.0
2024-04-03,0.0,77.31134888289284,0.0,0.0,22.688651117107163,0.0,0.0,0.0
2024-04-19,0.0,77.31402174291708,0.0,0.0,22.68597825708293,0.0,0.0,0.0
2024-04-22,0.0,77.29201545901994,0.0,0.0,22.707984540980064,0.0,0.0,0.0
2024-04-24,0.0,68.38881870817937,0.0,0.0,19.930370078572874,0.0,0.0,11.680811213247765
2024-05-02,0.0,59.22768463652045,0.0,0.0,17.283296538085082,0.0,13.359607118132958,10.129411707261507
2024-05-13,0.0,46.13209466403818,22.110589081524527,0.0,13.461857860807736,0.0,10.405719285336477,7.889739108293077
2024-05-24,0.0,46.08309983392734,22.193311933872245,0.0,13.447560624931718,0.0,10.39466783726591,7.881359770002787
2024-05-31,0.0,2.214790911611543,1.0666284548313387,0.0,0.6463005996292972,0.0,0.4985260801303365,0.3787845013171588
2024-07-03,0.0,46.11556477013512,22.208946829501425,0.0,13.457034254080192,0.0,10.33154206224158,7.886912084041682
2024-07-04,0.0,46.12901192075619,22.21542288708936,0.0,13.460958282061405,0.0,10.305395027810619,7.889211882282425
2024-08-05,0.0,46.13136597844166,22.216556585488824,0.0,13.461645222253232,0.0,10.300817728939736,7.88961448487655
2024-08-07,0.0,46.30464319579708,22.270676495199528,0.0,13.494438018975915,0.0,10.021408570075922,7.908833719951562
2024-08-16,0.0,46.30689928368231,22.271761583000004,0.0,13.495095504619503,0.0,10.017024568903558,7.909219059794621
2024-09-09,0.0,46.42722999919071,22.221848708325954,0.0,13.464851870404662,0.0,9.994575581648943,7.891493840429735
2024-09-24,0.0,46.30454901538774,22.163128895373386,0.0,13.429271861124523,0.0,10.232409155080727,7.870641073033621
2024-10-02,0.0,46.19954957199931,22.112872144206523,0.0,13.395796417321664,0.0,10.438988131321473,7.85279373515103
2024-10-04,0.0,46.123125739627305,22.079760700774376,0.0,13.419210192426664,0.0,10.536868273496513,7.841035093675146
2024-10-07,0.0,46.13315333772911,22.084561046868465,0.0,13.400386720478377,0.0,10.53915908702235,7.842739807901701
2024-10-08,0.0,46.13092460580731,22.083494122918484,0.0,13.382830538347266,0.0,10.560389814463743,7.8423609184632035
2024-10-09,0.0,46.17554019915076,22.10485220758316,0.0,13.335326793785274,0.0,10.534335129821292,7.849945669659513
2024-10-18,0.0,46.24682494956722,22.13897717646959,0.0,13.201535839249946,0.0,10.550597797183576,7.862064237529667
2024-10-23,0.0,46.23786733769112,22.1346890471743,0.0,13.218347954551717,0.0,10.548554237215276,7.860541423367581
2024-10-28,0.0,46.21772539272064,22.12504682718455,0.043561578702105266,13.21258983350438,0.0,10.543959120459297,7.857117247429028
2024-10-29,0.0,46.21530530501497,22.12504682718455,0.04598166640777778,13.21258983350438,0.0,10.543959120459297,7.857117247429028
2024-10-30,0.0,46.176192652368506,22.106322093773677,0.13057413580505658,13.201407835824014,0.0,10.535035621893718,7.850467660335034
2024-10-31,0.0,2.2279979821999545,1.0666284548313387,0.008866937850877164,0.6369669808389002,0.0,0.5083147128367654,0.3787845013171588
