date,BANK OF CHINA (HONG KONG) LTD,ABN AMRO CLEARING HONG KONG LTD,BOCI SECURITIES LTD,DBS BANK (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOOM SECURITIES (H.K.) LTD
2024-03-01,0.0,97.97178130511463,0.0,0.0,0.0,2.0282186948853616,0.0,0.0,0.0
2024-03-04,99.45583845984049,0.5331247540716144,0.0,0.0,0.0,0.011036786087891206,0.0,0.0,0.0
2024-03-05,99.45529609268613,0.5336561208339639,0.0,0.0,0.0,0.01104778647991104,0.0,0.0,0.0
2024-03-06,99.4549688433468,0.533976732841011,0.0,0.0,0.0,0.011054423812190146,0.0,0.0,0.0
2024-03-07,99.45530917448599,0.5336433043616094,0.0,0.0,0.0,0.011047521152400555,0.0,0.0,0.0
2024-03-08,99.45843073859254,0.5305850524018406,0.0,0.0,0.0,0.010984209005618662,0.0,0.0,0.0
2024-03-11,99.46004242523802,0.5290060542862108,0.0,0.0,0.0,0.010951520475772141,0.0,0.0,0.0
2024-03-15,99.4576018252129,0.5313971536053456,0.0,0.0,0.0,0.011001021181748828,0.0,0.0,0.0
2024-03-18,99.45740718145998,0.5315878495572892,0.0,0.0,0.0,0.01100496898273416,0.0,0.0,0.0
2024-03-19,99.45609293424432,0.5328754409652192,0.0,0.0,0.0,0.011031624790459084,0.0,0.0,0.0
2024-03-21,99.45664673413064,0.5323328733517326,0.0,0.0,0.0,0.011020392517632628,0.0,0.0,0.0
2024-03-25,99.45736823594433,0.5316260051727066,0.0,0.0,0.0,0.011005758882963323,0.0,0.0,0.0
2024-03-27,99.45873446964092,0.5302874816833644,0.0,0.0,0.0,0.010978048675713215,0.0,0.0,0.0
2024-03-28,99.4589539776902,0.530072425737378,0.0,0.0,0.0,0.010973596572420965,0.0,0.0,0.0
2024-04-02,99.45860526403736,0.5304140667147269,0.0,0.0,0.0,0.01098066924791964,0.0,0.0,0.0
2024-04-08,99.4589410703806,0.5300850712585108,0.0,0.0,0.0,0.01097385836088726,0.0,0.0,0.0
2024-04-09,99.46107528312558,0.5279941450154215,0.0,0.0,0.0,0.01093057185900513,0.0,0.0,0.0
2024-04-11,99.46208506076447,0.5270048478753783,0.0,0.0,0.0,0.010910091360156348,0.0,0.0,0.0
2024-04-12,99.4625630623479,0.5265365412094227,0.0,0.0,0.0,0.010900396442679317,0.0,0.0,0.0
2024-04-15,99.46137605593329,0.527699472538016,0.0,0.0,0.0,0.010924471528689798,0.0,0.0,0.0
2024-04-17,99.4624611599747,0.5266363767796494,0.0,0.0,0.0,0.010902463245663309,0.0,0.0,0.0
2024-04-18,99.46594831849072,0.5232199454645637,0.0,0.0,0.0,0.010831736044720942,0.0,0.0,0.0
2024-04-22,99.46730302190446,0.5218927183987148,0.0,0.0,0.0,0.010804259696823078,0.0,0.0,0.0
2024-04-23,99.46686475101549,0.522322100195577,0.0,0.0,0.0,0.010813148788927337,0.0,0.0,0.0
2024-04-24,99.46338958909554,0.5257267782317883,0.0,0.0,0.0,0.010883632672665284,0.0,0.0,0.0
2024-04-25,99.46234010070455,0.5267549807030354,0.0,0.0,0.0,0.010904918592412074,0.0,0.0,0.0
2024-04-26,99.46106247683139,0.5280066915699526,0.0,0.0,0.0,0.010930831598657884,0.0,0.0,0.0
2024-04-29,99.45654257562397,0.5324349192960933,0.0,0.0,0.0,0.011022505079937125,0.0,0.0,0.0
2024-04-30,99.4557601121115,0.5332015127373251,0.0,0.0,0.0,0.011038375151177747,0.0,0.0,0.0
2024-05-02,99.45517178424033,0.5337779080326128,0.0,0.0,0.0,0.01105030772704779,0.0,0.0,0.0
2024-05-03,99.45477230493324,0.5341692850257108,0.0,0.0,0.0,0.011058410041036316,0.0,0.0,0.0
2024-05-06,99.4537151225528,0.5352050254354863,0.0,0.0,0.0,0.011079852011715739,0.0,0.0,0.0
2024-05-07,99.45349134212695,0.5354242671049017,0.0,0.0,0.0,0.01108439076814828,0.0,0.0,0.0
2024-05-09,99.45451003311904,0.5344262373939626,0.0,0.0,0.0,0.011063729487003727,0.0,0.0,0.0
2024-05-10,99.45647094348304,0.5325050985805456,0.0,0.0,0.0,0.011023957936410936,0.0,0.0,0.0
2024-05-13,99.45516524011886,0.5337843194249927,0.0,0.0,0.0,0.011050440456142964,0.0,0.0,0.0
2024-05-16,99.45560636669434,0.5333570060989361,0.0,0.0,0.0,0.011036627206725625,0.0,0.0,0.0
2024-05-17,99.45812207895798,0.5308922954942218,0.0,0.0,0.0,0.010985625547788664,0.0,0.0,0.0
2024-05-20,99.45634333990641,0.5326349737276541,0.0,0.0,0.0,0.011021686365934364,0.0,0.0,0.0
