date,THE HONGKONG AND SHANGHAI BANKING,GF SECURITIES (HONG KONG) BROKERAGE LTD,BANK OF CHINA (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CHINA MERCHANTS BANK CO LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CINDA INTERNATIONAL SECURITIES LTD
2025-01-13,29.13859232374611,13.736338134303535,13.113330566373193,12.019203880808776,9.064002142922321,8.309563968291814,7.87641696323181,3.6983071502371048,0.0007358936545361957,3.043508976430798
2025-01-15,29.883510600357994,14.057829191903142,13.418377224580707,12.327565157566566,9.296659444653477,8.49658970272503,7.770073542259722,3.7932363160713254,0.06113740480773984,0.8950214150742951
2025-01-16,29.84467489076583,14.043940933639298,13.368030950435278,12.311874485491229,9.285281355257563,8.486040038959434,7.711223754398768,3.788593811722206,0.14579633142054177,1.0145434479098505
2025-01-17,29.805991161568635,14.024949370995794,13.342869403518808,12.29535718856575,9.27282445851433,8.47390253634372,7.67498061417311,3.7835111308524496,0.31243177318206117,1.0131823622853442
2025-01-20,29.77572876868927,14.010559249120064,13.326915556090372,12.282873559760537,9.263409644715862,8.465148461237629,7.64958936253422,3.7796696850275264,0.4339520471706627,1.0121536656538612
2025-01-21,29.65859520987336,13.957841011432107,13.274072386866486,12.237854977514907,9.22855374619192,8.43269681762124,7.616759898760884,3.765148029988117,0.8201327377268551,1.00834518402412
2025-01-22,29.642417397400216,13.952342291872005,13.26704553965434,12.232734266635111,9.224918138868833,8.429224948097197,7.613459677588475,3.7636647423434004,0.8662450531310947,1.0079479444093267
2025-01-23,29.63460472917322,13.94866495949204,13.255162705722029,12.229360408523892,9.222486784371865,8.42700330952274,7.606361471764231,3.762672776554802,0.9060005690582087,1.007682285816973
2025-01-24,29.62394083655199,13.940986257073565,13.24860025749274,12.225515734004013,9.21958741279679,8.424354022575526,7.5881014401628795,3.7614898649660167,0.9600586843917482,1.00736548998473
2025-01-27,29.6109524101677,13.934873921286659,13.23830231058265,12.220155535237845,9.215545143975591,8.420660418721091,7.579836384232193,3.7598406639202837,1.0129093948131975,1.0069238170627872
2025-02-03,29.60301122627283,13.931559231155898,13.233657275534386,12.217248725375207,9.213353041147043,8.418657395217464,7.575190894511334,3.758946310170668,1.0416916006415013,1.0066842999736698
2025-02-04,29.60317163481318,13.931705127725625,13.233646257994538,12.217376669035419,9.213449526872873,8.41874555858922,7.574522197703557,3.7589856752814454,1.0417025096308488,1.006694842353293
2025-02-05,29.605524984215613,13.927364890137675,13.233300717254505,12.218162667456633,9.214042269241242,8.419287174101038,7.57456065543357,3.7592275076228865,1.0417695270070109,1.0067596075298257
2025-02-06,29.610575397894255,13.929740762688022,13.233912143032436,12.22024696678578,9.215614094943945,8.42072342233954,7.560589464107215,3.75986879515404,1.0417976021596127,1.0069313508951498
2025-02-07,29.768359983871257,13.467197871969091,13.30576000674037,12.2867304995697,9.265751099823667,8.466535871403382,7.5991646756498135,3.780324139549719,1.0477663499094263,1.012409501513574
2025-02-10,29.832645509745888,13.283866327504551,13.332720147526475,12.313424396451765,9.285995389043777,8.484430860535914,7.61365675366366,3.788583586021173,1.050055563681105,1.0146214658256973
2025-02-11,28.864750510650715,16.06784359498103,12.900496060694486,11.914648380507732,8.98526407936971,8.20965859352203,7.365334111467756,3.665888532243945,1.044353662095127,0.9817624744674642
