date,YUET SHEUNG INTERNATIONAL SECURITIES LTD,SHUN LOONG SECURITIES CO LTD,RUIBANG SECURITIES LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,EDDID SECURITIES AND FUTURES LTD,SPRING SECURITIES LTD,GET NICE SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CMB WING LUNG BANK LTD,BOCI SECURITIES LTD
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.07470511140236,0.0,38.92529488859764
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.023622047244096,0.0,38.976377952755904
2024-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.15485564304461,0.0,38.84514435695538
2024-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.10381077529566,0.0,38.89618922470434
2024-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.15485564304461,0.0,38.84514435695538
2024-03-12,0.0,0.0,0.0,0.0,76.690119302539,0.0,0.0,14.255123891098195,0.0,9.054756806362802
2024-03-13,0.0,0.0,0.0,0.0,76.71358629130967,0.0,0.0,14.259485924112608,0.0,9.026927784577724
2024-03-15,0.0,0.0,0.0,0.0,76.76056338028168,0.0,0.0,14.206981016533987,0.0,9.032455603184324
2024-03-22,91.06004898600595,0.0,0.0,0.0,6.860256257142042,0.0,0.0,1.2724448183370758,0.0,0.8072499385149191
2024-03-25,91.05980434287395,0.0,0.0,0.0,6.8604439891077496,0.0,0.0,1.2724796389848838,0.0,0.8072720290334209
2024-03-26,91.05955968635216,0.0,0.0,0.0,6.860631731348367,0.0,0.0,1.2725144615384885,0.0,0.8072941207609766
2024-03-27,91.05931501643954,0.0,0.0,0.0,6.860819483864737,0.0,0.0,1.2725492859980467,0.0,0.8073162136976855
2024-03-28,91.05633359310833,0.0,0.0,0.0,6.861007246657705,0.0,0.0,1.2753208523903032,0.0,0.8073383078436469
2024-04-02,91.05359685308176,0.0,0.0,0.0,6.861007246657705,0.0,0.0,1.278057592416892,0.0,0.8073383078436469
2024-04-10,91.06332094482435,0.0,0.0,0.0,6.861946214801022,0.0,0.0,1.2672840436589041,0.0,0.8074487967157165
2024-04-12,90.97168520336638,0.0,0.0,0.0,6.85462907182329,0.0,0.0,1.3670979401322876,0.0,0.8065877846780497
2024-04-15,90.94930461410738,0.0,0.0,0.0,6.852942715926548,0.0,0.0,1.391363319667576,0.0,0.8063893502984969
2024-04-16,90.93687571103571,0.0,0.0,0.0,6.852006210022152,0.0,0.0,1.4048389277827626,0.0,0.8062791511593677
2024-04-17,90.93190510091654,0.0,0.0,0.0,6.851631679325577,0.0,0.0,1.4102281398212997,0.0,0.8062350799365956
2024-04-18,90.88570724961606,0.0,0.0,0.0,6.847327517294732,0.0,0.0,1.4612366261478587,0.0,0.8057286069413426
2024-04-19,73.8552826998681,0.0,14.125099193398388,0.0,5.550411234772689,0.0,0.0,0.9520051180503616,4.864081963620103,0.6531197902903643
2024-04-22,73.85855310547592,0.0,14.12572467070921,0.0,5.544014823739164,0.0,0.0,0.9542613374726755,4.864297351339833,0.6531487112632002
2024-04-23,73.84775567857153,0.0,14.12916578632515,0.0,5.545365380714447,0.0,0.0,0.9544938015526864,4.869911530427743,0.6533078224084512
2024-04-24,73.85719304905439,0.0,14.128852888355196,0.0,5.5430280218735195,0.0,0.0,0.9478290025416964,4.869803683619605,0.6532933545556086
2024-04-25,73.85824975658097,0.0,14.129478698154301,0.0,5.5388442357498295,0.0,0.0,0.9500856366000306,4.870019382012745,0.653322290902119
2024-04-26,73.86056534645633,0.0,14.12822713398921,0.0,5.538353614750315,0.0,0.0,0.9500014796992744,4.869588004332645,0.6532644207722283
2024-04-29,73.86836606034278,0.0,14.12760143504898,0.0,5.5381083368428685,0.0,0.0,0.943316334064399,4.869372344149327,0.6532354895516379
2024-04-30,73.85000239188145,0.0,14.121972637531435,0.0,5.535901812925724,0.0,0.0,0.9717156720809247,4.867432261744769,0.6529752238357011
2024-05-06,73.85769898645171,0.0,14.122597837971055,0.0,5.536146895417807,0.0,0.0,0.962904398043481,4.867647750109459,0.6530041320064986
