date,ABN AMRO CLEARING HONG KONG LTD,CITIBANK N.A.,BNP PARIBAS,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,BOOM SECURITIES (H.K.) LTD,IFAST SECURITIES (HK) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,92.130494334454,7.670277674013199,0.19922799153281037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,17.55577109602328,59.747817652764304,22.696411251212414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,18.450560652395513,62.79306829765545,18.75637104994903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,15.536480686695278,52.87553648068669,15.793991416309014,0.0,15.793991416309014,0.0,0.0,0.0,0.0,0.0
2024-03-19,9.450945094509452,55.44554455445545,18.54185418541854,0.0,16.56165616561656,0.0,0.0,0.0,0.0,0.0
2024-03-20,10.258697591436219,54.95093666369313,18.3764495985727,0.0,16.41391614629795,0.0,0.0,0.0,0.0,0.0
2024-03-21,50.710436060754525,30.181283684468397,10.093091621754043,0.0,9.015188633023028,0.0,0.0,0.0,0.0,0.0
2024-03-25,50.16965584100824,29.859428017450313,9.985458070770722,0.0,8.919049927290354,0.0,0.0,1.0664081434803683,0.0,0.0
2024-03-26,49.43433349729464,30.300049188391537,10.132808657156911,0.0,9.050664043285785,0.0,0.0,1.0821446138711266,0.0,0.0
2024-03-27,40.05341543916121,35.92129969793453,12.01264243145213,0.0,10.729738870811612,0.0,0.0,1.2829035606405188,0.0,0.0
2024-03-28,38.621735548045805,36.77919348482858,12.299535483562805,0.0,10.985992859104641,0.0,0.0,1.3135426244581636,0.0,0.0
2024-04-02,39.08850295493274,37.22369263865221,11.239621478554076,0.0,11.118765333623388,0.0,0.0,1.329417594237579,0.0,0.0
2024-04-03,23.10391651282364,46.99205101994111,14.189158262514685,0.0,14.036586668294095,0.0,0.0,1.678287536426468,0.0,0.0
2024-04-05,21.791350495786972,47.79417469701907,14.431357944229784,0.0,14.276182052356345,0.0,0.0,1.7069348106078237,0.0,0.0
2024-04-08,34.98130130502925,47.79417469701907,1.2414071349875084,0.0,14.276182052356345,0.0,0.0,1.7069348106078237,0.0,0.0
2024-04-12,95.75241549689136,3.122329419946211,0.08109946545314833,0.0,0.9326438527112059,0.0,0.0,0.11151176499807895,0.0,0.0
2024-04-15,46.928435718809375,39.01203293223559,1.013299556681444,0.0,11.652944901836605,0.0,0.0,1.3932868904369855,0.0,0.0
2024-04-22,22.335495829471732,57.08989805375347,1.4828544949026876,0.0,17.05282669138091,0.0,0.0,2.0389249304911954,0.0,0.0
2024-04-24,20.667284522706208,57.08989805375347,1.4828544949026876,0.0,17.05282669138091,0.0,0.0,3.707136237256719,0.0,0.0
