date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIC SECURITIES BROKERAGE (HK) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,16.826163749651297,14.62464131970378,2.0333343107965347,5.102143553820053,5.5309121481340435,2.9212117060663743,1.4897093476441101,0.0,16.847467830280568,0.8097662630509169,66.18535022914767
2024-03-04,16.847459417524963,14.587731362404632,2.0333343107965347,5.111584385788977,5.53248679827302,2.9211781087995807,1.5141168212459901,1.185056717041488,16.836738529691214,0.8094638876497772,67.37915033921618
2024-03-05,16.836217402485985,14.60289716863514,2.033267116262948,5.111181218587458,5.540967957913259,2.9215463348436357,1.5197477231605512,1.185056717041488,16.842614691653367,0.8096721907038957,67.40316852128772
2024-03-06,16.810396129019626,14.64511549408763,2.033267116262948,5.091849351274578,5.544553249922388,2.9209919463442793,1.516502227188316,1.185056717041488,16.83749636307991,0.8094437292897012,67.39467232351086
2024-03-07,16.818254590197665,14.651942458700034,2.0325951709270815,5.012687471256148,5.5403810271012865,2.9214824664394614,1.5268636242673772,1.185056717041488,16.840459642011083,0.8069187267038489,67.33664189464548
2024-03-08,16.84158299350413,14.631340614702367,2.0325951709270815,5.013634914179719,5.540555732888612,2.9208575572771056,1.5267762713737147,1.185056717041488,16.837368693466097,0.8056823472858545,67.33545101264617
2024-03-11,16.869290961803987,14.592791977593192,2.0325951709270815,5.008978333002165,5.533854301103855,2.91550215295025,1.5264537376124987,1.185056717041488,16.837583715973572,0.8056823472858545,67.30778941529394
2024-03-12,16.90052002445558,14.536966759089404,2.0325951709270815,5.027866716393372,5.532575871346742,2.912001418542186,1.541061829214236,1.185056717041488,16.839492282627756,0.8057495418194411,67.31388633145728
2024-03-13,16.90738984574151,14.547670848289757,2.0325951709270815,5.039377139996764,5.574480384888477,2.9124516219172163,1.5386428260051166,1.185056717041488,16.837678030220914,0.8071001519445329,67.38244273697286
2024-03-14,16.91654914605361,14.548174807291655,2.0325951709270815,5.031165967992476,5.596539590966744,2.9130737895426018,1.5590699642154577,1.185056717041488,16.837630207871364,0.8061056728474504,67.42596103474993
2024-03-15,16.8881656576687,14.546830916619925,2.0325951709270815,5.0342655913517484,5.588184461393699,2.913400354975833,1.58225879775621,1.1851911061086615,16.837137302370238,0.8061191117541676,67.41414847092626
2024-03-18,16.904132832626214,14.542792525151366,2.0325951709270815,5.0058691814580305,5.599015400434557,2.91276200690676,1.590315422333249,1.1851911061086615,16.838879495359258,0.8057629807261584,67.41731612203134
2024-03-19,17.016859880609275,14.549720281564149,2.032541415300212,5.003497214422422,5.475548462003649,2.9144149924329916,1.5902482277996626,1.1851911061086615,16.83581190363415,0.8052657411776174,67.4090992250528
2024-03-20,17.040495114314457,14.565396766249913,2.032541415300212,4.9814327470121755,5.474881428588188,2.9151782282621888,1.602168538057934,1.185056717041488,16.84053458407439,0.80721438265163,67.44489992155258
2024-03-21,17.072656111391275,14.604201609396203,2.032541415300212,4.990914117443212,5.440444935667633,2.9153851874256356,1.6126508852974513,1.185056717041488,16.837526446072598,0.80721438265163,67.49859180768733
2024-03-22,17.077568367769125,14.609758597323818,2.032541415300212,4.997414032821743,5.44543106571571,2.914874508970377,1.6126643242041685,1.1845863553063818,16.838662033690213,0.80721438265163,67.52071508375337
2024-03-25,17.062602613104012,14.559060321732694,2.032541415300212,4.999564741697157,5.5065516300722335,2.9134553604210267,1.6220917172663754,1.1845863553063818,16.839576799912102,0.8064752427821769,67.52650619759437
2024-03-26,17.05891138219323,14.582820308808934,2.0325871075830513,4.998368759632755,5.469704526539805,2.914275133730784,1.6223000203204936,1.1856480289370506,16.838877976762802,0.8191279734565429,67.52262121796545
2024-03-27,17.030927580333003,14.586025488061017,2.0325871075830513,5.011162598827653,5.492784303352546,2.9162706232336135,1.6222462646936244,1.1856480289370506,16.838280415775614,0.8199947829398104,67.53592719373698
2024-03-28,17.010770987473244,14.589842137568738,2.0326543021166374,5.020072593981243,5.545119229478789,2.9204532410490613,1.6248130958766343,1.1857152234706374,16.838282834778823,0.8199947829398104,67.58771842873361
2024-04-02,17.015648430363242,14.508731616076295,2.0327685328237353,5.03044176546784,5.548680734623028,2.9245400125818013,1.6246652679027438,1.1853792508027041,16.838867427221025,0.8141488585177721,67.52387189638019
2024-04-03,17.013553109941864,14.559658353081614,2.0329029218909085,5.03761373369349,5.5004133691123736,2.9270262103245073,1.655615291814715,1.1853792508027041,16.838867427221025,0.814935034560736,67.56596470244394
2024-04-05,17.04694451284264,14.389817449988001,2.0329029218909085,5.0416924418822,5.571101816861926,2.9252186773710265,1.6736343660860045,1.1851440699351508,16.84201885084624,0.8157010522436238,67.52417615994773
2024-04-08,17.078162535432366,14.376109765136327,2.0329029218909085,5.075780228770706,5.531858979587359,2.9263811428020756,1.6857764183051116,1.1851440699351508,16.840578858552572,0.8157025641206295,67.54839748453321
