date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,BOCOM INTERNATIONAL SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL
2024-03-01,29.28143925938487,28.73411505661726,18.36764580842661,5.316436730911715,5.722224292636895,2.735552588755253,6.1000683031841145,0.7623223642934791,1.7104229233062949,1.269772672483506
2024-03-04,30.002810368156613,22.15195137110706,18.798082585280305,5.449367580988434,11.62750535530885,2.7995287333457033,4.42688310889205,1.4447001136749549,1.7518813560087036,1.5472894272373279
2024-03-05,30.564308202518458,22.74179686540167,19.218316155637694,5.551075853773053,9.896606350851492,2.8387342039099726,4.3617216346286165,1.4036399492420657,1.7937533532460157,1.6300474307909576
2024-03-06,30.218076464424094,22.440232374853938,19.14036373898061,5.505373782362904,10.83551761021495,2.8710783422044566,4.193612594522694,1.33236702165251,1.7824872567614822,1.6808908140223608
2024-03-07,30.36911286738067,22.641415434325747,19.290590007789806,8.161771990110173,7.6897047156936225,2.903356947794437,4.196165770810903,1.1599176067816312,1.7945898078066786,1.793374851506329
2024-03-08,30.26322609659185,22.541629615673124,19.2456739576831,8.146719520741062,7.9860207505762,2.893583240097539,4.177070863926626,1.1560129213278563,1.7922023863243672,1.7978606470582803
2024-03-11,30.22339743850514,22.626663269687825,19.261387826160544,8.147939523276778,7.916466205198958,2.8885753747956455,4.169258098065841,1.1621825605154554,1.7898301518190267,1.8142995519747886
2024-03-12,30.172320015260677,22.668397831066915,19.190754199147896,8.118859422548049,7.9894798675457155,2.8799677991714616,4.2307299370429305,1.1505734283759994,1.785951332190975,1.812966167649375
2024-03-13,30.318825577652714,22.444407944761295,19.193437085003012,8.147929326146555,8.046720890500357,2.888333924216746,4.244175212905581,1.13312021626265,1.7927139331910615,1.790335889360031
2024-03-14,30.398597855858096,22.211660494241485,19.010687915081345,8.072417835689487,8.37032520987233,2.8137236404993917,4.256993789752952,1.2761631088336474,1.7774572137778266,1.8119729363934398
2024-03-15,30.528306078727436,22.284714884821298,19.394637121311746,8.12145206234384,6.474773445029397,2.8240019523273197,5.972702624407011,0.8259688027079122,1.7821865481062893,1.7912564802177555
2024-03-18,30.41442517302415,22.621567657648953,19.466976124374423,8.129723926281029,6.241534224188229,2.806174745342156,5.963844549037817,0.829599163330533,1.7611163238682472,1.7650381129044646
2024-03-19,30.43691897311409,22.44712069267168,19.65515603218545,8.118348677806335,6.271854279807219,2.8029062663583666,5.959244269255386,0.8119170685733368,1.7590650718205525,1.7374686684075844
2024-03-20,30.412957679144547,22.357934275192505,19.68629799924349,8.093647991046023,6.435833780332478,2.7799701582115373,5.952539274938553,0.8047451520744962,1.7564399851702117,1.7196337046461625
2024-03-21,30.420079606610205,22.25958107201632,19.906280033344327,8.12033422302068,6.226560578461871,2.778025573713474,5.94983918160056,0.8145744898104329,1.7610661502287437,1.763659091193381
2024-03-22,30.445053957450302,22.07992377990646,20.090956564176317,8.151904526464666,6.115608088589167,2.7965437959397144,5.952195695482152,0.8175239942960022,1.7775076372044136,1.7727819604908015
2024-03-25,30.57899283526721,22.206225238903293,20.194171284837154,8.18730868967994,5.754222242026234,2.800093890411327,5.912352573895454,0.8035658493076123,1.7879588455848965,1.7751085500868784
2024-03-26,30.562243025632768,22.20875485186406,20.287614382239227,8.199490580265849,5.577854604710651,2.8724821596070855,5.897102988229754,0.7923696330840698,1.7959904395374624,1.8060973348290674
