date,HSBC BROKING SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,VMS SECURITIES LTD,CITIBANK N.A.,THE BANK OF EAST ASIA LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,EAST ASIA SECURITIES CO LTD,HANG SENG SECURITIES LTD
2024-03-01,0.0,83.56508134139177,0.0,0.0,7.525141176215482,0.0,0.0,0.0,0.0,8.909777482392736
2024-03-04,60.27001617042592,30.72431226727348,0.0,0.0,2.8701577193950683,0.0,2.8697833896864955,0.0,0.0,3.265730453219034
2024-03-05,53.57090247865788,27.266197999008284,0.0,3.763466656104287,2.6723223806723784,3.643238938156311,2.5505270244289924,3.636933115417098,0.0,2.896411407554778
2024-03-06,53.57598759937371,27.268786193380073,0.0,3.7591465219877516,2.6725760460255574,3.6435847660020255,2.55008127940835,3.6372783446940304,0.0,2.8925592491285035
2024-03-07,53.57900965011646,27.263858191800335,0.0,3.7593585634646876,2.675478349404264,3.643790289008539,2.5502251213675895,3.635557425659409,0.0,2.892722409178723
2024-03-08,53.57642982940759,27.262545441407475,0.0,3.7598654058019862,2.675349525551472,3.6484298250295284,2.5494144735893025,3.635382374153301,0.0,2.8925831250593457
2024-03-11,53.583432777972384,27.252350020048265,0.0,3.760356855943983,2.6756992191607685,3.6495946542395163,2.5497477062904315,3.635857553179985,0.0,2.892961213164669
2024-03-12,53.5835802281448,27.252425012699927,0.0,3.7600920249833787,2.6757065821140316,3.6496046971451896,2.5497547226520085,3.635867558284087,0.0,2.892969173976576
2024-03-13,53.588667756084455,27.247581982694953,0.0,3.759210607828188,2.675960628818952,3.6499512112412305,2.5498592083819447,3.6362127680985283,0.0,2.892555836851756
2024-03-14,53.59641150032185,27.23775712293886,0.0,3.7597538265104298,2.6763473142053704,3.650478641570111,2.54953956029728,3.6367382131757804,0.0,2.892973820980321
2024-03-15,53.6037885757953,27.227742039049918,0.0,3.760271323614497,2.6767156899151874,3.6509810979043924,2.549890482033127,3.6372387782607327,0.0,2.8933720134268426
2024-03-18,53.609470307931126,27.22305697332145,0.0,3.7606698934728304,2.6769994083231197,3.651368083548176,2.5493348227501027,3.6376243072877132,0.0,2.891476203365481
2024-03-19,53.620615903748636,27.227615266366932,0.0,3.742588983148894,2.6775559658350203,3.6521272157053564,2.549038731778309,3.6383805820658837,0.0,2.892077351350968
2024-03-20,53.63346492151256,27.20618313730869,0.0,3.7434858134354743,2.68219138928261,3.6530023687911584,2.5496495536309403,3.6392524410690483,0.0,2.892770374969512
2024-03-21,53.636124107850925,27.206705694228194,0.0,3.7436714181945088,2.6781926467970294,3.653183487314962,2.5497759671168216,3.6394328778614,0.0,2.892913800636162
2024-03-22,53.63619797790218,27.2067431645111,0.0,3.743676574144983,2.678196335322839,3.653188518641441,2.5496417543420518,3.639437890249929,0.0,2.8929177848854772
2024-03-25,53.63708443438853,27.2058155488003,0.0,3.7437384466584547,2.6782405984250475,3.6532488956401905,2.549408439364979,3.639498039989211,0.0,2.8929655967332883
2024-03-26,53.639891739912585,27.20723947101908,0.0,3.743934389777525,2.673146885452759,3.6534401026364995,2.5495418725757957,3.6396885272809834,0.0,2.8931170113447693
2024-03-28,53.64151715637606,27.20503367701862,0.0,3.7440478399057397,2.6732278881695053,3.653550810572301,2.5496191297662856,3.639798818511302,0.0,2.8932046796801902
2024-04-02,53.642625451354306,27.203529649916202,0.0,3.7441251962080826,2.6732831201092644,3.653626297102712,2.549671807807992,3.639874020909859,0.0,2.8932644565915737
2024-04-03,53.642625451354306,27.202565463311124,0.0,3.7441251962080826,2.6732831201092644,3.6545904837077945,2.549671807807992,3.639874020909859,0.0,2.8932644565915737
2024-04-05,53.65297174669051,27.20106153691113,0.0,3.7448473425372333,2.6737987282929656,3.6435851226971816,2.5493369694580514,3.6405760598441965,0.0,2.893822493568731
2024-04-08,53.65925537340529,27.19997592611085,0.0,3.7452859244468324,2.674111873167743,3.636571528335606,2.5496355378572426,3.6410024299079984,0.0,2.894161406768437
2024-04-09,53.66561442322073,27.198927541059092,0.0,3.7457297707059896,2.674428776756792,3.6295612924996035,2.5497998900340226,3.641433917741156,0.0,2.8945043879826096
2024-04-10,53.6756736719418,27.196858850379524,0.0,3.746431881877368,2.6707953058607634,3.622799035318943,2.5502778324103184,3.642116479375334,0.0,2.8950469428359527
2024-04-11,53.675303779849,27.267237755174932,0.0,3.7464060643061203,2.6707769007621867,3.552896869049096,2.550260257826897,3.642091380666839,0.0,2.895026992364926
