date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BNP PARIBAS,HANG SENG SECURITIES LTD
2024-03-01,24.60002424692405,4.593838370787251,4.939748879470413,1.2111771937288716,1.1365580715020385,1.6918164306883838,0.24178669726055502,2.476320419304425,0.37728105864446154
2024-03-04,24.676730297505138,4.561988487261365,4.7977504385001914,1.1987688360859112,1.1224471463756998,1.7982161724153096,0.2309933246665419,2.480285506804009,0.3633990518534103
2024-03-05,24.71048143192875,4.584226653480039,4.733579862514217,1.201232948448308,1.1444831474469317,1.8718626781177967,0.23098149800541654,2.4094295764828466,0.36344921127277025
2024-03-06,25.020519655767142,4.575286461404248,4.894509126510733,1.201704667125674,1.1480437249492772,1.90373738303123,0.23259881918495645,2.400680744950508,0.36187681568155083
2024-03-07,25.299979199295368,4.644179851093819,4.790799259458912,1.1970626857868645,1.0861812010632712,1.9007835255991534,0.2260340675916155,2.4277169976960082,0.36362891362605243
2024-03-08,25.318857728936855,4.7056829815046575,4.7531413060237675,1.1973097765226275,1.0893398293269128,1.9266822287541865,0.22758400038867463,2.435495211892682,0.36165218773994806
2024-03-11,25.37729329525158,4.871503327995822,4.634050523620772,1.1919184139078367,1.0866134189171062,1.951211599977209,0.22635326389663304,2.4383992019217224,0.3596754618538437
2024-03-12,25.384720775380238,5.088044663700893,4.4815450882192875,1.1770255813795734,1.0825984640144866,1.9626226994106297,0.22788062158556108,2.4347699556576288,0.35370597430575007
2024-03-13,25.514959247260933,5.394557015053917,4.342221572934657,1.2058385737547692,1.0734799398158579,2.0031455800757696,0.22908238107313592,2.442083684196656,0.3473939291467122
2024-03-14,25.396069641642434,5.592544082782599,4.348309405713785,1.206096132152611,1.1139329050341737,1.9859840053373181,0.22485937577100382,2.412206393402749,0.3440418962253507
2024-03-15,25.38285867713273,5.756439289194448,4.300997257827672,1.2043440342081093,1.0739489292637332,1.9865006496030044,0.23110403254756084,2.4220664368994025,0.3407174026896297
2024-03-18,25.17226455711534,5.809513761509512,4.270501128286046,1.2103416002489034,1.0715526433083034,2.006289169498721,0.25028793264426225,2.296783684203552,0.3464180218230219
2024-03-19,24.624375409569602,5.769979243787424,4.704660396494702,1.2124755656941297,1.0756699836267054,1.99568673065507,0.2507371885274678,2.293980686897056,0.346754963735426
