date,PARTNERS CAPITAL SECURITIES LTD,ORIENT SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-11,0.0,0.0,100.0
2024-03-12,0.0,0.0,100.0
2024-03-13,0.0,70.92890007616961,29.07109992383039
2024-03-14,0.0,71.19710262640655,28.802897373593456
2024-03-21,0.0,71.30495243130164,28.69504756869835
2024-03-27,0.0,71.34548039446751,28.654519605532485
2024-03-28,0.0,71.34493971858824,28.65506028141177
2024-04-24,0.0,71.48036423521765,28.519635764782347
2024-05-13,43.15843543697227,40.630557386648626,16.211007176379102
2024-10-04,43.16309250621476,40.634941681797294,16.201965811987947
2024-11-18,43.097613379534536,40.57329780181713,16.32908881864834
2025-03-19,43.09947084009016,40.57504646709971,16.325482692810127
