date,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD,CMB WING LUNG BANK LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,INTERACTIVE BROKERS HONG KONG LTD,YUANTA SECURITIES (HONG KONG) CO LTD,ABN AMRO CLEARING HONG KONG LTD
2024-03-01,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,6.348536756252734,0.0,0.0,0.0,0.0,93.65146324374727
2024-03-07,0.0,0.0,0.0,6.2059750883177625,0.0,0.0,0.0,0.0,93.79402491168224
2024-03-08,0.0,0.0,0.0,6.035931662928955,0.0,0.0,0.0,2.7499228135383564,91.2141455235327
2024-03-11,0.0,0.0,0.0,5.992503457023993,0.0,0.0,0.0,2.739993356994523,91.26750318598148
2024-03-15,0.0,0.0,0.0,5.998415550103049,0.0,0.0,0.0,2.7426965837642228,91.25888786613274
2024-03-18,0.0,0.0,0.0,5.999007401078045,0.0,0.0,0.0,2.7429671998350273,91.25802539908693
2024-03-20,0.0,0.0,0.0,6.04373156686723,0.0,0.0,0.0,2.7634167361662665,91.1928516969665
2024-03-28,0.0,0.0,0.0,6.79533698603424,0.0,0.0,0.0,2.7658911890446833,90.43877182492108
2024-04-05,0.0,0.0,0.0,8.678515020946605,0.0,0.0,0.0,3.5323970363442996,87.7890879427091
2024-04-08,0.0,0.0,0.0,9.38802872763499,0.0,0.0,0.0,3.712477932123083,86.89949334024193
2024-04-09,0.0,0.0,0.0,9.405613398517044,0.0,0.0,0.0,3.71943175645482,86.87495484502814
2024-04-10,0.0,0.0,0.0,10.46421758625381,0.0,0.0,0.0,4.023585738559556,85.51219667518663
2024-04-11,0.0,0.0,0.0,10.906194658227314,0.0,0.0,0.0,4.1935298962478464,84.90027544552484
2024-04-12,0.0,0.0,0.0,11.186305362928305,0.0,0.0,0.0,4.301234980489721,84.51245965658197
2024-04-15,0.0,0.0,0.0,11.280553449228147,0.0,0.0,0.0,4.337474216992289,84.38197233377956
2024-04-16,0.0,0.0,0.0,11.363886417719488,0.0,0.0,0.0,4.369516492567107,84.2665970897134
2024-04-30,0.0,0.0,0.0,11.212327046365997,0.0,0.0,0.0,4.311240551714726,84.47643240191928
2024-05-02,0.0,0.0,0.0,13.173574138251468,0.0,0.0,0.0,5.065357690779956,81.76106817096857
2024-05-06,0.0,0.0,0.0,19.813593275984445,0.0,0.0,0.0,7.6185047451226495,72.5679019788929
2024-05-07,0.0,55.23583858756302,0.0,22.600742104588605,0.0,0.0,0.0,8.690188527075565,13.473230780772802
2024-05-08,0.0,44.54236313999713,0.0,18.225313271204257,0.0,0.0,0.0,7.007796804142162,30.22452678465645
