date,REALINK FINANCIAL TRADE LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,NANYANG COMMERCIAL BANK LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,IFAST SECURITIES (HK) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CHIEF SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-12,0.0,3.1927999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1927999999999996
2024-03-18,0.0,3.1904000000000003,1.3248,0.0,0.856,0.0,0.0,0.0,0.0,0.0,5.3712
2024-03-21,0.0,3.1824,1.3248,0.0,0.856,0.0,0.0,0.0,0.0,0.0,5.3632
2024-03-25,0.0,3.1744000000000003,1.3248,0.0,0.8623999999999999,0.0,0.0,0.0,0.0,0.0,5.361599999999999
2024-04-02,0.0,3.1664,1.3248,0.0,0.8704,0.0,0.0,0.0,0.0,0.0,5.361599999999999
2024-04-05,0.0,3.1664,1.3248,0.0,0.8704,0.0,0.0,0.0,0.0,0.7848,6.1464
2024-04-12,4.0064,3.1784,2.6816,0.0,0.8888,1.4136001,0.0,0.0,0.0,0.7872,12.9560001
2024-04-16,4.001600000000001,3.1784,2.6816,0.0,0.8888,1.4136001,0.0,0.0,0.6816,0.7872,13.6328001
2024-04-22,3.9976,3.1704000000000003,2.6816,0.0,0.8888,1.4136001,0.0,0.0,0.6816,0.7872,13.6208001
2024-04-30,3.9976,3.1704000000000003,2.6816,0.0,0.8896,1.4136001,0.0,0.0,0.6816,0.7872,13.6216001
2024-05-02,4.008,3.1704000000000003,2.6816,0.0,0.8784000000000001,1.4136001,0.0,0.0,0.6816,0.788,13.6216001
2024-05-07,4.008,3.1704000000000003,2.6816,0.0,0.8784000000000001,1.4136001,0.0,0.0,0.6816,0.7888,13.622400100000002
2024-05-16,4.008,3.1655999999999995,2.6816,0.0,0.8647999999999999,1.4136001,0.0,0.0,0.6848,0.7816,13.6000001
2024-05-17,4.008,3.1824,2.6816,0.0,0.8647999999999999,1.4136001,0.0,0.0,0.688,0.796,13.634400099999999
2024-05-23,4.008,3.1815999999999995,2.6816,0.0,0.86,1.4136001,0.0,0.0,0.6888,0.792,13.625600099999998
2024-05-24,4.008,3.1896,2.6816,0.0,0.8496,1.4136001,0.0,0.0,0.6911999999999999,0.792,13.625600099999998
2024-05-29,4.008,3.1896,2.6816,0.0,0.8496,1.4040001,0.0,0.0,0.7016,0.792,13.6264001
2024-05-30,4.008,3.1888,2.6816,0.0,0.8496,1.4016001,0.0,0.0,0.7048,0.792,13.6264001
2024-05-31,4.008,3.1888,2.6816,0.0,0.8496,1.4016001,0.0,1.02,0.7048,0.792,14.646400100000001
2024-06-04,4.008,3.1888,2.6816,0.0,0.848,1.4016001,0.0,1.02,0.7064,0.792,14.646400100000001
2024-06-06,4.008,3.1952000000000003,2.6816,0.0,0.848,1.4016001,0.0,1.02,0.7064,0.792,14.652800099999999
2024-06-07,4.008,3.1952000000000003,2.6816,0.0,0.848,1.4016001,0.0,1.02,0.7128,0.792,14.6592001
2024-06-11,4.008,3.1952000000000003,2.6816,0.0,0.848,1.4016001,0.0,1.02,0.716,0.792,14.662400100000001
2024-06-12,4.008,3.1952000000000003,2.6816,0.0,0.848,1.4016001,0.0,1.02,0.7192,0.792,14.6656001
2024-06-14,4.008,3.2016000000000004,2.6816,0.0,0.848,1.4016001,0.0,1.02,0.7128,0.7984,14.672000099999998
2024-06-17,4.008,3.2016000000000004,2.6816,0.0,0.848,1.4016001,0.0,1.02,0.7136,0.7984,14.6728001
2024-06-18,4.008,3.2016000000000004,2.6816,0.0,0.848,1.4016001,0.0,1.02,0.7168,0.7984,14.6760001
2024-06-19,4.008,3.2016000000000004,2.6816,0.0,0.8488000000000001,1.4016001,0.0,1.02,0.716,0.7992000000000001,14.676800100000001
2024-06-20,4.008,3.2016000000000004,2.6816,0.0,0.848,1.4016001,0.0,1.02,0.7192,0.7992000000000001,14.679200100000001
2024-06-21,4.008,3.2016000000000004,2.6816,0.0,0.848,1.4016001,0.0,1.02,0.7224,0.796,14.679200100000001
2024-06-25,4.008,3.2016000000000004,2.6816,1.7152,0.848,1.4016001,0.0,1.02,0.724,0.7968,16.3968001
2024-06-26,4.0088,3.3447999999999998,2.6816,1.7152,0.8368,1.4200001,0.0,1.02,0.7296,0.6616000000000001,16.4184001
2024-06-28,4.016,3.3520000000000003,2.6816,1.7152,0.8416,1.4200001,0.0,1.02,0.724,0.6487999999999999,16.4192001
2024-07-10,4.02,3.3520000000000003,2.6816,1.7152,0.8423999999999999,1.4200001,0.0,1.02,0.724,0.6496,16.4248001
2024-07-19,4.0216,3.3520000000000003,2.6816,1.7152,0.8264,1.4200001,0.7704,1.02,0.732,0.6496,17.1888001
2024-07-22,4.0224,3.3520000000000003,2.6816,1.7152,0.8240000000000001,1.4200001,0.7704,1.02,0.74,0.6487999999999999,17.194400100000003
2024-07-23,4.0224,3.3520000000000003,2.6696,1.7152,0.8240000000000001,1.4200001,0.7704,1.02,0.74,0.6487999999999999,17.1824001
2024-07-25,4.0224,3.3520000000000003,2.6696,1.7152,0.8240000000000001,1.4200001,0.7704,1.02,0.7424,0.6487999999999999,17.1848001
2024-08-05,4.0224,3.3512,2.6696,1.7152,0.8240000000000001,1.4200001,0.7704,1.02,0.7424,0.6487999999999999,17.1840001
2024-08-06,4.0224,3.3512,2.6696,1.7152,0.8248,1.4200001,0.7704,1.02,0.7424,0.6487999999999999,17.1848001
2024-08-07,4.0224,3.3312,2.6696,1.7152,0.8248,1.4200001,0.7704,1.02,0.7424,0.6487999999999999,17.1648001
2024-08-09,4.0224,3.328,2.6696,1.7152,0.8240000000000001,1.4200001,0.7704,1.02,0.7424,0.6487999999999999,17.1608001
2024-08-13,4.0224,3.328,2.6696,1.7152,0.8224,1.4200001,0.7704,1.02,0.7424,0.6504,17.1608001
2024-08-14,4.0224,3.3208,2.6696,1.7152,0.8224,1.4200001,0.7704,1.02,0.7256,0.6528,17.1392001
2024-08-20,4.0224,3.3208,2.6696,1.7152,0.8231999999999999,1.4200001,0.7704,1.02,0.7256,0.6528,17.140000099999998
2024-08-21,4.0232,3.3208,2.6696,1.7152,0.8224,1.4200001,0.7704,1.02,0.7256,0.6536,17.1408001
2024-09-24,4.0232,3.3320000000000003,2.6696,1.7152,0.8231999999999999,1.4200001,0.7704,1.02,0.7256,0.6536,17.1528001
2024-09-25,4.0287999999999995,3.3320000000000003,2.6696,1.7152,0.8231999999999999,1.4152001,0.7704,1.02,0.7256,0.6536,17.1536001
2024-10-02,4.0287999999999995,3.3312,2.6696,1.7152,0.8248,1.4152001,0.7704,1.02,0.7248,0.6544,17.1544001
2024-10-03,4.0287999999999995,3.2944,2.6696,1.7152,0.8552000000000001,1.4152001,0.7303999999999999,1.02,0.7248,0.6688000000000001,17.1224001
2024-10-04,4.048,3.2944,2.6679999999999997,1.7104000000000001,0.856,1.4104001,0.7104,1.02,0.7288,0.676,17.1224001
2024-10-07,4.056,3.3296,2.6679999999999997,1.7104000000000001,0.8583999999999999,1.4104001,0.7104,1.02,0.7248,0.6704,17.1584001
2024-10-08,4.056,3.3296,2.6888,1.7104000000000001,0.8528000000000001,1.4104001,0.688,1.02,0.7248,0.6728,17.1536001
2024-10-09,4.0584,3.3296,2.6888,1.7104000000000001,0.8496,1.4104001,0.6768,1.02,0.7248,0.6856,17.1544001
2024-10-15,4.0584,3.3287999999999998,2.6888,1.7104000000000001,0.8488000000000001,1.4104001,0.6768,1.02,0.7248,0.7104,17.1776001
2024-10-16,4.0584,3.3287999999999998,2.6888,1.7104000000000001,0.8488000000000001,1.4104001,0.6288,1.02,0.7248,0.7112,17.130400100000003
2024-10-18,4.0584,3.3287999999999998,2.6888,1.7104000000000001,0.8488000000000001,1.4104001,0.6288,1.02,0.7248,0.7224,17.1416001
2024-10-28,4.0584,3.3287999999999998,2.6888,1.7104000000000001,0.8488000000000001,1.4104001,0.6288,1.02,0.7248,0.7272,17.1464001
2024-11-01,4.0584,3.3287999999999998,2.6888,1.7104000000000001,0.8488000000000001,1.4104001,0.6288,1.02,0.7248,0.728,17.147200100000003
2024-11-07,4.0584,3.3287999999999998,2.6888,1.7104000000000001,0.8488000000000001,1.4144001,0.6288,1.02,0.7256,0.7352,17.1592001
2024-11-12,4.0584,3.3287999999999998,2.6888,1.7104000000000001,0.848,1.4144001,0.5488,1.02,0.7256,0.7352,17.0784001
2024-11-14,4.0584,3.328,2.6888,1.7104000000000001,0.848,1.4144001,0.5488,1.02,0.7256,0.7343999999999999,17.0768001
2024-11-18,4.0584,3.328,2.6888,1.7104000000000001,0.848,1.4384001,0.5488,1.02,0.7256,0.7343999999999999,17.1008001
2024-11-19,4.0648,3.3208,2.6888,1.7104000000000001,0.848,1.4384001,0.5488,1.02,0.7256,0.7343999999999999,17.100000100000003
2024-11-20,4.0648,3.3296,2.68,1.7104000000000001,0.848,1.4288001,0.5488,1.02,0.7256,0.7343999999999999,17.0904001
2024-12-05,4.0648,3.3296,2.68,1.7104000000000001,0.844,1.4288001,0.5488,1.02,0.7256,0.736,17.088000100000002
2024-12-11,4.0728,3.3296,2.68,1.7104000000000001,0.8456,1.4288001,0.5488,1.02,0.7256,0.736,17.097600099999998
2024-12-12,4.0728,3.3296,2.672,1.7104000000000001,0.8512000000000001,1.4288001,0.5488,1.02,0.7256,0.736,17.0952001
2024-12-16,4.0728,3.3296,2.672,1.7104000000000001,0.8512000000000001,1.4272000999999999,0.5488,1.02,0.7256,0.736,17.0936001
2024-12-18,4.0728,3.3296,2.672,1.7104000000000001,0.8503999999999999,1.4272000999999999,0.5488,1.02,0.7256,0.7368,17.0936001
2024-12-23,4.0728,3.3296,2.672,1.7104000000000001,0.8512000000000001,1.4264001,0.5488,1.02,0.7248,0.7375999999999999,17.0936001
2025-01-23,4.0728,3.3296,2.672,1.7104000000000001,0.8647999999999999,1.4264001,0.5488,1.02,0.7248,0.7352,17.104800100000002
2025-01-24,4.0728,3.3296,2.672,1.7104000000000001,0.864,1.4264001,0.5488,1.02,0.7248,0.7352,17.1040001
2025-01-27,4.0728,3.3296,2.672,1.7104000000000001,0.8632000000000001,1.4264001,0.5488,1.02,0.7248,0.7368,17.104800100000002
2025-02-04,4.0728,3.3296,2.672,1.7104000000000001,0.8632000000000001,1.4264001,0.5488,1.02,0.7335999999999999,0.7368,17.1136001
2025-02-10,4.0728,3.324,2.672,1.7104000000000001,0.8024,1.4264001,0.6864,1.02,0.748,0.7375999999999999,17.2000001
2025-02-12,4.0728,3.324,2.672,1.7104000000000001,0.8024,1.4264001,0.6896,1.02,0.748,0.7375999999999999,17.2032001
2025-02-14,4.3751999999999995,3.324,2.672,1.7104000000000001,0.8024,1.4264001,0.39760000000000006,1.02,0.744,0.7375999999999999,17.2096001
2025-02-17,4.376,3.324,2.672,1.7104000000000001,0.8016000000000001,1.4264001,0.39760000000000006,1.02,0.744,0.7375999999999999,17.2096001
2025-02-18,4.3776,3.3232,2.672,1.7104000000000001,0.8024,1.4264001,0.39760000000000006,1.02,0.744,0.7375999999999999,17.2112001
2025-02-20,4.3856,3.3192,2.672,1.6856,0.8024,1.4264001,0.4184,1.02,0.744,0.7375999999999999,17.2112001
2025-02-24,4.4088,3.3192,2.672,1.6856,0.8016000000000001,1.4264001,0.4184,1.02,0.7432,0.7375999999999999,17.232800100000002
2025-02-25,4.4088,3.3192,2.672,1.6856,0.7928,1.4264001,0.4184,1.02,0.724,0.7375999999999999,17.2048001
2025-03-03,4.484,3.3160000000000003,2.672,1.6856,0.7944,1.4264001,0.4184,1.02,0.724,0.7272,17.2680001
2025-03-11,4.484,3.3152,2.6599999999999997,1.6856,0.7944,1.4264001,0.4184,1.02,0.724,0.7272,17.2552001
2025-03-12,4.5,3.3152,2.6599999999999997,1.6856,0.9927999999999999,1.4264001,0.4184,1.02,0.724,0.7272,17.469600099999997
2025-03-13,4.7976,3.3112000000000004,2.6599999999999997,1.6856,1.1304,1.4264001,0.5024,1.02,0.7263999999999999,0.7080000000000001,17.9680001
2025-03-14,4.7216000000000005,3.3072,2.6599999999999997,1.6856,1.1528,1.4264001,0.5024,1.02,0.7328,0.7032,17.9120001
2025-03-17,4.7216000000000005,3.3072,2.6599999999999997,1.6856,1.164,1.4240001,0.5024,1.02,0.7328,0.7032,17.9208001
2025-03-19,4.7216000000000005,3.3072,2.6599999999999997,1.6856,1.164,1.4232000999999999,0.5024,1.02,0.7328,0.7032,17.9200001
2025-03-20,4.7216000000000005,3.3072,2.6599999999999997,1.6856,1.164,1.4224001,0.5024,1.02,0.7328,0.7032,17.919200099999998
2025-03-24,4.7216000000000005,3.3072,2.6368,1.6856,1.2912,1.4224001,0.5024,1.02,0.7328,0.7040000000000001,18.024000100000002
2025-03-26,4.7216000000000005,3.3072,2.6368,1.6856,1.2496,1.4224001,0.5024,1.02,0.744,0.7040000000000001,17.993600100000002
2025-03-27,4.7216000000000005,3.3072,2.6368,1.6856,1.2504,1.4216001,0.5024,1.02,0.7432,0.7048,17.993600100000002
2025-04-01,4.74,3.3072,2.6368,1.6856,1.1991999999999998,1.4216001,1.0424,1.02,0.7432,0.7056,18.5016001
2025-04-02,4.74,3.3072,2.6368,1.6856,1.1984,1.4208001,1.0424,1.02,0.7432,0.7056,18.5000001
2025-04-03,4.74,3.3072,2.6368,1.6856,1.2992,1.4208001,1.0424,1.02,0.7432,0.7104,18.6056001
2025-04-07,4.74,3.3072,2.6368,1.6856,1.3072,1.4200001,1.0424,1.02,0.7392,0.716,18.6144001
2025-04-11,4.74,3.3072,2.6256000000000004,1.6856,1.268,1.4200001,1.0424,1.02,0.752,0.716,18.5768001
2025-04-14,4.74,3.3072,2.6256000000000004,1.6856,1.2688,1.4200001,1.0424,1.02,0.752,0.716,18.577600099999998
2025-04-16,4.74,3.3072,2.6256000000000004,1.6856,1.3368,1.4200001,1.0424,1.02,0.752,0.716,18.6456001
2025-04-17,4.74,3.3072,2.6256000000000004,1.6856,1.3056,1.4200001,1.0424,1.02,0.752,0.716,18.6144001
2025-04-24,4.74,3.3072,2.6248,1.6856,1.3408,1.4200001,1.0424,1.02,0.752,0.716,18.6488001
2025-04-25,4.756,3.3072,2.6248,1.6856,1.2432,1.4200001,1.0904,1.02,0.7584,0.72,18.6256001
2025-04-28,4.764,3.3072,2.6248,1.6856,1.2432,1.4200001,1.0992,1.02,0.7584,0.72,18.6424001
2025-04-29,4.78,3.3072,2.6248,1.6856,1.2736,1.4200001,1.1008,1.02,0.7584,0.72,18.690400099999998
2025-04-30,4.8024,3.3072,2.6248,1.6856,1.5624,1.4200001,1.1024,1.02,0.7584,0.72,19.0032001
2025-05-02,4.78,3.3072,2.6248,1.6856,1.6696,1.4200001,1.1032,1.02,0.7584,0.72,19.0888001
