date,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,SINOPAC SECURITIES (ASIA) LTD,CHINA SECURITIES (INTERNATIONAL),STANDARD CHARTERED BANK (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,CITIBANK N.A.
2024-03-05,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,42.347253851720914,0.0,0.0,42.95418633004033,14.698559818238763,0.0,0.0,0.0,0.0
2024-03-11,0.0,42.33152382519055,0.0,0.0,42.93999968161147,14.728476493197984,0.0,0.0,0.0,0.0
2024-03-20,0.0,42.32846349924025,0.0,0.0,42.942278403090654,14.729258097669096,0.0,0.0,0.0,0.0
2024-03-21,0.0,33.76509872281824,20.12476539168179,0.0,34.33364901546182,11.776486870038143,0.0,0.0,0.0,0.0
2024-03-22,0.0,33.75854073258537,20.1267579667794,0.0,34.33704842771368,11.777652872921548,0.0,0.0,0.0,0.0
2024-03-25,0.0,33.76570468857331,20.125370121894097,0.0,34.344335149780264,11.764590039752337,0.0,0.0,0.0,0.0
2024-03-26,0.0,25.93145989235926,15.502681295512627,17.45408523826739,26.461207244510867,9.044618526642683,5.605947802707174,0.0,0.0,0.0
2024-03-27,0.0,25.933944146692017,15.505469992994083,17.454499435739386,26.465967214776164,9.033162982018078,5.60695622778027,0.0,0.0,0.0
2024-04-02,0.0,25.93265255786449,15.505563085492188,17.45256069052968,26.467987113505075,9.033852398515778,5.607384154092792,0.0,0.0,0.0
2024-04-05,63.50374228281428,9.464447710420577,5.658950264182042,6.369531527863959,9.65982478949632,3.297018053152482,2.0464853720703395,0.0,0.0,0.0
2024-04-08,63.493130993528226,9.470425382114994,5.658004670172145,6.377617751654334,9.65821066107476,3.296467131095203,2.0461434103603353,0.0,0.0,0.0
2024-04-11,62.618818732755486,9.340015857545156,5.5800928901538445,6.289796765233589,9.525215298175356,3.247150446659656,2.0179676338159442,1.3809423756609702,0.0,0.0
2024-04-12,62.61808164586814,9.33990591610334,5.581204308044551,6.289722727958318,9.525103176748644,3.2471122244117137,2.0179438802940464,1.3809261205712404,0.0,0.0
2024-04-15,62.61822831963325,9.339869269531235,5.581182409322235,6.289698049253889,9.525065803526306,3.2470994838623604,2.0179359625776816,1.3809207022930365,0.0,0.0
2024-04-18,62.615771492545576,9.339502819626269,5.580963431550227,6.293374774297147,9.52469208743267,3.2469720838674645,2.017856788831201,1.3808665218494438,0.0,0.0
2024-04-22,62.018147477402216,9.250363757031275,5.527697014881889,6.236417730028118,9.433785522000136,3.2159819922728845,1.998597748378922,1.3676871107283504,0.0,0.9513216472762076
2024-04-30,37.93935303810705,5.658872936132088,3.3815464838208844,3.808684888437212,5.7710804653647525,1.9673640882855115,1.2226341585669354,0.8366771058180759,0.0,0.5819672030990084
2024-05-02,62.024655319293245,9.255609547453316,5.528277060879031,6.222303589193243,9.43477545135321,3.216319459662373,1.9988074701890575,1.3678306282604769,0.0,0.9514214737160451
2024-05-03,62.02007558447462,9.258035078101493,5.527868867672437,6.221844150922239,9.434078812743643,3.2160819752274907,1.998659883586281,1.3677296313017357,0.0,0.9556260159700579
2024-05-06,62.01959354646716,9.258351736464219,5.527825903473032,6.221795792945746,9.434005488348111,3.216056978906017,1.9986443494222417,1.368107615405846,0.0,0.9556185885676199
2024-05-07,61.30675866967301,9.14387187276211,5.464290706424548,6.150284311107673,9.32557381771932,3.1790925705758686,1.9756725220188855,1.3562244696042436,1.1535960691469402,0.9446349909673966
2024-05-09,61.30699417918849,9.143906998886555,5.463927548110951,6.150307937384931,9.325609641850608,3.1791047830393424,1.9756801115520546,1.3562296795317401,1.1536005006787515,0.9446386197765826
2024-05-10,61.304639165454375,9.143555749785957,5.4637176597517145,6.150455817374823,9.325251412922904,3.178982662626713,1.9756042188442287,1.359634793407287,1.1535561868927122,0.9446023329392791
2024-05-13,61.301813387787995,9.143134286484308,5.463465815004751,6.150172318100977,9.324821574536532,3.1788361305154047,1.9755131552908793,1.364181525021714,1.1535030148431868,0.9445587924142492
2024-05-14,61.293337617590396,9.141870129670417,5.467319185394119,6.149321977069234,9.323532297100325,3.1783966152213363,1.9752400149936962,1.3639929092455256,1.1625610587956288,0.944428194919327
2024-05-16,61.409140097244205,8.970210416809993,5.477648678669189,6.160939989088373,9.341147395267647,3.176705822668937,1.9789718674353893,1.3742657107230811,1.1647575039329034,0.9462125181602798
2024-05-20,61.408194928352955,8.970072353260813,5.474101319052757,6.160845163972611,9.341003622501692,3.1766569289128035,1.9789414084085601,1.3792467440998004,1.1647395767553395,0.9461979546826726
2024-05-22,61.365220500954244,8.963794954559285,5.466425314282967,6.156533706950911,9.334466640223113,3.1744338540818076,1.9775565138683255,1.3782815253836604,1.1639244735522887,1.019362516143396
2024-05-24,61.35885029671476,8.962864440431652,5.465088906736271,6.1558946091557685,9.333497647388416,3.174104322274862,1.9773512275712075,1.3781384486580408,1.1638036488154861,1.0304064522535366
2024-05-27,61.35885029671476,8.962864440431652,5.466242329579496,6.1558946091557685,9.333497647388416,3.166414836653353,1.9773512275712075,1.384674511436324,1.1638036488154861,1.0304064522535366
2024-05-28,61.35837848234566,8.964333406443119,5.492344347389742,6.155847273856668,9.333425878144327,3.1279433562703414,1.9773360228742907,1.3838949214340728,1.1637946998328752,1.0427016114089036
