date,ABN AMRO CLEARING HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,CMB WING LUNG BANK LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,PHILLIP SECURITIES (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD
2024-03-01,63.60345307713728,0.0,35.22695627958786,1.1695906432748537,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,58.161446396740516,0.0,32.13649096002037,1.06951871657754,0.0,8.632543926661572,0.0,0.0,0.0,0.0
2024-03-05,33.53421033291688,35.77570368192842,18.54927610788565,0.6173293157933417,6.540751084000881,4.982729477474829,0.0,0.0,0.0,0.0
2024-03-06,33.46071874770339,35.849195267141916,18.54927610788565,0.6173293157933417,6.540751084000881,4.982729477474829,0.0,0.0,0.0,0.0
2024-03-07,32.847089869520595,35.94047793578654,18.50168596979915,0.6157454918633631,6.523970092361823,5.571030640668524,0.0,0.0,0.0,0.0
2024-03-08,32.847089869520595,35.94047793578654,18.46503445242633,0.6157454918633631,6.523970092361823,5.607682158041343,0.0,0.0,0.0,0.0
2024-03-11,30.656881267257667,35.772416799883736,20.93445720098823,0.6103763987792472,6.467083272780119,5.558785060311002,0.0,0.0,0.0,0.0
2024-03-12,34.551664002325246,35.772416799883736,16.967010608923122,0.6103763987792472,6.467083272780119,5.63144891730853,0.0,0.0,0.0,0.0
2024-03-13,36.5353872983578,35.772416799883736,14.983287312890567,0.6103763987792472,6.467083272780119,5.63144891730853,0.0,0.0,0.0,0.0
2024-03-14,38.642639151286154,35.62708908588868,13.021363173957273,0.6103763987792472,6.467083272780119,5.63144891730853,0.0,0.0,0.0,0.0
2024-03-15,38.64709728983507,35.987793359006034,12.519072876553079,0.6103320496984669,6.539271961055003,5.696432463852358,0.0,0.0,0.0,0.0
2024-03-18,38.62571201961209,35.712740644603066,12.423390294902301,0.684980892638258,6.489292667099286,5.6312639700050475,0.0,0.0,0.0,0.4326195111399524
2024-03-19,36.97078975838442,35.75910566173819,14.006491164803462,0.6851785070320953,6.491164803461954,5.65452578434908,0.0,0.0,0.0,0.432744320230797
2024-03-20,38.86765236206275,35.75910566173819,12.080778939776415,0.6851785070320953,6.491164803461954,5.6833754056978,0.0,0.0,0.0,0.432744320230797
2024-03-21,38.81631180079393,35.79213280404186,12.450378924575965,0.6856730422230242,6.134969325153374,5.687477444965716,0.0,0.0,0.0,0.4330566582461205
2024-03-22,38.78316032295271,35.748269896193776,12.435121107266436,0.6848327566320647,6.127450980392156,5.788638985005767,0.0,0.0,0.0,0.43252595155709345
