date,HAITONG INTERNATIONAL SECURITIES CO LTD,CHINA INDUSTRIAL SECURITIES,DBS BANK LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,FORTUNE ORIGIN SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,89.17260694411581,0.0,8.139151521738956,0.0,0.0,1.8032316029213644,0.0,0.885009931223864
2024-03-04,86.52183957018639,0.0,7.897205053595273,0.0,2.972625187004633,1.7496282861128964,0.0,0.8587019031008111
2024-03-05,86.52147303760842,0.0,7.8971715986555555,0.0,2.973459854320787,1.749197244034394,0.0,0.8586982653808571
2024-03-06,82.9728859589069,0.0,7.573326865199855,4.110654215344507,2.8559939845697797,1.6636539394607697,0.0,0.8234850365181996
2024-03-08,82.97378485935425,0.0,7.573408912085755,4.110698748795048,2.8533165092113877,1.665297012674373,0.0,0.823493957879186
2024-03-11,82.97648167756077,0.0,7.573655063410226,4.121260096373715,2.864920390995857,1.6401620485374433,0.0,0.8235207231219952
2024-03-12,82.97850440626186,0.0,7.573839687404389,4.131923985028305,2.864990229540275,1.6444003149425321,0.0,0.8063413768226328
2024-03-13,82.98041485169911,0.0,7.574014062775176,4.132019115874307,2.864108169862663,1.643083858264141,0.0,0.8063599415246027
2024-03-14,82.98075199826106,0.0,7.57404483573294,4.132035904125383,2.8624946204390067,1.6443094237043905,0.0,0.8063632177372182
2024-03-15,82.98187583992073,0.0,7.574147414064826,4.13209186594757,2.8544073473192717,1.6511033941094007,0.0,0.8063741386382113
2024-03-18,82.98580952546595,0.0,7.574506460108298,4.132287744262927,2.847093434026581,1.6538904720149152,0.0,0.8064123641213197
2024-03-19,82.99086766920276,0.0,7.574968140757431,4.132539615100746,2.8440162011888024,1.6511468572537051,0.0,0.8064615164965533
2024-03-20,83.00031118746564,0.0,7.575830095234918,4.143305128169069,2.8179243208060214,1.6560759846939839,0.0,0.8065532836303745
2024-03-21,83.00143555898724,0.0,7.575932721929801,4.143361255841661,2.840720772085256,1.6319854814757582,0.0,0.8065642096802867
2024-03-22,82.9999738819493,0.0,7.575799307768636,4.1432882901638175,2.8424317724614983,1.6319567417836258,0.0,0.806550005873124
2024-03-25,83.02775455187304,0.0,7.578334980614473,4.144675077641025,2.841621538551373,1.580467553212431,0.0,0.8271462981076574
2024-03-26,80.83369859687704,0.0,7.3780731394637105,4.0351496655098265,2.783021061725292,1.5313148254178435,2.633454227442832,0.8052884835634597
