date,FUTU SECURITIES INTERNATIONAL,CHINA YINSHENG INTERNATIONAL SECURITIES,CMB INTERNATIONAL SECURITIES LTD,ORIENTAL PATRON SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,TFI SECURITIES AND FUTURES LTD,LONG BRIDGE HK LTD,DBS BANK LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-01,71.30873149238525,0.0,0.0,0.0,28.691268507614748,0.0,0.0,0.0,0.0,0.0
2024-03-04,67.91748920222224,0.0,0.0,0.0,27.707119071881436,0.0,0.0,4.375391725896333,0.0,0.0
2024-03-05,43.01871034659267,0.0,24.468122364858495,0.0,17.569136683863842,12.150814283982381,0.0,2.7932163207026144,0.0,0.0
2024-03-06,43.36157922960293,0.0,24.72228195628918,0.0,17.75435597451064,12.27702936284771,0.0,1.884753476749535,0.0,0.0
2024-03-07,43.32098668137757,0.0,24.681165603658883,0.0,17.724828184063853,12.25661107502833,0.0,2.016408455871363,0.0,0.0
2024-03-11,43.31944863340316,0.0,24.677812466884582,0.0,17.721876689735375,12.254945914882171,0.0,2.025916295094707,0.0,0.0
2024-03-12,43.32442985590496,0.0,24.678483021349326,0.0,17.709315501017606,12.255278910714335,0.0,2.0324927110137736,0.0,0.0
2024-03-13,43.326585786677896,0.0,24.677544255301807,0.0,17.708641841129243,12.254812721616151,0.0,2.0324153952749056,0.0,0.0
2024-03-14,40.34076678851968,0.0,22.976333531502586,0.0,16.48785053821926,11.409995319832527,0.0,2.456455468838939,0.0,6.328598353087013
2024-03-15,40.36606499108238,0.0,22.976333531502586,0.0,16.48785053821926,11.384697117269818,0.0,2.456455468838939,0.0,6.328598353087013
2024-03-18,40.32504978479305,0.0,22.981217152790606,0.0,16.491355031996378,11.387116935432855,0.0,2.4853175978805724,0.0,6.329943497106536
2024-03-19,40.332372538649,0.0,22.983659742027893,0.0,16.469826070012324,11.388327230304764,0.0,2.4951981354340913,0.0,6.3306162835719295
2024-03-20,40.33941204014224,0.0,22.987382781356384,0.0,16.453258077171313,11.390171983953227,0.0,2.49813336033106,0.0,6.331641757045774
2024-03-21,40.36398045749302,0.0,22.978891359955064,0.0,16.443638185309723,11.385964512790931,0.0,2.49822260342424,0.0,6.329302881027019
2024-03-22,40.365596022720084,0.0,22.97865880656302,0.0,16.441447709648447,11.385849283355894,0.0,2.4992093511619373,0.0,6.32923882655062
