date,HAITONG INTERNATIONAL SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS SECURITIES (HK) CO LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,GRANSING SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,BANK OF COMMUNICATIONS TRUSTEE LTD
2024-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-14,0.0,84.75609152034328,0.0,0.0,0.0,0.0,0.0,15.24390847965672,0.0
2024-03-18,0.0,84.73567946880942,0.0,0.0,0.0,0.0,0.0,15.264320531190577,0.0
2024-03-20,0.0,53.823074319428244,0.0,36.48121469393524,0.0,0.0,0.0,9.695710986636508,0.0
2024-03-26,0.0,45.677659356582154,0.0,30.96026228108657,0.0,0.0,15.133685813829262,8.228392548502013,0.0
2024-03-27,0.0,45.68655613841963,0.0,30.966292509058533,0.0,0.0,15.136633449565837,8.210517902955996,0.0
2024-04-02,0.0,45.466419736387124,0.0,30.80254672251194,0.0,0.0,15.06369899557949,8.17418686723988,0.49314767828156786
2024-04-03,0.0,27.736611948437112,23.006130201201714,18.820058474765485,15.920199858804466,0.0,9.203774561142934,5.011916488346434,0.30130846730185806
2024-04-05,0.0,27.73447232687976,23.00681138172005,18.820615711340032,15.920671234472469,0.0,9.204047072507139,5.012064884440933,0.301317388639612
2024-04-09,0.0,27.736169536807353,23.008219282624708,18.797881663416803,15.921645499313517,0.0,9.20461031380055,5.030137876291882,0.3013358277451889
2024-04-10,0.0,27.7363856052047,23.01003618358765,18.799366084652362,15.92290279144395,0.0,9.205337178628167,5.024612533008774,0.3013596234743965
2024-04-11,0.0,27.736933184093704,23.010490453665547,18.799737226593535,15.92321714550379,0.0,9.205518912772513,5.022737504376982,0.30136557299392525
2024-04-12,0.0,27.72751069565062,23.005948559875822,18.796026466497835,15.920074163340448,0.0,9.203701894171136,5.045432132096458,0.3013060883676773
2024-04-16,23.240021259038222,21.260741079673533,17.657967066367714,14.426686883185234,12.219280788999319,0.0,7.064201874265919,3.899836818201727,0.2312642302683321
2024-04-17,23.241077563639607,21.237466374826678,17.658769655644864,14.430372735342656,12.219836179305512,0.0,7.06452295611269,3.9166797934462783,0.23127474168171872
2024-04-24,23.23931710931228,21.23585768910724,17.65743204737905,14.424734818107218,12.218910556841488,0.0,7.063987835915508,3.9285027201469918,0.23125722319021683
2024-04-25,23.239581160459053,21.2360989764286,17.65763267570041,14.423762489755218,12.219049391271504,0.0,7.0640680987769375,3.9285473568135285,0.23125985079474992
2024-04-26,23.23676492421178,21.233525527652773,17.655492875295277,14.422014578617526,12.217568653319933,0.0,7.063212055610944,3.9401895592006415,0.23123182609112677
2024-05-03,23.238524991872943,21.235133860040506,17.65683018976883,14.423106973430292,12.218494072480254,0.0,7.063747058274333,3.932913513397972,0.23124934073486753
2024-05-08,23.06838474235451,21.248653477370485,17.66807163467798,14.485344851147431,12.249011084736939,0.0,7.068244282439393,3.980893358712325,0.23139656856093876
2024-05-09,23.06593720543739,21.246399012465123,17.66619706660296,14.483807967803564,12.24771147459245,0.0,7.067494347452017,3.991080908073859,0.23137201757263276
2024-05-10,23.06628682177017,21.246721049590313,17.666464837687982,14.484027502599886,12.24789711630007,0.0,7.067601471278537,3.989625676235327,0.23137552453771165
2024-05-13,23.09358958819961,21.271870058908146,17.68737602147861,14.501171745317265,12.262394528770574,0.0,7.075967146849889,3.8759815147272487,0.2316493957486592
2024-05-14,23.0941152748536,21.271595500020418,17.687778644790292,14.50150184005739,12.262673661519734,0.0,7.076128219318894,3.87455219058285,0.2316546688568213
2024-05-17,23.092713496956936,21.27030434631984,17.686705023356854,14.500621620810804,12.2619293357602,0.0,7.075698709029639,3.880386859997221,0.2316406077685052
2024-05-20,23.09358958819961,21.271111299013786,17.68737602147861,14.501171745317265,12.262394528770574,0.0,7.075967146849889,3.8805340740934198,0.2278555962768502
2024-05-21,23.086847846537903,21.269763600451647,17.68657082984174,14.500511600918234,12.26335375209945,0.0,7.075645023909637,3.889462122753598,0.2278452234877879
2024-05-24,21.884398857561948,20.171639563433068,16.75637334464888,14.137429029827448,11.60521433530708,4.600361475324435,6.692602687929283,3.8532223823047578,0.29875832366309885
2024-05-27,21.80219279499349,19.965745326559535,16.693430081525403,13.962781034266127,11.587359176419032,5.326634750947099,6.667462746051482,3.696758014607375,0.29763607463045477
2024-05-28,21.71493984878257,19.129699369238722,16.585500439964225,14.3092625745285,11.532754621545866,6.120613237294488,6.636861838196017,3.674098022813406,0.29627004763620984
2024-05-29,21.60308866633334,19.06884131596861,16.54316138454658,14.201282368484652,11.49641283609905,6.566508861184374,6.620033046144138,3.633547505319374,0.2671240159198815
2024-05-30,21.57888591031889,19.070168158018223,16.52462745614023,14.167645272247679,11.483532970668183,6.761947469801544,6.612616373135101,3.533751642872512,0.26682474679763857
2024-05-31,8.687877656545215,7.665852339031434,6.652982098129677,5.697756666222687,4.626241292385644,2.7760987713464105,2.662306213500737,1.41644356930564,0.10742634098677069
2024-06-03,21.55940998112603,19.0090335182919,16.50971322583141,14.127937812594094,11.480182060314446,6.914533845312379,6.606648185120298,3.5277285325235717,0.26481283888587104
2024-06-04,21.53469345739535,18.98033248962457,16.489702174093413,14.106214413974543,11.429473244143015,7.26560144325102,6.598640415582525,3.330850496730299,0.26449186520526585
2024-06-05,21.522510409942754,18.963937142896665,16.480373282346537,14.089747850748443,11.423007128655138,7.347766419170772,6.594907297696974,3.3134082370877977,0.264342231454918
2024-06-06,21.505492502812782,19.1703595007811,16.470589299585125,14.071488541672982,11.416225576871355,7.343404235211196,6.590992067246283,3.167262977692852,0.2641852981263241
2024-06-07,21.50427664112516,19.169275661122374,16.46965809754456,14.070692978223162,11.415580134722362,7.342989059233935,6.590619430593718,3.1727376356221164,0.264170361812618
2024-06-11,21.500857767102914,19.164814812171592,16.467039656237997,14.065629524514256,11.412352013040394,7.3686725588254065,6.5895716158758475,3.1669336897478724,0.26412836248371613
2024-06-12,21.498731016309353,19.162919130355,16.465410824028794,14.064238227056395,11.411223163718983,7.370769822974772,6.588919810407661,3.1736857688418114,0.26410223630723517
2024-06-13,21.492960527285156,19.15918828598152,16.4609913319031,14.0604632353017,11.40816026954309,7.40128324886096,6.5871512739569065,3.1657704787213268,0.2640313484462391
2024-06-14,21.49174608219183,19.158105709098898,16.4628864307407,14.059668758404753,11.407515659218442,7.403690260332206,6.586779071461421,3.165591599016989,0.26401642953475657
2024-06-17,21.49447877667401,19.23118105834998,16.464979701279912,13.971038052317475,11.41461728523852,7.4060444336670725,6.587616586233608,3.1659941067826396,0.2640499994567832
2024-06-18,21.49356780130222,19.230366005680096,16.464281885289083,13.970445934140695,11.414133512855235,7.4099687350643775,6.587337390979273,3.1658599261547447,0.26403880853427114
2024-06-19,21.493264160004184,19.22726892130962,16.46404929310294,13.970248572568304,11.413972264506528,7.418340300360598,6.587244331153445,3.161577078556822,0.26403507843756047
2024-06-20,21.49113891110976,19.22536773349033,16.462421331789226,13.964629493497307,11.412843653619156,7.433145025297611,6.5865929859865195,3.159851894498851,0.26400897071123464
2024-06-21,21.4908353384336,19.225096165922082,16.46218879216811,13.963019688279166,11.412682441712015,7.437277672873323,6.586499947191888,3.1583947119623006,0.2640052414575129
2024-06-24,21.482642116752608,19.217766740506768,16.455912704710148,13.950636342593569,11.408331441122822,7.479626572602729,6.583988892906683,3.157190597388638,0.26390459141603506
2024-06-25,21.48082224913818,19.216138738181794,16.454518668425674,13.949454536782973,11.407365002599501,7.507230747394261,6.583431140834345,3.1371566814819576,0.2638822351613153
2024-06-28,21.479305928309373,19.214782280264124,16.45335715192991,13.948469851549827,11.406559762234183,7.517995138048315,6.582966419621716,3.1326998602002885,0.2638636078422636
2024-07-02,21.474758249987236,19.210714055288317,16.449873586124948,13.945516629775224,11.404144723092136,7.55169068509826,6.58157264955383,3.1179216794195623,0.2638077416604889
2024-07-03,21.469303577282506,19.20583445867652,16.44569525380558,13.94197441393147,11.401248025666362,7.594928777936779,6.579900904323088,3.0973738549168295,0.2637407334608631
2024-07-04,21.469303577282506,19.20583445867652,16.44569525380558,13.94197441393147,11.401248025666362,7.596339910807089,6.579900904323088,3.09596272204652,0.2637407334608631
2024-07-05,21.4668801676643,19.485861261591836,16.443838898478884,13.669493745076498,11.394317182544242,7.618058029364589,6.579158179013859,3.0786815733015804,0.2637109629642151
2024-07-09,21.464457305083055,19.486483615669968,16.441982962187822,13.65948604964918,11.393031161262865,7.663755089177644,6.578415621360231,3.048706996421568,0.26368119918767
2024-07-10,21.472030567213817,19.77138747885872,16.44778415460337,13.38204307722549,11.397050941973918,7.731379433815171,6.580736670767516,2.95381344223695,0.26377423330504923
2024-07-11,21.47051548728837,19.769992397374754,16.446623588651644,13.381098831884355,11.39624675892111,7.740712390526423,6.580272329866299,2.9507825942571073,0.2637556212299369
2024-07-12,21.46082403650039,19.761068535788326,16.43919984313272,13.375058815709846,11.391102673549842,7.782356772382578,6.577302099109886,2.949450657708346,0.2636365661180689
2024-07-15,21.458705197791893,19.759117514855316,16.437576792083743,13.373738288953794,11.389978023851576,7.792871906195721,6.576652718533382,2.949159456857357,0.2622001008772223
2024-07-16,21.454771321424918,19.755495212171738,16.4345634045435,13.371286573787005,11.396351043938331,7.836568979004133,6.575447066166904,2.948618807802214,0.2268975911612544
2024-07-17,21.45265367766455,19.753545291543723,16.432941268836405,13.369966791760113,11.395226193371636,7.845665758070754,6.574798051817476,2.948327771177936,0.22687519575740844
2024-07-18,21.439352340225117,19.741297456124578,16.422752315048992,13.361676980973844,11.379705800045317,7.9112594040399244,6.570721464892737,2.946499712833466,0.22673452581602271
2024-07-19,21.44056087108959,19.742410268065065,16.423678061439894,13.362430175323018,11.380347271180717,7.913114603401697,6.571091854798465,2.939619587917703,0.2267473067838496
2024-07-22,21.42516230115119,19.716965454206992,16.411882607170046,13.345792145670178,11.369357464357414,8.000374702252323,6.566372509156991,2.9375083587344273,0.2265844573004407
