date,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,BNP PARIBAS,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,CCB INTERNATIONAL SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,SDICS INTERNATIONAL SECURITIES (HONG,THE HONGKONG AND SHANGHAI BANKING,CENTRAL CHINA INTERNATIONAL SECURITIES
2024-03-01,0.0,32.91904204908735,29.71195227792242,26.343905383971023,0.0,0.0,7.081189153593334,0.0,3.943911135425874,0.0
2024-03-04,43.12408353731708,18.843729432978407,16.89993133319443,14.959098478872384,0.0,0.0,4.032160827523207,0.0,2.140996390114492,0.0
2024-03-05,43.10780269325638,18.842481104262877,16.931869234072998,14.925275740799911,0.0,0.0,4.051521309889337,0.0,2.1410499177184974,0.0
2024-03-06,43.07507682662926,18.734592117133953,16.88571521300465,15.025205906357131,0.0,0.0,4.0905209946362655,0.0,2.1888889422387425,0.0
2024-03-07,43.06035378089316,18.683790278516067,16.915488759679636,15.071488953892798,0.0,0.0,4.08063649349638,0.0,2.188241733521955,0.0
2024-03-08,43.0911326225338,18.76382178862299,16.871351541110176,15.098980373559955,0.0,0.0,4.099789412365342,0.0,2.0749242618077357,0.0
2024-03-11,43.108279016619676,18.636096682270264,16.880255431859478,15.160844539927615,0.0,0.0,4.131714151927782,0.0,2.08281017739518,0.0
2024-03-12,43.097051048775924,18.629853573233,16.867310505013275,15.183997926732456,0.0,0.0,4.1396745121202905,0.0,2.0821124341250576,0.0
2024-03-13,43.09508083455347,18.62900155164988,16.896758182063103,15.179658652228973,0.0,0.0,4.158836008256779,0.0,2.040664771247798,0.0
2024-03-14,43.11078858871043,18.70466655757621,16.900750351835054,15.175206597555812,0.0,0.0,4.11317535642907,0.0,1.9954125478934313,0.0
2024-03-15,38.08869844645145,16.495183715604686,14.91851150161964,13.517621402679037,11.630719171283864,0.0,3.5344596789388643,0.0,1.8148060834224549,0.0
2024-03-18,38.077753927115225,16.567389446717964,14.934593011308687,13.459395907594555,11.627324642900337,0.0,3.5650476831027005,0.0,1.7684953812605313,0.0
2024-03-19,38.07140500520868,16.527850502509388,14.939419375022005,13.480372002752352,11.625922291663567,0.0,3.585636330553245,0.0,1.7693944922907587,0.0
2024-03-20,38.06771219659699,16.461233318789564,14.92862144172773,13.485488012929657,11.624124771374559,0.0,3.675641220528167,0.0,1.7571790380533274,0.0
2024-03-21,38.09753752130643,16.411755769307604,14.942942509900645,13.536450679640394,11.621590857018505,0.0,3.666763405165939,0.0,1.7229592576604829,0.0
2024-03-22,38.06903956774112,16.412540153373183,14.936152299734168,13.559919094340431,11.624550646349919,0.0,3.667697257281449,0.0,1.7301009811797337,0.0
