date,SILVERBRICKS SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,UOB KAY HIAN (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG BANK LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,TOTAL_CCASS_PCT
2024-03-06,0.0,7.009170877784017,0.0,0.0,0.0,0.0,7.009170877784017
2024-03-15,0.0,6.915590492232828,0.0,0.0,0.0,0.0,6.915590492232828
2024-05-10,0.0,6.906232453677709,0.0,0.0,1.2165450121654502,0.0,8.122777465843159
2024-05-13,0.0,6.8594422609021155,0.0,0.0,1.2633352049410442,0.0,8.122777465843159
2024-05-20,0.0,6.81265206812652,0.0,0.0,1.2633352049410442,0.0,8.075987273067566
2024-05-21,0.0,6.81265206812652,0.0,2.872917836421486,1.3101253977166387,0.0,10.995695302264645
2024-05-22,0.0,6.81265206812652,0.0,2.7699794123151786,1.3101253977166387,0.0,10.892756878158337
2024-05-24,0.0,6.81265206812652,0.0,2.7699794123151786,1.3569155904922328,0.0,10.939547070933932
2024-05-27,0.0,6.822010106681639,0.0,2.76062137376006,1.6376567471457981,0.0,11.220288227587497
2024-05-28,0.0,6.822010106681639,0.0,2.8542017593112483,1.6376567471457981,0.0,11.313868613138686
2024-06-07,0.0,6.822010106681639,0.0,2.947782144862437,1.6376567471457981,0.0,11.407448998689874
2024-06-11,0.0,6.822010106681639,0.0,2.8916339135317237,1.7312371326969869,0.0,11.44488115291035
2024-06-14,0.0,6.822010106681639,0.0,2.8916339135317237,1.824817518248175,0.0,11.538461538461538
2024-09-03,0.0,6.822010106681639,0.0,2.8916339135317237,1.9183979037993637,0.0,11.632041924012727
2024-09-27,0.0,6.81265206812652,0.0,2.8916339135317237,1.9183979037993637,0.0,11.622683885457608
2024-10-07,0.0,6.81265206812652,0.0,2.8916339135317237,1.824817518248175,0.0,11.52910349990642
2024-10-10,0.0,6.81265206812652,0.0,2.8916339135317237,1.7312371326969869,0.0,11.435523114355231
2024-10-25,0.0,6.81265206812652,0.0,2.8916339135317237,1.768669286917462,0.0,11.472955268575706
2024-11-14,0.0,6.81265206812652,0.0,2.8354856822010106,1.7312371326969869,0.0,11.379374883024518
2024-11-26,0.0,6.81265206812652,0.0,2.8354856822010106,1.7312371326969869,18.920007486430844,30.299382369455362
2024-12-04,0.0,6.812745648512072,0.0,2.8354856822010106,1.7312371326969869,18.920007486430844,30.299475949840915
2025-01-03,0.0,6.803387609956952,0.0,2.8354856822010106,1.7312371326969869,18.920007486430844,30.290117911285797
2025-02-21,0.0,6.4290660677522,3.9490922702601536,2.788695489425417,1.6376567471457981,18.920007486430844,33.724518061014415
2025-02-25,0.0,6.4290660677522,3.9490922702601536,2.788695489425417,1.647014785700917,18.920007486430844,33.733876099569535
2025-02-26,0.0,6.4290660677522,3.9490922702601536,2.788695489425417,1.656372824256036,18.920007486430844,33.74323413812465
2025-02-27,0.0,6.522646453303388,3.9490922702601536,2.788695489425417,1.656372824256036,18.920007486430844,33.83681452367584
2025-02-28,0.0,6.616226838854576,3.9490922702601536,2.788695489425417,1.656372824256036,18.920007486430844,33.930394909227026
2025-03-05,0.0,6.709807224405765,3.9490922702601536,2.788695489425417,1.656372824256036,18.920007486430844,34.02397529477821
2025-03-26,0.0,6.765955455736478,3.911660116039678,2.788695489425417,1.656372824256036,18.920007486430844,34.04269137188845
2025-03-27,17.637956204379563,6.831461725622309,3.911660116039678,2.788695489425417,1.656372824256036,1.282051282051282,34.10819764177428
