date,THE HONGKONG AND SHANGHAI BANKING,ABN AMRO CLEARING HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,PHILLIP SECURITIES (HONG KONG) LTD,SINOPAC SECURITIES (ASIA) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,288700.0,296500.0,0.0,78203.0,33700.0,188600.0,40400.0,0.0,0.0,0.0
2024-03-04,292200.0,259700.0,0.0,0.0,33900.0,191000.0,32400.0,0.0,0.0,0.0
2024-03-07,290400.0,239700.0,0.0,0.0,34500.0,0.0,30400.0,0.0,0.0,70200.0
2024-03-08,290000.0,235700.0,97400.0,158220.0,0.0,193400.0,23200.0,0.0,0.0,67800.0
2024-03-11,288800.0,309900.0,0.0,128420.0,34300.0,193800.0,0.0,0.0,0.0,0.0
2024-03-13,285200.0,414700.0,96400.0,44400.0,34100.0,0.0,0.0,0.0,0.0,0.0
2024-03-20,287600.0,323300.0,94400.0,99717.0,33900.0,196400.0,43400.0,0.0,0.0,0.0
2024-03-22,0.0,356300.0,0.0,72117.0,32900.0,0.0,40000.0,0.0,0.0,68800.0
2024-03-25,291800.0,307300.0,95400.0,120103.0,33100.0,0.0,0.0,0.0,0.0,0.0
2024-03-26,291200.0,310100.0,92000.0,120303.0,0.0,197400.0,44600.0,0.0,0.0,0.0
2024-03-28,288200.0,355900.0,92400.0,0.0,0.0,197600.0,0.0,0.0,0.0,69600.0
2024-04-09,289000.0,366900.0,88200.0,50000.0,31100.0,0.0,0.0,0.0,0.0,69000.0
2024-04-23,324600.0,281500.0,0.0,136532.0,30500.0,196600.0,14000.0,0.0,0.0,0.0
2024-04-25,324200.0,294300.0,0.0,0.0,31100.0,197600.0,14400.0,0.0,0.0,68200.0
2024-04-26,326200.0,268700.0,0.0,52400.0,31300.0,0.0,15000.0,0.0,0.0,0.0
2024-04-29,323800.0,308100.0,0.0,52600.0,0.0,0.0,15200.0,0.0,0.0,69200.0
2024-04-30,350800.0,247100.0,0.0,36200.0,32500.0,197800.0,0.0,0.0,0.0,68200.0
2024-05-02,360800.0,197300.0,0.0,89096.0,42500.0,0.0,12600.0,0.0,0.0,0.0
2024-05-03,361000.0,278700.0,0.0,36200.0,42900.0,0.0,11800.0,0.0,0.0,67200.0
2024-05-06,330600.0,300100.0,0.0,52800.0,41900.0,196800.0,0.0,0.0,0.0,69200.0
2024-05-09,333700.0,326500.0,89800.0,25200.0,0.0,193000.0,0.0,0.0,0.0,0.0
2024-05-20,352400.0,314300.0,87400.0,0.0,42700.0,193400.0,0.0,0.0,0.0,0.0
2024-05-27,377600.0,79100.0,87000.0,0.0,44900.0,189600.0,0.0,0.0,0.0,0.0
2024-06-05,0.0,45500.0,88200.0,36200.0,44900.0,189200.0,10800.0,0.0,0.0,0.0
2024-06-20,0.0,57900.0,89400.0,0.0,44500.0,179600.0,0.0,0.0,0.0,66400.0
2024-06-21,406000.0,29500.0,0.0,53000.0,44700.0,187200.0,11200.0,0.0,0.0,0.0
2024-06-26,415200.0,25300.0,103000.0,53400.0,34300.0,183200.0,10800.0,0.0,0.0,0.0
2024-06-27,0.0,19500.0,103400.0,53600.0,34100.0,188200.0,0.0,0.0,0.0,67200.0
2024-06-28,416600.0,18900.0,105000.0,54200.0,34500.0,0.0,0.0,0.0,0.0,0.0
2024-07-09,0.0,60500.0,105400.0,96929.0,35300.0,0.0,11200.0,0.0,0.0,0.0
2024-07-10,0.0,65300.0,0.0,0.0,35900.0,183000.0,11600.0,0.0,0.0,64800.0
2024-07-12,415200.0,58900.0,106400.0,97729.0,0.0,0.0,12000.0,0.0,0.0,0.0
2024-07-15,418400.0,37100.0,0.0,116929.0,35100.0,183200.0,12400.0,0.0,0.0,0.0
2024-07-16,416800.0,39700.0,0.0,117329.0,34700.0,0.0,13600.0,0.0,0.0,63200.0
2024-07-17,418800.0,35900.0,0.0,0.0,35300.0,0.0,14400.0,0.0,0.0,63400.0
2024-07-18,0.0,30900.0,0.0,117529.0,35700.0,0.0,16800.0,0.0,0.0,65800.0
2024-07-19,417200.0,36100.0,107200.0,114329.0,34900.0,0.0,0.0,0.0,0.0,0.0
2024-07-22,318800.0,120700.0,0.0,129529.0,35500.0,182600.0,0.0,0.0,0.0,63800.0
2024-07-23,318600.0,118700.0,108200.0,129729.0,35100.0,0.0,0.0,0.0,0.0,0.0
2024-07-24,317000.0,118300.0,109800.0,130129.0,34900.0,183000.0,0.0,0.0,0.0,0.0
2024-07-26,0.0,126500.0,0.0,130729.0,34300.0,182200.0,0.0,0.0,0.0,63600.0
2024-07-29,306400.0,123300.0,0.0,132129.0,33500.0,0.0,17000.0,0.0,0.0,62000.0
2024-08-05,311400.0,111300.0,0.0,0.0,0.0,181200.0,18200.0,0.0,0.0,62200.0
2024-08-06,308400.0,107100.0,118400.0,132529.0,0.0,0.0,20400.0,0.0,0.0,63400.0
2024-08-07,304400.0,141100.0,0.0,105329.0,32900.0,0.0,22400.0,0.0,0.0,51200.0
2024-08-08,304600.0,103700.0,116400.0,0.0,31100.0,0.0,22800.0,0.0,0.0,51600.0
2024-08-16,369600.0,9100.0,118000.0,0.0,0.0,181400.0,0.0,0.0,0.0,54400.0
2024-08-20,339600.0,33300.0,0.0,104129.0,0.0,179400.0,0.0,0.0,0.0,65000.0
2024-09-09,337400.0,74500.0,123800.0,103929.0,0.0,0.0,24800.0,0.0,0.0,64000.0
2024-09-26,339000.0,116500.0,109600.0,63600.0,35900.0,0.0,0.0,0.0,0.0,0.0
2024-09-30,338800.0,129900.0,0.0,63800.0,0.0,171000.0,0.0,0.0,0.0,64400.0
2024-10-09,310800.0,223500.0,79200.0,0.0,35700.0,0.0,27200.0,0.0,0.0,0.0
2024-10-15,321800.0,196700.0,74600.0,0.0,35500.0,0.0,25200.0,0.0,0.0,0.0
2024-11-12,281800.0,78500.0,72000.0,0.0,0.0,168800.0,0.0,0.0,0.0,62800.0
2024-11-14,281000.0,69300.0,0.0,0.0,35500.0,178800.0,24000.0,258800.0,0.0,60600.0
2024-12-16,262800.0,0.0,79800.0,52600.0,37300.0,179600.0,0.0,0.0,0.0,0.0
2024-12-18,261400.0,109300.0,79200.0,89339.0,37500.0,0.0,25200.0,0.0,0.0,0.0
2024-12-23,197800.0,157300.0,0.0,0.0,37300.0,181600.0,0.0,0.0,0.0,60000.0
2024-12-27,197200.0,157900.0,0.0,52600.0,37500.0,0.0,0.0,0.0,0.0,60200.0
2025-01-07,200200.0,152300.0,0.0,53600.0,43300.0,0.0,29000.0,0.0,0.0,0.0
2025-01-10,178800.0,170500.0,0.0,43600.0,53100.0,0.0,0.0,57200.0,200000.0,0.0
2025-02-03,195200.0,174300.0,0.0,0.0,38700.0,180200.0,0.0,0.0,0.0,64200.0
2025-02-04,195400.0,163900.0,79600.0,0.0,39100.0,0.0,33400.0,57400.0,0.0,65200.0
2025-02-10,195800.0,98000.0,0.0,69828.0,0.0,180600.0,33800.0,0.0,0.0,64600.0
2025-02-26,0.0,129600.0,83600.0,45800.0,38100.0,0.0,0.0,0.0,0.0,63800.0
2025-03-04,0.0,121600.0,0.0,0.0,0.0,181800.0,32000.0,57800.0,0.0,64200.0
2025-03-07,0.0,114000.0,80600.0,0.0,48100.0,182800.0,32200.0,0.0,0.0,0.0
2025-03-12,209800.0,131000.0,81400.0,42800.0,66900.0,150800.0,32400.0,0.0,0.0,0.0
2025-03-24,182800.0,208000.0,80800.0,42000.0,31100.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,184800.0,206000.0,83800.0,0.0,34700.0,0.0,34400.0,0.0,0.0,0.0
2025-04-02,0.0,204600.0,84200.0,0.0,35100.0,150000.0,34600.0,0.0,0.0,65000.0
2025-04-09,187800.0,206800.0,84200.0,83374.0,35100.0,152000.0,35000.0,0.0,0.0,0.0
2025-04-14,187400.0,256000.0,83400.0,23000.0,36300.0,136200.0,0.0,0.0,0.0,0.0
