date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,LONG BRIDGE HK LTD,CITIBANK N.A.,THE BANK OF EAST ASIA LTD,KINGSTON SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD
2024-03-01,46.18057602197378,33.50623852023698,20.31318545778925,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,46.164253177865966,33.52482957923751,20.31091724289652,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,23.044571881627142,16.839961739749995,10.278711572465522,34.34464206811011,0.7923797745021289,14.6997329635451,0.0,0.0,0.0
2024-03-06,22.82204283323806,17.333218961236707,10.35925128594249,34.10256832391568,0.7867947886852066,14.59612380698185,0.0,0.0,0.0
2024-03-07,22.811303797439887,17.659434317365307,10.013379906324104,34.14388212777785,0.7862363243550117,14.585763526737836,0.0,0.0,0.0
2024-03-08,22.68820192458977,17.66136292918094,10.118224326274182,34.15853217100215,0.786322190336774,14.58735645861618,0.0,0.0,0.0
2024-03-11,22.795369111067956,17.732588540087537,9.872690154816945,34.177264138681885,0.7885181274448104,14.633569927900867,0.0,0.0,0.0
2024-03-12,22.844154400247053,17.600425048335705,9.893819097359248,34.25589581999826,0.7902056669043789,14.615499967155362,0.0,0.0,0.0
2024-03-13,22.689027683825213,17.749823404142482,9.910330921679362,34.23710807220861,0.7897722762597507,14.623937641884568,0.0,0.0,0.0
2024-03-14,22.634406491020155,17.942359802811072,9.886472953696853,34.14921489390912,0.798813644104988,14.588732214457814,0.0,0.0,0.0
2024-03-15,22.452965113962986,17.902170527267046,9.900556939940993,34.19786288749253,0.9369296267534337,14.609514904583015,0.0,0.0,0.0
2024-03-18,22.344546665407798,17.954570833385947,9.929079453765501,34.16644935783284,1.0022397628404978,14.603113926767417,0.0,0.0,0.0
2024-03-19,22.171794766959167,17.979244491483026,9.915503344857314,34.0978563746474,1.2251078902509658,14.610493131802126,0.0,0.0,0.0
2024-03-20,22.245328075495742,17.981211359689546,9.571988779204478,34.10158656418042,1.6792378002527697,14.42064742117704,0.0,0.0,0.0
2024-03-21,22.078532344477185,18.097271160429944,9.54952803252006,33.92334101461082,1.9754321789095717,14.375895269052414,0.0,0.0,0.0
2024-03-22,21.917424057873657,18.090137424351553,9.545907640606952,33.91048008692343,2.1656056727386006,14.37044511750581,0.0,0.0,0.0
2024-03-25,21.843972164439695,18.18257121918607,9.542887268671926,33.89975064492442,2.164920464496228,14.365898238281657,0.0,0.0,0.0
2024-03-26,21.684529964339813,17.72208271112466,9.64285611982904,33.67211628884181,3.0066868512417098,14.271728064622966,0.0,0.0,0.0
2024-03-27,21.54291028509491,17.850556138462707,9.64494821966452,33.67942174150779,3.007339177584513,14.27482443768557,0.0,0.0,0.0
2024-03-28,21.45353130628709,17.870891642680423,9.655935826083015,33.71778962302152,3.010765163758586,14.291086438169367,0.0,0.0,0.0
2024-04-03,21.46579741092378,17.876589038945486,9.621706818167288,33.72853914870302,3.011725021976181,14.29564256128424,0.0,0.0,0.0
2024-04-05,21.396768422087113,17.896011693435828,9.632160662954428,33.716292870107075,3.047591782007145,14.311174569408402,0.0,0.0,0.0
2024-04-08,21.498816635436715,17.895039558400235,9.544723314085534,33.698164959497426,3.047426232788904,14.315829299791183,0.0,0.0,0.0
