date,FUTU SECURITIES INTERNATIONAL,BETA INTERNATIONAL SECURITIES LIMITED,USMART SECURITIES LTD,LUK FOOK SECURITIES (HK) LTD,GLORY SUN SECURITIES LTD,SINOPAC SECURITIES (ASIA) LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS SECURITIES (HK) CO LTD,HAFOO SECURITIES LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),TOTAL_CCASS_PCT
2024-03-01,3.3714823999999997,5.3064,0.0,0.0,0.0,0.2144,0.1848,0.0,0.0,0.0576,9.134682399999999
2024-03-04,3.3890824,5.3064,2.3848000000000003,0.0,0.0,0.21359999999999998,0.1648,0.0,0.0,0.06319999999999999,11.521882399999999
2024-03-05,3.5667824,5.3064,2.3816,0.0,0.0,0.16,0.124,0.0,0.0968,0.0744,11.709982400000001
2024-03-06,3.4243824,4.7152,2.4832,0.0,0.0,0.1872,0.12240000000000001,0.0,0.092,0.3184,11.342782399999999
2024-03-07,3.8139824000000004,5.212,2.484,0.0,0.0,0.0784,0.1864,0.0,0.0936,0.4176,12.2859824
2024-03-08,4.1027824,4.8919999999999995,2.4743999999999997,0.0,0.0,0.07519999999999999,0.1552,0.0,0.0952,0.4176,12.212382400000001
2024-03-11,4.1291823999999995,4.8919999999999995,2.4743999999999997,0.0,0.0,0.07519999999999999,0.156,0.0,0.0944,0.416,12.2371824
2024-03-12,4.1539824,4.8919999999999995,2.4743999999999997,0.0,0.0,0.0736,0.148,0.0,0.0944,0.3952,12.2315824
2024-03-13,4.1843824000000005,4.72,2.568,0.0,0.0,0.025599999999999998,0.148,0.0,0.0952,0.3952,12.136382399999999
2024-03-14,4.7715824,4.72,2.568,0.0,0.0,0.0232,0.1472,0.0,0.0952,0.3952,12.7203824
2024-03-15,4.780382400000001,4.392,2.46,0.0,0.0,0.0104,0.1472,0.1288,0.0952,0.3952,12.4091824
2024-03-18,5.8123824,4.312,1.3616,0.0,0.0,0.0104,0.1456,0.1288,0.0952,0.3848,12.2507824
2024-03-19,5.6891824,4.312,1.4784,0.0,0.0,0.0104,0.16,0.1288,0.0968,0.38639999999999997,12.2619824
2024-03-20,6.134782400000001,4.312,1.048,0.0,0.0,0.009600000000000001,0.16,0.1288,0.0968,0.38639999999999997,12.2763824
2024-03-21,6.1435824,4.2448,1.0488000000000002,0.0,0.0,0.009600000000000001,0.16,0.1288,0.09759999999999999,0.3832,12.2163824
2024-03-22,6.3691824,4.2448,1.048,0.0,0.0,0.0088,0.16,0.1288,0.09759999999999999,0.3792,12.4363824
2024-03-25,6.582782399999999,2.1248,1.0472000000000001,0.0,0.0,0.009600000000000001,0.1704,0.1288,0.09759999999999999,0.3584,10.519582399999999
2024-03-26,6.5819824,2.1248,1.0472000000000001,0.0,0.0,0.009600000000000001,0.1704,0.1288,0.0968,0.3624,10.5219824
2024-03-27,6.7211824,2.1248,1.0472000000000001,0.0,0.0,0.015200000000000002,0.1704,0.1288,0.0968,0.3624,10.666782399999999
