date,ZERO2IPO SECURITIES LTD,CNCB (HONG KONG) CAPITAL LTD,EDDID SECURITIES AND FUTURES LTD,THE HONGKONG AND SHANGHAI BANKING,CITIC SECURITIES BROKERAGE (HK) LTD,FUTU SECURITIES INTERNATIONAL
2024-03-25,0.0,100.0,0.0,0.0,0.0,0.0
2024-06-21,0.0,84.08071748878923,0.0,15.919282511210762,0.0,0.0
2024-07-04,0.0,84.26966292134831,0.0,15.730337078651685,0.0,0.0
2024-08-21,0.0,82.41758241758241,0.0,15.384615384615385,2.197802197802198,0.0
2024-11-04,0.0,80.440097799511,0.0,17.114914425427873,2.444987775061125,0.0
2024-11-18,0.0,80.04866180048663,0.0,17.51824817518248,2.4330900243309004,0.0
2025-01-15,0.0,79.03614457831326,0.0,17.349397590361445,2.4096385542168677,1.2048192771084338
2025-02-11,0.0,78.84615384615384,0.0,17.307692307692307,2.403846153846154,1.4423076923076923
2025-02-24,43.26530612244898,44.625850340136054,0.0,9.795918367346939,1.3605442176870748,0.9523809523809524
2025-04-25,43.26530612244898,33.06122448979592,11.564625850340136,9.795918367346939,1.3605442176870748,0.9523809523809524
