date,GOLDMAN SACHS (ASIA) SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,TIGER BROKERS (HK) GLOBAL LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,DBS BANK LTD
2024-05-08,549172444.0,172002920.0,128997878.0,29250437.0,63168760.0,8045181.0,7421664.0,12114000.0,0.0
2024-05-09,549188444.0,172402920.0,129800445.0,29412437.0,63519957.0,8273181.0,6634716.0,11880000.0,0.0
2024-05-10,549158444.0,172814920.0,129379161.0,29472437.0,62579623.0,8283181.0,6621716.0,11808000.0,0.0
2024-05-13,549128444.0,172494920.0,129508187.0,29330437.0,66648126.0,8299181.0,6894690.0,11650000.0,0.0
2024-05-14,549012444.0,171422920.0,129096187.0,0.0,63684809.0,8301181.0,6894959.0,11558000.0,0.0
2024-05-16,0.0,170664920.0,128960376.0,29322437.0,64102496.0,8451181.0,6880959.0,11446000.0,0.0
2024-05-17,0.0,171362920.0,128430376.0,29336437.0,63958496.0,0.0,6894959.0,11456000.0,0.0
2024-05-20,0.0,171568920.0,127039683.0,29452437.0,64725397.0,8551181.0,6900751.0,11090000.0,0.0
2024-05-21,0.0,171312920.0,127388894.0,29322437.0,64735397.0,0.0,7074540.0,10896000.0,0.0
2024-05-22,0.0,171218920.0,127415022.0,29304437.0,64488064.0,8725181.0,7248540.0,10850000.0,0.0
2024-05-23,0.0,171348920.0,126847022.0,29102437.0,65596854.0,8713181.0,7182540.0,10614000.0,0.0
2024-05-24,568637444.0,170660920.0,126702322.0,29218437.0,47387108.0,8733181.0,7167239.0,10264000.0,0.0
2024-05-27,0.0,170592920.0,125072322.0,29398437.0,51984964.0,8769181.0,7073239.0,10516000.0,0.0
2024-05-28,0.0,171160920.0,124446158.0,29408437.0,52289856.0,8771181.0,7151011.0,10584000.0,0.0
2024-05-29,0.0,171066920.0,123703421.0,0.0,52293872.0,8779181.0,7087011.0,10612000.0,0.0
2024-05-30,0.0,171344920.0,123138021.0,0.0,52179659.0,8799181.0,7245009.0,10692000.0,0.0
2024-05-31,568777444.0,171050920.0,123377147.0,29528437.0,49039185.0,8807181.0,7095009.0,10766000.0,0.0
2024-06-03,568783444.0,171018920.0,122585058.0,29520437.0,52349840.0,0.0,7018426.0,10918000.0,0.0
2024-06-04,568637444.0,170598920.0,122307058.0,29566437.0,52925840.0,0.0,0.0,10944000.0,0.0
2024-06-05,0.0,170704920.0,122209058.0,29568437.0,49364268.0,0.0,7424426.0,0.0,0.0
2024-06-06,568673444.0,170914920.0,122283214.0,0.0,49074596.0,8805181.0,7357942.0,10922000.0,0.0
2024-06-07,568733444.0,170844920.0,122537185.0,0.0,48774596.0,8819181.0,7317971.0,10932000.0,0.0
2024-06-11,568637444.0,170788920.0,122525185.0,29562437.0,48918596.0,0.0,7017971.0,10908000.0,0.0
2024-06-12,0.0,170496920.0,122241513.0,29570437.0,49222268.0,0.0,7189971.0,10950000.0,0.0
2024-06-13,0.0,170638920.0,122254713.0,0.0,49288268.0,8805181.0,7040771.0,0.0,0.0
2024-06-14,568693444.0,171496920.0,120992275.0,29580437.0,53438221.0,0.0,7256209.0,10942000.0,0.0
2024-06-17,568637444.0,171900920.0,120894275.0,0.0,53566221.0,0.0,6978209.0,10932000.0,0.0
2024-06-18,0.0,172070920.0,120872459.0,0.0,53682221.0,0.0,6916025.0,10942000.0,0.0
2024-06-19,0.0,172080920.0,119406931.0,29560437.0,54328221.0,0.0,6896025.0,10938000.0,0.0
2024-06-20,596424444.0,170756920.0,119368931.0,29588437.0,27414368.0,8865181.0,3445025.0,10828000.0,0.0
2024-06-21,601706804.0,170934920.0,114302059.0,29640437.0,23683137.0,8787181.0,7765164.0,11128000.0,0.0
2024-06-24,596424444.0,171546920.0,113285752.0,29682437.0,28955497.0,8319181.0,8080964.0,11250000.0,0.0
2024-06-25,0.0,172470920.0,113255487.0,29674437.0,23971497.0,7961181.0,9831429.0,11308000.0,0.0
2024-06-26,0.0,172586920.0,111255598.0,30049437.0,25539808.0,0.0,9817318.0,0.0,0.0
2024-06-27,585324444.0,172618920.0,111278402.0,0.0,44160101.0,7987181.0,9760514.0,11312000.0,0.0
2024-06-28,574224444.0,172827420.0,112489589.0,30057437.0,55026850.0,7993181.0,9888629.0,0.0,0.0
2024-07-02,585324444.0,172763420.0,112233614.0,30405437.0,42242255.0,7995181.0,11011629.0,11348000.0,0.0
2024-07-03,0.0,173429420.0,111385506.0,30705437.0,46732899.0,0.0,10379200.0,11610000.0,0.0
2024-07-04,0.0,172705420.0,113265784.0,0.0,45230271.0,7695181.0,10179200.0,11600000.0,0.0
2024-07-05,0.0,172751420.0,113525030.0,0.0,41909415.0,0.0,10053954.0,11378000.0,0.0
2024-07-09,0.0,172415420.0,116683918.0,0.0,40960718.0,7285181.0,6951574.0,11688000.0,0.0
2024-07-10,0.0,172305420.0,118378632.0,30737437.0,41150090.0,6283181.0,7297131.0,0.0,0.0
2024-07-11,0.0,172133420.0,117449699.0,30775437.0,41901090.0,6281181.0,7175152.0,11724000.0,0.0
2024-07-15,0.0,170905420.0,117703699.0,30779437.0,39840192.0,0.0,7847131.0,11736000.0,0.0
2024-07-16,0.0,171065420.0,117876453.0,0.0,39780192.0,0.0,7852377.0,11748000.0,0.0
2024-07-18,0.0,171171420.0,118673097.0,30879437.0,39289292.0,6279181.0,7642733.0,11752000.0,0.0
2024-07-19,0.0,171801420.0,118909097.0,30773437.0,38957292.0,6255181.0,7582733.0,11722000.0,0.0
2024-07-22,0.0,171649420.0,150124517.0,0.0,38630292.0,6239181.0,7802733.0,0.0,0.0
2024-07-24,585330444.0,171599420.0,150909200.0,0.0,37920388.0,0.0,0.0,11712000.0,0.0
2024-07-25,585540444.0,171505420.0,151173200.0,30939437.0,37351688.0,6249181.0,0.0,11706000.0,0.0
2024-07-26,585324444.0,171675420.0,151291420.0,30943437.0,37264791.0,6251181.0,7773180.0,11720000.0,0.0
2024-07-29,0.0,171653420.0,151175867.0,31253437.0,37246791.0,6253181.0,7876733.0,0.0,0.0
2024-07-30,0.0,171633420.0,151175397.0,31353437.0,36161791.0,6263181.0,7839201.0,11710000.0,0.0
2024-07-31,0.0,171595420.0,151209397.0,31349437.0,38705913.0,0.0,7817201.0,11714000.0,0.0
2024-08-01,0.0,171785420.0,150523397.0,31357437.0,36190781.0,0.0,7876558.0,11738000.0,0.0
2024-08-02,0.0,172911420.0,151037352.0,31337437.0,36086138.0,0.0,7681843.0,11728000.0,0.0
2024-08-06,0.0,173869420.0,150425196.0,31339437.0,34922238.0,6273181.0,8768731.0,11806000.0,0.0
2024-08-07,0.0,174077420.0,150198597.0,31381437.0,35180238.0,6279181.0,0.0,11814000.0,0.0
2024-08-08,0.0,174587420.0,149592597.0,0.0,35242238.0,6269181.0,9668371.0,11820000.0,0.0
2024-08-09,0.0,174639420.0,149912597.0,31379437.0,34750238.0,0.0,9702371.0,11856000.0,0.0
2024-08-12,585384444.0,105926220.0,161314469.0,0.0,38431364.0,0.0,9534371.0,11852000.0,0.0
2024-08-13,585356444.0,174701420.0,160952469.0,31369437.0,38683364.0,6261181.0,9652371.0,11848000.0,0.0
2024-08-14,585324444.0,174767420.0,163100469.0,31357437.0,36478627.0,6245181.0,9628371.0,11770000.0,0.0
2024-08-15,0.0,175777420.0,163092819.0,31335437.0,36171991.0,0.0,9818429.0,11534000.0,0.0
2024-08-19,585344444.0,175859420.0,161454619.0,31313437.0,33698650.0,0.0,10885193.0,11484000.0,0.0
2024-08-20,585324444.0,176207420.0,161452619.0,31311437.0,33611168.0,0.0,11407193.0,11450000.0,0.0
2024-08-21,0.0,175813420.0,163080165.0,31307437.0,31562368.0,0.0,11351193.0,11676000.0,0.0
2024-08-22,0.0,175347420.0,162918165.0,0.0,31524368.0,0.0,11406634.0,11668000.0,0.0
2024-08-23,0.0,175601420.0,161169163.0,0.0,31467903.0,6249181.0,11450632.0,11676000.0,0.0
2024-08-26,0.0,176419420.0,157531827.0,31665437.0,30275841.0,5528181.0,13742630.0,11872000.0,0.0
2024-08-27,0.0,176869420.0,156974564.0,0.0,30253841.0,5654181.0,0.0,11722000.0,0.0
2024-08-28,0.0,176333420.0,156842564.0,0.0,30351841.0,0.0,11647365.0,11642000.0,0.0
2024-08-29,0.0,176125420.0,156012564.0,31669437.0,30919856.0,5662181.0,12019359.0,11506000.0,0.0
2024-08-30,0.0,175909420.0,156389804.0,29617437.0,32041150.0,5744181.0,11657357.0,11472000.0,0.0
2024-09-02,0.0,174159420.0,160986804.0,29665437.0,37059635.0,5784181.0,11701353.0,11442000.0,0.0
2024-09-03,0.0,173551420.0,161958926.0,29561437.0,36786513.0,5794181.0,11675353.0,11086000.0,0.0
2024-09-04,0.0,172945420.0,161368850.0,29571437.0,37596718.0,5772181.0,11667353.0,11094000.0,0.0
2024-09-05,0.0,172871420.0,161396681.0,29603437.0,34535343.0,5800181.0,12306612.0,11084000.0,0.0
2024-09-09,574214444.0,172877420.0,163653270.0,29593437.0,48172741.0,0.0,10128426.0,11094000.0,0.0
2024-09-10,563104444.0,173111420.0,163298171.0,0.0,56940998.0,0.0,9878426.0,0.0,0.0
2024-09-11,574214444.0,172965420.0,162927171.0,29661437.0,46436960.0,5792181.0,9801226.0,11158000.0,0.0
2024-09-12,574238444.0,172137420.0,163423015.0,29695437.0,46555998.0,5812181.0,8947303.0,11172000.0,0.0
2024-09-13,0.0,171759420.0,163169015.0,0.0,47410315.0,5802181.0,8950503.0,11094000.0,0.0
2024-09-16,574214444.0,172403420.0,163181015.0,29705437.0,47446196.0,5792181.0,9284141.0,0.0,0.0
2024-09-17,0.0,172595420.0,162621015.0,29625437.0,45170335.0,6988181.0,11373941.0,10986000.0,0.0
2024-09-19,0.0,0.0,161121015.0,0.0,45070315.0,6990181.0,13031941.0,10988000.0,0.0
2024-09-20,0.0,0.0,162593015.0,29627437.0,44984315.0,6988181.0,11565941.0,11004000.0,0.0
2024-09-24,0.0,172927420.0,162922276.0,0.0,45000315.0,0.0,9839939.0,10956000.0,0.0
2024-09-25,0.0,173685420.0,162717308.0,29603437.0,45471624.0,7954181.0,11004898.0,10910000.0,0.0
2024-09-26,574214450.0,173715420.0,162537302.0,29505437.0,45431624.0,7988181.0,11124898.0,10892000.0,0.0
2024-09-27,574214444.0,173421420.0,162130379.0,0.0,45649774.0,7936181.0,11288754.0,10862000.0,0.0
2024-09-30,0.0,173631420.0,161784351.0,29327437.0,47401034.0,7932181.0,11282186.0,10902000.0,132000.0
2024-10-02,0.0,173041420.0,161120778.0,29541039.0,48589418.0,7926181.0,12011314.0,10948000.0,0.0
2024-10-03,0.0,171023420.0,162571803.0,29846039.0,51552374.0,7912181.0,11757314.0,10608000.0,0.0
2024-10-04,0.0,0.0,161353469.0,31496437.0,51164059.0,7792181.0,11731514.0,10636000.0,122000.0
2024-10-07,0.0,0.0,159424652.0,31500437.0,49842719.0,7762181.0,12323850.0,10564000.0,0.0
2024-10-08,0.0,0.0,159992544.0,31498437.0,52486909.0,7768181.0,12350034.0,10478000.0,322000.0
