date,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,EVERBRIGHT SECURITIES INVESTMENT,HANG SENG BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-06,0.0,0.0,0.0,0.0,3.243682630892472,0.540495533798721,0.0,0.0,0.0,0.0,3.7841781646911925
2024-03-07,7.108691259744047,3.9604333592096497,0.0,0.0,3.1966830192578004,0.540495533798721,0.0,0.0,0.0,0.0,14.80630317201022
2024-03-08,7.114898755620325,3.9604333592096497,0.0,0.0,3.1966830192578004,0.540495533798721,0.0,0.0,0.0,0.0,14.812510667886498
2024-03-13,7.336151644353353,3.9604333592096497,4.691708962788472,0.0,3.1966830192578004,0.540495533798721,0.0,0.0,0.0,0.0,19.725472519407997
2024-03-14,7.336151644353353,3.976395491462934,4.691708962788472,0.0,3.1966830192578004,0.540495533798721,0.0,0.0,0.0,0.0,19.74143465166128
2024-03-18,7.339255392291492,3.976395491462934,4.691708962788472,0.0,3.1988999820707567,0.5382785709857648,0.0,0.0,0.0,0.0,19.74453839959942
2024-03-20,7.3946794626153975,3.9759520989003425,4.691708962788472,0.0,3.1434759117468514,0.5382785709857648,0.0,0.0,0.0,0.0,19.744095007036826
2024-03-21,7.3946794626153975,3.9759520989003425,4.691708962788472,0.0,3.1465796596849906,0.5351748230476261,0.0,0.0,0.0,0.0,19.744095007036826
2024-04-03,7.3946794626153975,3.9493485451448684,4.758217847177158,0.0,3.1465796596849906,0.5351748230476261,0.0,0.0,0.6630935773551987,0.0,20.44709391502524
2024-04-08,7.432811222998244,3.9493485451448684,4.758217847177158,0.0,3.1465796596849906,0.5351748230476261,0.0,0.0,0.6630935773551987,0.0,20.485225675408085
2024-04-09,7.432811222998244,3.9493485451448684,4.758217847177158,0.0,3.0911555893610854,0.5351748230476261,0.0,0.0,0.6630935773551987,0.0,20.42980160508418
2024-04-10,7.434141400686017,3.9475749748945037,4.758217847177158,0.0,3.0911555893610854,0.5351748230476261,0.0,0.0,0.6630935773551987,0.0,20.42935821252159
2024-04-17,7.346793065855543,4.036253487412751,4.758217847177158,0.0,3.0911555893610854,0.5307408974217137,0.0,0.0,0.6630935773551987,0.0,20.42625446458345
