date,CHINA INTERNATIONAL CAPITAL CORPORATION,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CITIC SECURITIES BROKERAGE (HK) LTD,CHINA MERCHANTS BANK CO LTD,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD
2024-03-01,34.55852579951812,29.41453573065656,11.802127346989234,0.0,0.0,8.857882973170955,11.626367660186864,0.0,3.740560489478268
2024-03-04,28.434180726774944,16.95586516341322,9.468613605846977,12.449493268266648,5.13353891203834,6.8303683112444515,8.860282721534565,9.09238738076685,2.7752699101140044
2024-03-05,28.65844039455038,16.8570079023491,9.51758440553217,12.43374887101323,5.121865752233797,6.826587740695735,8.700153829813182,9.112930291769967,2.7716808120424403
2024-03-06,28.89214972193456,16.74112890148929,9.548899013097653,12.412278195328925,5.104953463537303,6.809860065231837,8.647193490048748,9.076612856247626,2.766924293084057
2024-03-07,28.897739128165334,16.710607951301103,9.526442007917076,12.414679445002305,5.108575955065163,6.7601263079883696,8.530293575455472,9.070793460209911,2.980742168895268
2024-03-08,28.933265217911032,16.71796082193203,9.521005653461994,12.430436363212223,5.114856298556654,6.773218648695164,8.49820554299917,9.075349498719515,2.9357019545122163
2024-03-11,28.886432089557218,16.750409087509905,9.674655810844207,12.406529523199419,5.106577083620576,6.7594566231924516,8.598430821507588,9.004196035589436,2.813312924979202
2024-03-12,28.802601443709285,16.79322356274072,9.864819479087267,12.370524821080558,5.091264987339496,6.744764332043891,8.505216023794857,8.980198974343676,2.8473863758602462
2024-03-13,28.795875783946883,16.788973996481758,9.816518525507508,12.367636195162806,5.089912031642925,6.781753039680302,8.462881224515897,8.984173745851386,2.912275457210534
2024-03-14,28.805239892906663,16.811669768970923,9.890297007726478,12.372150479628356,5.09156721626789,6.645560084771008,8.360955486291141,8.987916072902195,3.0346439905353484
2024-03-15,28.811150876695535,16.699271347487674,9.926149228102563,12.374689308716064,5.058132600623303,6.6735222065583075,8.427187467818172,8.977446356957943,3.052450607040438
2024-03-18,28.818211556290574,16.77972982068985,9.945051903949306,12.377721944124174,5.077108809702311,6.658077957990023,8.214392541084536,8.975540738036258,3.154164728132968
2024-03-19,28.850367295563277,16.81949750429471,9.91530633754252,12.394821394053873,5.077348343072425,6.664685072627109,8.173356607171222,8.860603211408852,3.2440142342660114
2024-03-20,28.846339196073206,16.823423271799406,9.948377376118154,12.389944272882294,5.072587549150812,6.65511781868313,8.141432493003101,8.908455337828626,3.214322684461267
2024-03-21,28.69667991335075,16.8025695894918,10.298022018104788,12.325663319925075,5.052157520492081,6.621080646893994,8.040997752130878,8.870843203013248,3.2919860365973888
2024-03-22,28.675064772695823,16.897851059026873,10.348000119004691,12.316379286122912,5.042142358195225,6.633251945589599,7.995953056107114,8.790951915002726,3.300405488255034
2024-03-25,28.657400407762967,16.98657293372132,10.346524964774025,12.308792170973001,5.039036306182278,6.633738517362363,7.880496863906639,8.847922263166607,3.2995155721507996
2024-03-26,28.62734354072685,16.990454738494726,10.4170811089186,12.295882286461708,5.031956627914172,6.643095039777304,7.928988030942024,8.766370283377173,3.2988283433874415
2024-03-27,28.58078663674007,17.120813540866045,10.474085800337548,12.279142920201322,5.014000501869136,6.54873549852156,7.8599803484537505,8.824267895336545,3.298186857674026
2024-03-28,29.189210335107003,17.281359542942397,10.445714710825046,12.281058159004822,5.055871980446127,6.584898805845666,7.205999023813255,8.66634433445973,3.2895431075559625
2024-04-02,29.543784102867754,17.376963409109898,10.333374908496719,12.292992914786426,5.062416324682813,6.5441610194823765,6.837536836793573,8.716030591947959,3.2927398918324835
2024-04-03,29.65838629990531,17.45563744658438,10.066510207681869,12.299935293792771,5.066744051130538,6.604648970955494,6.81822446424563,8.735313822787674,3.29459944291633
2024-04-05,29.61523776219437,17.554905348225116,10.01731773065186,12.28204071866317,5.069313161451829,6.610358289172448,6.867259112522247,8.693761586023761,3.2898062910952013
