date,HAITONG INTERNATIONAL SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CMB INTERNATIONAL SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,CMB WING LUNG BANK LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-04,0.0,0.0,76.27998253781094,0.0,0.0,0.0,0.0,0.0,0.0,23.72001746218906
2024-03-05,82.7990713848141,4.506204148814691,6.094735940976643,0.0,1.3248563879979696,0.0,0.0,3.3682925867355467,0.0,1.9068395506610463
2024-03-14,82.79815332554088,4.50615418493905,6.094690104561295,0.0,1.3259287371550583,0.0,0.0,3.368255239792007,0.0,1.9068184080117057
2024-03-21,82.79813532458216,4.50615320526629,6.094710520301725,0.0,1.325928448887899,0.0,0.0,3.3682545075072747,0.0,1.9068179934546408
2024-03-26,77.47438392750861,4.216416735623336,5.702833052046929,6.4297962462603735,1.2406739512532066,0.0,0.0,3.1516826056190763,0.0,1.7842134816884767
2024-03-28,77.47457305427531,4.215979483959216,5.70284697353067,6.429811942371952,1.2406769799272153,0.0,0.0,3.1518937287104025,0.0,1.7842178372252337
2024-04-02,77.47455729367616,4.2159786263054055,5.702866156335714,6.429810634359727,1.2406767275371497,0.0,0.0,3.1518930875228266,0.0,1.7842174742630252
2024-04-03,77.47455729367616,4.215103880260126,5.702866156335714,6.429810634359727,1.2406767275371497,0.0,0.0,3.1518930875228266,0.0,1.7850922203083042
2024-04-11,77.47454153308341,4.215103022784615,5.702864996205808,6.429809326348034,1.240676475147187,0.0,0.0,3.1518924463355122,0.0,1.7851122000954418
2024-04-12,77.47441544857226,4.215096162993081,5.7028557151835395,6.429798862273647,1.2406947989252217,0.0,0.0,3.1518873168463872,0.0,1.785251695205858
2024-04-16,77.47438392750861,4.215114790934451,5.70262962318929,6.4297962462603735,1.2409384087681365,0.0,0.0,3.151886034476715,0.0,1.7852509688624323
2024-04-17,74.5551344225273,4.056288464824026,5.487753455601257,6.187520302167818,1.194179613772125,0.0,3.7680189980120202,3.0331223699019443,0.0,1.717982373193502
2024-04-19,74.55450683494223,4.057115672617498,5.487687684786295,6.1874682170773125,1.1941695614490253,0.0,3.76798727971439,3.0330968377912706,0.0,1.7179679116219801
2024-04-24,74.55529496988578,4.056101435612476,5.487745696549866,6.187533626401591,1.1941821853238233,0.0,3.768027112080911,3.0331289014411627,0.0,1.7179860727043952
2024-04-25,74.55529496988578,4.056101435612476,5.487510779700434,6.187533626401591,1.1944171021732553,0.0,3.768027112080911,3.0331289014411627,0.0,1.7179860727043952
2024-04-26,74.55526577940553,4.0560998475354815,5.487508631186703,6.187531203809364,1.1944166345256007,0.0,3.7680256367930585,3.0331668666793945,0.0,1.7179854000648656
