date,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCOM INTERNATIONAL SECURITIES LTD,MERRILL LYNCH FAR EAST LTD,BANK OF CHINA (HONG KONG) LTD,VALUABLE CAPITAL LTD,CHINA CONSTRUCTION BANK (ASIA),CHINA MERCHANTS SECURITIES (HK) CO LTD,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL
2024-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-05-03,0.0,0.0,0.0,0.0,51.26050420168067,0.0,0.0,0.0,48.739495798319325
2024-06-05,0.0,99.12287167391464,0.0,0.0,0.4496204024471143,0.0,0.0,0.0,0.4275079236382398
2024-06-24,0.0,99.12300095806617,0.0,0.0,0.44955413073918493,0.0,0.0,0.0,0.42744491119463485
2024-06-28,0.0,99.11569638909359,0.0,0.0,0.45689019896831246,0.0,0.0,0.0,0.42741341193809873
2024-07-08,0.0,99.10839289661779,0.0,0.0,0.45685653231154666,0.0,0.0,0.0,0.4347505710706654
2024-07-10,0.0,99.12319481284999,0.0,0.0,0.4420866489832007,0.0,0.0,0.0,0.43471853816681405
2024-09-05,0.0,99.04292129868217,0.0,0.0,0.44909077523374813,0.0,0.0,0.08098358241920048,0.4270043436648752
2024-09-17,0.0,99.00647630261996,0.0,0.0,0.44892552251987045,0.0,0.0,0.11775095672652341,0.42684721813364734
2024-09-20,0.0,98.95549834497977,0.0,0.0,0.4486943729312247,0.0,0.0,0.16917984553144538,0.4266274365575579
2024-09-23,0.0,98.94822006472492,0.0,0.0,0.448661370991468,0.0,0.0,0.1838776110620771,0.4192409532215357
2024-09-24,0.0,98.81739385926252,0.0,0.0,0.44806816512413694,0.0,0.0,0.31585132951373585,0.4186866460996034
2024-09-25,0.0,98.78111461928188,0.0,0.0,0.4479036639988252,0.0,0.0,0.3230780527204641,0.4479036639988252
2024-09-26,0.0,98.7666103810293,0.0,0.0,0.44783789736436386,0.0,0.0,0.3377138242419793,0.44783789736436386
2024-09-27,0.0,98.75211040152682,0.0,0.0,0.44777215004037296,0.0,0.0,0.35968582544226674,0.44043162299053074
2024-09-30,0.0,12.760246232061387,0.0,0.0,0.05785884339223553,0.0,0.0,0.05027079835718825,0.05311631524533098
2024-10-02,0.0,98.73761467889908,0.0,0.0,0.46238532110091746,0.0,0.0,0.38899082568807336,0.41100917431192663
2024-10-04,0.0,98.70863599677159,0.0,0.0,0.49159879668354245,0.0,0.0,0.38887666006310073,0.4108885464817668
2024-10-07,0.0,98.7158790724978,0.0,0.0,0.4916348693865571,0.0,0.0,0.38890519518638095,0.40358086292926326
2024-10-09,84.76501363859947,15.039350713231677,0.0,0.0,0.07490050529893126,0.0,0.0,0.059249653445423246,0.06148548942449582
2024-10-25,84.76518395134876,15.039182587504051,0.0,0.0,0.07489966798206879,0.0,0.0,0.059248991090293225,0.06148480207483259
2024-11-22,84.76423636729493,15.039014465535358,0.0,0.0,0.07489883068392694,0.0,0.0,0.05924832874997205,0.06260200773581953
2024-12-06,84.72256363270687,15.03162081834231,0.0,0.04804576638584102,0.07486200808956624,0.0,0.0,0.059219200429059864,0.06368857404634741
2024-12-12,84.72067039106145,15.031284916201118,0.0,0.048044692737430165,0.07932960893854749,0.0,0.0,0.05921787709497207,0.061452513966480445
2024-12-20,84.72067039106145,15.037988826815644,0.0,0.048044692737430165,0.07597765363128492,0.0,0.0,0.05921787709497207,0.05810055865921788
2024-12-23,84.66391246092006,15.02791424743189,0.0,0.04801250558284949,0.07927646270656544,0.0,0.06476105404198303,0.05917820455560518,0.056945064761054036
2025-02-17,84.66202183961948,15.029811750519192,0.0,0.04689488845715817,0.07927469239186262,0.0,0.0647596078694089,0.059176883053080546,0.05806033808981488
2025-02-18,84.64312026969704,15.026456207720301,0.0,0.06921033243285482,0.07925699359246277,0.0,0.06474514969525128,0.059163671273246864,0.05804737558884598
2025-02-24,84.64028576212536,15.033766813640675,0.0,0.0692080147346096,0.0747893062454652,0.0,0.0647429815259251,0.05916169001506948,0.05804543171289837
2025-02-25,84.64123057688873,15.03393463118414,0.0,0.06920878728344347,0.0747901410966244,0.0,0.06474370423289873,0.059162350419717805,0.05692980889444543
2025-02-26,84.64217541274573,15.03410245247424,0.0,0.06920955984952502,0.07590725918980164,0.0,0.06474442695600728,0.0591630108391101,0.05469787794559236
2025-03-10,84.56193959941116,15.019851005932997,0.09479412945532409,0.0691439532497658,0.07695052861667484,0.0,0.0646830530401035,0.05799170272561002,0.054646027568363294
2025-03-11,84.56005352960857,15.02955280472845,0.09367681498829039,0.06914241106278578,0.07137281141964982,0.0,0.06468161034905766,0.057990409278465486,0.053529608564737374
2025-03-13,84.5591105262571,15.029385196997916,0.09367577031593269,0.06914163999509318,0.0724872032206622,0.0,0.0646808890276678,0.057989762576529755,0.05352901160910439
2025-03-18,84.555338723167,15.037635907443548,0.09367159185949261,0.06913855589629216,0.06802341789796487,0.0,0.06467800390298299,0.05798717591301923,0.05352662391971007
2025-03-27,84.49786039047873,15.032985646786129,0.09360791655522868,0.06909155745743067,0.06909155745743067,0.062405277703485786,0.0635196576624766,0.057947757867522515,0.05349023803155924
2025-03-28,84.49786039047873,15.032985646786129,0.09472229651421948,0.06909155745743067,0.06909155745743067,0.062405277703485786,0.0635196576624766,0.057947757867522515,0.05237585807256843
2025-04-01,84.49786039047873,15.032985646786129,0.09472229651421948,0.06909155745743067,0.06909155745743067,0.062405277703485786,0.062405277703485786,0.057947757867522515,0.05349023803155924
2025-04-02,84.49691877374997,15.032818124073682,0.09472124095969334,0.06909078752354102,0.06909078752354102,0.06240458227932737,0.06129021473862509,0.057947112116518276,0.05571837703511372
2025-04-03,84.49880202819413,15.033153173232295,0.09472335209227169,0.06909232740848052,0.06797793503092439,0.06240597314314371,0.061291580765587564,0.05794840363291915,0.054605226500250736
2025-04-10,84.49880202819413,15.033153173232295,0.09695213684738396,0.06909232740848052,0.06797793503092439,0.06240597314314371,0.060177188388031426,0.05794840363291915,0.0534908341226946
2025-04-17,84.49880202819413,15.033153173232295,0.09806652922494011,0.06909232740848052,0.06797793503092439,0.06240597314314371,0.060177188388031426,0.05794840363291915,0.05237644174513847
2025-04-22,84.49786039047873,15.032985646786129,0.09917981635018276,0.06909155745743067,0.06797717749843987,0.062405277703485786,0.06017651778550415,0.057947757867522515,0.05237585807256843
2025-04-25,84.49691877374997,15.032818124073682,0.09917871112250243,0.06909078752354102,0.06797641998283874,0.06240458227932737,0.060175847197922815,0.05906147965722055,0.052375274413006906
