date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG BANK LTD,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,28.669626187590225,5.811755053215208,7.010572591097901,8.169164582092694,2.8154862143178567,3.808358589709976,1.8128381985671966,2.118914643784973,2.0572946003929458,1.8430666270311595,64.11707728780014
2024-03-04,28.660931997102445,5.799527450187874,7.006832549407065,8.172649326978418,2.8324135219806346,3.813885158943956,1.8126517649914549,2.117257389211498,2.057562532587164,1.8474057818071672,64.12111747319767
2024-03-05,28.673005606474554,5.798681981694933,7.0421502186612415,8.187104212113216,2.8443517284375406,3.804119818472445,1.8126659657529167,2.120618694501398,2.0580731620729997,1.8494175663130725,64.19018895449432
2024-03-06,28.679839925326394,5.783103596889351,7.022580173805372,8.192460080421373,2.839653219655693,3.8154263750595185,1.8126794788985605,2.118811221582507,2.0614338682402478,1.8499220969455648,64.17591003682458
2024-03-07,28.69893132738844,5.791084723794429,6.97855606732673,8.197171760334736,2.857460675565719,3.822395808625846,1.812685697337264,2.09250722586718,2.0698479670944385,1.8505696839562817,64.17121093729105
2024-03-08,28.710223180955534,5.828891635257426,6.954339101617325,8.1913225378418,2.8617944490005414,3.8044475158418702,1.8126883760493206,2.0927248712217983,2.066555902923647,1.8491241803750467,64.17211175108432
2024-03-11,28.67800484971478,6.010611156120752,6.903549219027452,8.171852670837591,2.85680534779467,3.7967628386517327,1.8126883760493206,2.097366959630949,2.0641927754351466,1.8470821395772885,64.2389163328397
2024-03-12,28.655785345772756,6.259110729390471,6.857992652473283,8.136699505595898,2.84961109255629,3.811162874765459,1.812763834411279,2.0968692884146876,2.039562935292178,1.8222735288884264,64.34183178756072
2024-03-13,28.664763027705902,6.483109654168845,6.752178932954292,8.111090664359807,2.8482585821383033,3.8010493615192384,1.8127333353611461,2.0714681621649484,2.032238288961017,1.8149276633310432,64.39181767266454
2024-03-14,28.660513267769673,6.726160918451519,6.720448133287152,8.048704339508312,2.842733738521063,3.811653987920595,1.8126534535367334,2.0931227580222345,2.0028680887478725,1.7968769660160124,64.51573565178117
