date,CMB INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,TIGER BROKERS (HK) GLOBAL LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),AGRICULTURAL BANK OF CHINA LTD,PRUDENTIAL BROKERAGE LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,ORIENT SECURITIES (HONG KONG) LTD,BNP PARIBAS,CHINA RENAISSANCE BROKING SERVICES (HONG,TOTAL_CCASS_PCT
2025-03-10,1.5377421808005987,2.2131126833482995,0.0,0.17044360239421402,0.6249598754454514,0.32571772417534295,0.27560730507144404,0.0,0.00596552608379749,0.07972635856871275,5.233275255887861
2025-03-11,3.432553368371864,2.333522225372487,0.0,0.17044360239421402,0.6249598754454514,0.32571772417534295,0.27560730507144404,0.0,0.00596552608379749,0.07972635856871275,7.248495985483314
2025-03-12,3.360455724559112,2.313182622153444,0.21659325306567617,0.16993227158703136,0.6249598754454514,0.3290129671549645,0.24066636658063018,0.01619214222745033,0.00596552608379749,0.05523929435807735,7.332200043215635
2025-03-13,3.260007628214788,2.3177277848839566,0.30948501637052284,0.16993227158703136,0.6249598754454514,0.3294674834280157,0.24066636658063018,0.02357803166453294,0.00596552608379749,0.026661583689980797,7.308451567948708
2025-03-14,3.2578486759177947,2.3173300831450367,0.2749417796186288,0.16993227158703136,0.6249598754454514,0.3306037741106438,0.24066636658063018,0.05039449177455595,0.15520571708203476,0.019967808907686957,7.441850844169496
2025-03-17,3.644574074101577,2.313182622153444,0.23198999181528687,0.16993227158703136,0.6249598754454514,0.3300356287693297,0.24771136881292435,0.07692687921392193,0.15520571708203476,0.019967808907686957,7.814486237888688
2025-03-18,3.628097859203469,2.3146029855067294,0.21096861418666712,0.16993227158703136,0.6249598754454514,0.33020607237172395,0.25225653154343675,0.09874366032038133,0.15531934615029755,0.019967808907686957,7.805055025222875
2025-03-19,3.6281546737376007,2.3162506069965403,0.20540078984178947,0.16993227158703136,0.6249598754454514,0.33128554852022063,0.24759773974466154,0.08300603436598222,0.15543297521856037,0.019967808907686957,7.781988324365524
2025-03-20,3.625086688894505,2.3163074215306714,0.20437812822742418,0.4062507354996534,0.6249598754454514,0.33174006479327184,0.24873403042728967,0.09436894119226316,0.15537616068442897,0.019967808907686957,8.027169855602647
2025-03-21,3.6208824133687805,2.3162506069965403,0.20443494276155558,0.4062507354996534,0.6249598754454514,0.33174006479327184,0.24140495552433844,0.0486332412164824,0.15526253161616616,0.019967808907686957,7.969787176129928
