date,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,ORIENTAL PATRON SECURITIES LTD,KINGSTON SECURITIES LTD,BOCOM INTERNATIONAL SECURITIES LTD,CITIC SECURITIES BROKERAGE (HK) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,57.026735014453855,0.0,42.973264985546145,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,44.909155927147,0.0,33.765796173393255,0.0,21.325047899459744,0.0,0.0,0.0,0.0
2024-03-07,44.9722757966141,0.0,33.765796173393255,0.0,21.261928029992642,0.0,0.0,0.0,0.0
2024-03-08,44.982693852161546,0.0,33.75940350596551,0.0,21.257902641872946,0.0,0.0,0.0,0.0
2024-03-11,45.005727158446696,0.0,33.75301325864722,0.0,21.241259582906082,0.0,0.0,0.0,0.0
2024-03-13,42.55725951689839,0.0,31.89884398981765,0.0,20.0744040358753,0.0,0.0,5.469492457408662,0.0
2024-03-14,42.57272859512117,0.0,32.002837172654914,0.0,20.06483232517261,0.0,0.0,5.359601907051305,0.0
2024-03-15,42.52649009628791,0.0,32.06470699463101,0.0,20.02901955947247,0.0,0.0,5.37978334960861,0.0
2024-03-18,42.63021463308021,0.0,32.201021340771106,0.0,19.94394273993031,0.0,0.0,5.2248212862183685,0.0
2024-03-19,42.56428845715651,0.0,32.27440059474041,0.0,19.938036857479215,0.0,0.0,5.2232740906238595,0.0
2024-03-20,42.61351916810532,0.0,32.25338838113716,0.0,19.925056220145635,0.0,0.0,5.208036230611897,0.0
2024-03-21,42.67862405995786,0.0,32.25338838113716,0.0,19.859951328293086,0.0,0.0,5.208036230611897,0.0
2024-03-25,40.90455563260418,0.0,30.979038204624874,0.0,19.015951512933587,0.0,0.0,5.009375705660115,4.091078944177248
2024-03-26,40.72820859236174,0.0,31.07148292274865,0.0,19.072697118328332,0.0,0.0,5.024324211227879,4.103287155333399
2024-03-28,40.72252458189584,0.0,31.07148292274865,0.0,19.072697118328332,0.0,0.0,5.0300082216937785,4.103287155333399
2024-04-03,40.72252458189584,0.0,31.056136094490718,0.0,19.072697118328332,0.0,0.0,5.045355049951709,4.103287155333399
2024-04-05,40.67011741697721,0.0,31.113354750594667,0.0,19.069445390512975,0.0,0.0,5.0444948611041385,4.102587580811001
2024-04-08,40.6537590603039,0.0,31.137584340052065,0.0,19.056449559517453,0.0,0.0,5.052415373604263,4.0997916665223215
2024-04-09,40.616851869653544,0.0,31.211448559645653,0.0,19.039149313900097,0.0,0.0,5.036480553416863,4.096069703383842
2024-04-10,40.56011174355042,0.0,31.268188685748772,0.0,19.039149313900097,0.0,0.0,5.036480553416863,4.096069703383842
2024-04-11,40.65656995792572,0.0,31.17740448398379,0.0,19.039149313900097,0.0,0.0,5.030806540806551,4.096069703383842
