date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,ZHONGCAI SECURITIES LTD,UOB KAY HIAN (HONG KONG) LTD
2024-03-01,45.066873105338274,18.443810840981087,12.27373381164989,6.359430850189727,7.321394525589183,3.5895913637469348,3.858967105347879,3.086198397157024,0.0,0.0
2024-03-04,45.03725448953356,18.416432188165057,12.108210739454844,6.355443668830982,7.535685752574135,3.587847283434037,3.8586757526800053,3.100450125327377,0.0,0.0
2024-03-05,44.95704081312223,18.40049263934989,12.165803806591176,6.351140531340131,7.579467863794892,3.587522545078832,3.858346350445701,3.1001854502771544,0.0,0.0
2024-03-06,44.90178676475175,18.37896068644541,12.18495083308275,6.346237355196438,7.647809378529841,3.5865212848555768,3.8554712463904557,3.098262450747782,0.0,0.0
2024-03-07,45.04356948894941,18.37328838604503,12.185181401446542,6.352805926919604,7.453667741578459,3.595346124352805,3.872484623626805,3.123656307081351,0.0,0.0
2024-03-08,45.04549634702265,18.198377045705985,12.29735706853222,6.356428827463198,7.507616965700079,3.597218552060684,3.8727415365521134,3.124763656963078,0.0,0.0
2024-03-11,45.09083566102153,18.040042720776032,12.366829779514813,6.361609535887693,7.512084681067775,3.5997756860252195,3.8926192223844165,3.136202713322525,0.0,0.0
2024-03-12,44.72954701228787,17.808531515580086,12.25603562657913,6.299974007099696,7.455857383644507,3.565548186726238,3.8016516910590172,3.1073396923439525,0.0,0.9755148846795083
2024-03-13,44.62351379210385,17.828934137468636,12.361595981650513,6.31148570634046,7.404691464012571,3.5742681355703465,3.8054158216963563,3.11292307372256,0.0,0.9771718874347135
2024-03-14,44.52611065029694,17.704098946424217,12.466576672357748,6.30793529418657,7.489064181986442,3.578811971291552,3.8182027954437423,3.129805089665272,0.0,0.9793943983475137
2024-03-15,44.48985846062289,17.740626673972592,12.422892268822721,6.296452981931257,7.545232653670548,3.590011365553268,3.809708747293105,3.126771679727279,0.0,0.9784451684063358
2024-03-18,44.45365349581546,17.689909637447467,12.350170690045541,6.300456352456482,7.734782413342465,3.571471766249665,3.806828370968096,3.1143839587587596,0.0,0.9783433149160646
2024-03-19,44.5382421872223,17.68006700594949,12.507560118331451,6.3245827039095674,7.496666121236603,3.573797019687677,3.7900818151937874,3.1109963941991,0.0,0.9780066342700221
2024-03-20,44.438790983950526,17.653379983242203,12.497537872901042,6.3252564700711815,7.619749965222039,3.573690425326269,3.8027132320437884,3.110903603625893,0.0,0.9779774636170561
