date,CHINA SECURITIES DEPOSITORY AND CLEARING,GLORY SUN SECURITIES LTD,CHINA GALAXY INTERNATIONAL SECURITIES,BANK OF CHINA (HONG KONG) LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,UBS SECURITIES HONG KONG LTD,SHANGHAI COMMERCIAL BANK LTD,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,HANG SENG SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-04,38.85161940298508,0.0,0.0,3.2772733208955227,0.4082863805970149,0.0,0.0,1.5070761194029851,0.0,0.0,44.0442552238806
2024-03-06,38.83579850746269,0.0,0.0,3.3056315298507464,0.4082863805970149,0.0,0.0,1.5070761194029851,0.0,0.0,44.056792537313434
2024-03-07,38.82773880597015,0.0,0.0,3.295706156716418,0.4082863805970149,0.0,0.0,1.5070761194029851,0.0,0.0,44.03880746268657
2024-03-08,38.822962686567166,0.0,0.0,3.295706156716418,0.4082863805970149,0.01918339552238806,0.0,1.5088671641791045,0.0,0.5122817164179104,44.5672875
2024-03-11,38.82266417910448,0.0,0.0,3.2986763059701487,0.4082863805970149,0.018884888059701493,0.0,1.5088671641791045,0.0,0.5122817164179104,44.56966063432836
2024-03-12,38.821470149253734,0.0,0.0,3.302370335820896,0.4082863805970149,0.018884888059701493,0.0,1.5088671641791045,0.0,0.5122817164179104,44.572160634328355
2024-03-13,38.8189552238806,0.0,0.0,3.302370335820896,0.41485354477611935,0.018884888059701493,0.0,1.509762686567164,0.0,0.5122817164179104,44.57710839552239
2024-03-14,38.81862686567164,0.0,0.0,3.304161380597015,0.41485354477611935,0.018884888059701493,0.0,1.5091656716417912,0.0,0.5121996268656716,44.57789197761194
2024-03-15,38.798328358208956,0.0,0.0,3.31938526119403,0.41485354477611935,0.018884888059701493,0.0,1.5037925373134329,0.0,0.5121996268656716,44.56744421641791
2024-03-18,38.794223880597016,0.0,0.0,3.3372957089552235,0.41634608208955226,0.018884888059701493,0.0,1.4894641791044776,0.0,0.5184682835820895,44.574683022388065
