date,UOB KAY HIAN (HONG KONG) LTD,CHINA SECURITIES (INTERNATIONAL),THE HONGKONG AND SHANGHAI BANKING,BOCOM INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,66.6694136504618,0.0,26.346881508524856,0.0,0.0,0.0,6.983704841013337
2024-03-07,0.0,0.0,59.41353570882871,0.0,23.479453314678693,0.0,0.0,10.972814002334323,6.134196974158266
2024-03-11,0.0,0.0,59.40894347997304,0.0,23.47763852581382,0.0,0.0,10.979419103183055,6.133998891030087
2024-03-14,0.0,0.0,52.26976246170114,0.0,20.65680734375076,0.0,12.03221418054291,9.660245212114555,5.380970801890631
2024-03-18,0.0,0.0,52.25097498721465,0.0,20.664938232280946,0.0,12.036950275073167,9.664047657269164,5.383088848162074
2024-03-20,0.0,0.0,52.25859347473677,0.0,20.653370731802873,0.0,12.038705330466822,9.665456730047389,5.383873732946142
2024-03-21,0.0,0.0,52.258466481739696,0.0,20.653320542288107,0.0,12.038676075349738,9.665433242133982,5.384103658488472
2024-03-27,0.0,0.0,39.6449696827323,24.20022966296529,15.743119516997481,0.0,9.133567692009583,7.314586294851365,3.9635271504439844
2024-03-28,0.0,0.0,39.64115482603461,24.193434808998234,15.737876276573159,0.0,9.138641467460957,7.3164343027509195,3.9724583181821234
2024-04-02,0.0,0.0,39.64064310623649,24.193122500751148,15.737673119452577,0.0,9.139629967250794,7.3163398563529585,3.9725914499560275
2024-04-03,0.0,0.0,36.00110135149118,22.03203439428445,14.315087252698785,9.035265242637815,8.324393947043033,6.6627964765787375,3.6293213352659954
2024-04-05,0.0,0.0,36.02536204912356,22.025875037275355,14.328935307808916,9.041353996310649,8.330003653328134,6.66745450463049,3.5810154515229007
2024-04-08,0.0,0.0,36.02505934535013,22.02568996445145,14.328814908663976,9.041278026165843,8.329933660317792,6.668070682705424,3.581153412345386
2024-04-09,0.0,0.0,36.02051939910563,22.022914245264474,14.32700916425675,9.040138627176187,8.329051935486353,6.667230359802306,3.593136268908302
2024-04-10,0.0,0.0,36.020337825056444,22.02280323104866,14.32693694394705,9.040093057189882,8.329177978327936,6.667196751291561,3.5934542131384695
2024-04-11,0.0,0.0,36.01337886628814,22.01384464495623,14.324169047544933,9.038346554001818,8.327568820568047,6.665908680437875,3.616783386202954
2024-04-12,0.0,0.0,35.98303295910832,21.99529514731684,14.395186982660693,9.030730583653543,8.320551771948399,6.661802483300345,3.6134000720118555
2024-04-15,55.74597624623821,0.0,15.895126813653226,9.734412995822165,6.3736697092816375,4.007400237805214,3.684040287719491,2.9496059167673696,1.6097677927126897
2024-04-16,55.75112515404699,0.0,15.89816339458986,9.729433911588812,6.3440386986167345,4.008165805473231,3.684744081192712,2.9572311388724537,1.6270978156192126
2024-04-17,55.75240988763676,0.0,15.898529753196474,9.721778527595587,6.344184891174972,3.999337879548945,3.684828992743425,2.9572992855540914,1.6416307825497463
2024-04-18,55.744122324952926,0.0,15.896166446172153,9.720333390979821,6.34324183185127,3.998743380343666,3.6842812450977513,2.956859684768166,1.6562516958342457
2024-04-19,55.71223819888641,0.0,15.887074270103982,9.714773623917027,6.3396136695661385,3.9964562075848358,3.682173936151376,2.955168441225024,1.712501652565209
2024-04-22,55.69250489330848,0.0,15.881447059612242,9.71133264572734,6.3373681748986845,3.9950406605861404,3.6808697081070143,2.9544929983346284,1.7469438594254667
2024-04-23,55.69498630147783,0.0,15.88215466564559,9.711765339142882,6.333194988215508,3.995218661675354,3.6810337111480256,2.9546246372881355,1.7470216954066724
2024-04-24,55.68464855928471,0.0,15.772516074481235,9.709962704238318,6.332019461630538,3.9944770950950876,3.7870411101468915,2.954076219022757,1.7652587761004594
2024-04-25,55.66877725953577,0.0,15.76802057461027,9.70719515999377,6.330214702482517,3.9933385848421405,3.7858874992817966,2.953234244971266,1.7933319742824658
2024-04-26,55.65902751125067,0.0,15.765333197778084,9.705495056021249,6.327992869255188,3.9926391973589577,3.785224444478534,2.952717019841977,1.8115707040153437
