date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,ADVENT SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,BOCI SECURITIES LTD,TSE\,INTERACTIVE BROKERS HONG KONG LTD,CHINA CONSTRUCTION BANK (ASIA),GLOBAL MASTERMIND SECURITIES LTD
2024-03-01,0.0,75.97345471934352,0.0,0.0,0.0,0.0,0.0,24.026545280656478,0.0,0.0
2024-03-04,0.0,45.32786695971803,0.0,28.79292646216048,0.0,0.0,12.654109121748569,13.225097456372922,0.0,0.0
2024-03-05,0.0,45.433172038601384,0.0,28.843788049889913,0.0,0.0,12.67646211466436,13.046577796844344,0.0,0.0
2024-03-06,0.0,45.46185296710835,0.0,28.79886875114419,0.0,0.0,12.684464476976265,13.054813804771193,0.0,0.0
2024-03-07,13.39618578583388,48.16284019646763,0.0,20.241497560268186,0.0,0.0,9.07630039683179,9.123176060598514,0.0,0.0
2024-03-08,13.310782388721423,48.493312587240574,0.0,20.112453914418,0.0,0.0,9.01843714385106,9.065013965768946,0.0,0.0
2024-03-11,12.53157982525491,49.16716050755542,0.0,18.53334002335178,2.529369406997669,0.0,8.532485689914934,8.706064546925282,0.0,0.0
2024-03-12,12.42041512492322,49.755180325180746,0.0,18.26409880419399,2.5069319652642346,0.0,8.424538686616032,8.628835093821781,0.0,0.0
2024-03-13,12.428433285767891,49.72274412705757,0.0,18.27588943119172,2.50855034786433,0.0,8.429977257352357,8.634405550766136,0.0,0.0
2024-03-14,25.94342213007223,40.11620173362931,0.0,16.531838323141375,2.2615527490215843,0.0,7.5539669309538136,7.593018133181685,0.0,0.0
2024-03-15,30.827891453264105,35.53893495246482,0.0,12.048229171202184,1.987956036066136,0.0,5.846929517841577,13.75005886916118,0.0,0.0
2024-03-18,17.913678058647776,58.746699655403575,0.0,11.161580273428207,1.932416361168137,0.0,5.107060528591211,5.138565122761092,0.0,0.0
2024-03-19,17.74978314801925,58.83128429243767,0.0,11.199942775131342,1.937331271604522,0.0,5.135011017956588,5.1466474948506304,0.0,0.0
2024-03-21,17.749488088722075,58.83030632458022,0.0,11.199756595547282,1.9389613930473157,0.0,5.134925657322639,5.146561940780477,0.0,0.0
2024-03-22,17.739835243597735,58.54860644602442,0.0,11.23802807426826,1.939541740239343,0.0,5.390874617776056,5.143113878094184,0.0,0.0
2024-03-25,17.024967345606758,56.18925425105543,0.0,10.856977348184001,1.7228433937589216,0.0,5.173636793781423,4.931072699810177,4.101248167803287,0.0
2024-03-26,17.021707723150143,56.221574976645705,0.0,10.854898657138277,1.7225135359153487,0.0,5.172646242532012,4.858330601020968,4.148328263597542,0.0
2024-03-27,17.02089301255527,56.21888404142705,0.0,10.854379108742423,1.722431091189452,0.0,5.172398663983146,4.86288437008656,4.148129712016094,0.0
2024-03-28,17.011936340579968,56.2275710252528,0.0,10.863018711774568,1.721524719809733,0.0,5.1696768633041446,4.860325440885574,4.145946898393206,0.0
2024-04-02,16.998925268304497,56.26104906241809,0.0,10.85471045580893,1.720208062957448,0.0,5.165722990096375,4.856608165889497,4.142775994525162,0.0
2024-04-03,16.994957522565265,56.26373854009562,0.0,10.855229349465437,1.7202902950036532,0.0,5.1659699299757715,4.856840328984007,4.142974033910242,0.0
2024-04-05,16.903647387268737,56.50347843796383,0.0,10.79690661113211,1.7110475570104848,0.0,5.1382143199592365,4.825990932842651,4.120714753822954,0.0
2024-04-10,16.83959400560662,56.6683008122572,0.0,10.755993643410486,1.704563844963003,0.0,5.11874396570031,4.807703693879533,4.105100034182852,0.0
2024-04-11,16.947843270482092,56.60056264222717,0.0,10.739545834689755,1.7019572666213167,0.0,5.110916504618664,4.800351868156641,4.098822613204358,0.0
