date,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,HAITONG INTERNATIONAL SECURITIES CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),BOCI SECURITIES LTD,CLSA LTD,EVERBRIGHT SECURITIES INVESTMENT,TOTAL_CCASS_PCT
2024-03-01,7.2012612433735645,5.201756064185752,6.713815874712341,0.0,3.957802408374087,2.0808185367864036,0.0,0.0,0.0,25.155454127432147
2024-03-04,7.202191774383933,5.200442373347586,6.710695722128903,0.0,3.957796934662262,2.0808185367864036,2.9695545278746747,0.0,2.6793012698475014,30.800801139031265
2024-03-05,7.200905452104895,5.200113950638045,6.712223571942248,0.0,3.957933777457904,2.0808185367864036,2.9695545278746747,0.0,2.6793012698475014,30.80085108665167
2024-03-06,7.201343349050951,5.198143414380796,6.710307772803256,0.0,3.957933777457904,2.0808185367864036,2.9695545278746747,0.0,2.6793012698475014,30.797402648201487
2024-03-07,7.202109668706548,5.198471837090338,6.700372985839628,0.0,3.9587822027908857,2.0808185367864036,2.9695545278746747,0.0,2.6793012698475014,30.789411028935977
2024-03-08,7.200768609309254,5.198417099972081,6.702858324694083,0.0,3.958590622876987,2.080845905345532,2.9695545278746747,0.0,2.6785896873101613,30.789624777382773
2024-03-11,7.201250295949914,5.198417099972081,6.710165729981379,0.04205452795678062,3.9589464141456565,2.0807090625498894,2.9695545278746747,0.0,2.6785896873101613,30.839687345740536
2024-03-12,7.1957163732941405,5.198417099972081,6.708906776261471,0.04205452795678062,3.9587000971135002,2.0807090625498894,2.9695545278746747,0.0,2.6785896873101613,30.8326481523327
2024-03-13,7.197068380115086,5.198499205649466,6.707467190051314,0.04205452795678062,3.9587000971135002,2.0807090625498894,2.9695545278746747,0.0,2.6785896873101613,30.832642678620875
2024-03-14,7.196165217663848,5.199867633605889,6.709738780458976,0.04205452795678062,3.9587000971135002,2.0807090625498894,2.9695545278746747,0.0,2.6785896873101613,30.83537953453372
2024-03-15,7.197024590420481,5.203343440615202,6.708753512330351,0.04205452795678062,3.9587000971135002,2.0807090625498894,2.9695545278746747,0.0,2.6785896873101613,30.838729446171044
