date,MERRILL LYNCH FAR EAST LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,SDICS INTERNATIONAL SECURITIES (HONG,CITIBANK N.A.,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,THE HONGKONG AND SHANGHAI BANKING,MORGAN STANLEY HONG KONG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,88088472.0,49162680.0,0.0,0.0,11969356.0,7632072.0,0.0,5298500.0,21179324.0,5219500.0
2024-03-04,88065472.0,49170180.0,0.0,0.0,11980356.0,7634572.0,0.0,0.0,21080824.0,5269500.0
2024-03-05,88019472.0,49161180.0,49167257.0,0.0,12014856.0,0.0,0.0,0.0,21019824.0,5299500.0
2024-03-08,88057972.0,49270180.0,0.0,0.0,0.0,7644572.0,0.0,5308500.0,20941324.0,0.0
2024-03-11,88046972.0,49561680.0,49197257.0,0.0,0.0,7654572.0,0.0,5315500.0,20929824.0,5297500.0
2024-03-22,88007972.0,50091680.0,49221257.0,0.0,0.0,7664572.0,0.0,0.0,20704824.0,0.0
2024-03-26,88029472.0,50108680.0,49281257.0,0.0,0.0,0.0,0.0,0.0,20135324.0,5380500.0
2024-03-28,88043472.0,49560680.0,49247146.0,0.0,11949856.0,7682072.0,0.0,0.0,20017324.0,0.0
2024-04-11,88070472.0,49509180.0,0.0,0.0,0.0,7695072.0,0.0,0.0,19307324.0,5049000.0
2024-05-13,88027472.0,63061180.0,0.0,0.0,0.0,0.0,0.0,5341000.0,19306324.0,4912500.0
2024-05-14,88041972.0,63480680.0,49158920.0,0.0,0.0,0.0,0.0,5345500.0,19305824.0,4955500.0
2024-05-22,88040472.0,63393680.0,49068920.0,0.0,0.0,0.0,0.0,5410500.0,19224824.0,4947500.0
2024-06-06,88041472.0,63567680.0,49098920.0,25786476.0,0.0,0.0,0.0,0.0,18893824.0,4913500.0
2024-09-10,87795472.0,63791180.0,49121420.0,0.0,0.0,7708072.0,0.0,5848000.0,0.0,0.0
2024-09-27,87778472.0,63767180.0,48900319.0,0.0,0.0,0.0,0.0,6195000.0,0.0,4990000.0
2024-10-02,87764472.0,64158180.0,48669319.0,0.0,22962532.0,0.0,0.0,0.0,0.0,4721000.0
2024-10-03,87762472.0,64434680.0,48389002.0,0.0,23363532.0,0.0,0.0,6809500.0,0.0,0.0
