date,217,1702,1077,24,Others
2025-03-24,100.0,0.0,0.0,0.0,0.0
2025-03-26,100.0,0.0,0.0,0.0,0.0
2025-03-27,100.0,0.0,0.0,0.0,0.0
2025-03-28,99.97945205479452,0.0,0.0,0.020547945205479454,0.0
2025-03-31,100.0,0.0,0.0,0.0,0.0
2025-04-08,100.0,0.0,0.0,0.0,0.0
2025-04-09,100.0,0.0,0.0,0.0,0.0
2025-04-11,99.91485738612175,0.0,0.08514261387824607,0.0,0.0
2025-04-15,100.0,0.0,0.0,0.0,0.0
2025-04-17,100.0,0.0,0.0,0.0,0.0
2025-04-22,100.0,0.0,0.0,0.0,0.0
2025-04-25,99.15819010873378,0.8418098912662224,0.0,0.0,0.0
2025-04-28,100.0,0.0,0.0,0.0,0.0
