date,CMB INTERNATIONAL SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,HUATAI FINANCIAL HOLDINGS (HONG KONG),CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-03-01,72.73620451541615,0.0,0.0,12.117736027030803,15.146059457553049,0.0,0.0,0.0,0.0
2024-03-04,72.72488210525835,0.0,0.0,12.118444131871088,15.15667376287056,0.0,0.0,0.0,0.0
2024-03-05,71.36894629148091,0.0,0.0,11.987781146891075,14.865541277794843,0.0,1.7777312838331727,0.0,0.0
2024-03-06,71.34077941502326,0.0,0.0,11.980300374082715,14.889003255301677,0.0,1.789916955592341,0.0,0.0
2024-03-07,71.28114045442017,0.0,0.0,12.11459409249123,14.820999231706722,0.0,1.783266221381887,0.0,0.0
2024-03-08,70.32827321573856,0.0,0.0,13.41636156149972,14.508369379771999,0.0,1.746995842989724,0.0,0.0
2024-03-11,70.31669206472445,0.0,0.0,13.479406702165308,14.456946192393344,0.0,1.7469550407168979,0.0,0.0
2024-03-12,70.31826359253866,0.0,0.0,13.482533532183902,14.452486533067916,0.0,1.7467163422095306,0.0,0.0
2024-03-13,70.32983890113482,0.0,0.0,13.49105070373135,14.437826161475853,0.0,1.7412842336579755,0.0,0.0
2024-03-14,70.36095148874195,0.0,0.0,13.481541683959044,14.44707776886672,0.0,1.7104290584322934,0.0,0.0
2024-03-15,70.36914480212582,0.0,0.0,13.485731915710037,14.434162600990444,0.0,1.7109606811737035,0.0,0.0
2024-03-18,44.72854638545303,36.43835583534232,0.0,8.570687382535038,9.175030845169983,0.0,1.0873795514996292,0.0,0.0
2024-03-19,44.72492558828046,36.42881787269702,0.0,8.581412968178016,9.17720620624437,0.0,1.0876373646001336,0.0,0.0
2024-03-20,44.74433219612127,36.42998683006227,0.0,8.57917976028993,9.158545711017263,0.0,1.0879555025092702,0.0,0.0
2024-03-21,44.73734212924567,36.434595371671485,0.0,8.581846362324862,9.158123003449512,0.0,1.0880931333084711,0.0,0.0
2024-03-22,43.81070749520109,36.421808569052885,0.0,9.518389946006293,9.160863190805937,0.0,1.08823079893379,0.0,0.0
2024-03-25,43.831354271702914,36.40318436070092,0.0,9.524151079397885,9.149281170963878,0.0,1.0920291172344017,0.0,0.0
2024-03-26,43.832676053523336,36.37242003787789,0.0,9.568570677442686,9.134468135215206,0.0,1.0918650959408864,0.0,0.0
2024-03-27,43.845670968895796,36.3521539098629,0.0,9.573389472022608,9.136911921806536,0.0,1.0918737274121588,0.0,0.0
2024-03-28,43.85494756856342,36.346110935762894,0.0,9.568097413220505,9.138581797539173,0.0,1.0922622849140073,0.0,0.0
2024-04-02,43.86801827907654,36.326117971660075,0.0,9.571495635531631,9.141898485051833,0.0,1.092469628679919,0.0,0.0
2024-04-03,40.835673900762146,33.81355916224616,0.0,8.914238718315724,8.507578630456358,6.9109294384028725,1.0180201498167416,0.0,0.0
2024-04-05,40.82931069689985,33.784167819462176,0.0,8.951989460895744,8.50499517236509,6.908232765213794,1.0213040851633317,0.0,0.0
2024-04-08,40.81203277413146,33.75314398691635,0.0,9.0138518554896,8.493360603890448,6.9065547674070915,1.0210560121650523,0.0,0.0
2024-04-09,40.821210358812415,33.747697448331756,0.0,9.019414147720575,8.480584969116988,6.906477454805929,1.024615621212337,0.0,0.0
