date,HANG SENG BANK LTD,CMB WING LUNG BANK LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF COMMUNICATIONS TRUSTEE LTD,DEUTSCHE BANK AG,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,53.660988802416945,46.339011197583055,0.0
2024-03-07,0.0,40.8909994574724,28.694841047011778,0.0,0.0,0.0,16.30779241303802,14.106367082477817,0.0
2024-03-14,43.350317637065864,23.149957570245103,16.272141592514146,0.0,0.0,0.0,9.232464538286225,7.995118661888667,0.0
2024-03-15,43.37559406802327,23.163455702117865,16.281629450640946,0.0,0.0,0.0,9.237847745727112,7.941473033490813,0.0
2024-03-19,39.712953182000135,21.20753044647493,14.906806511651896,0.0,8.444013193869427,0.0,8.457802663248346,7.2708940027552655,0.0
2024-03-20,39.688506333751874,21.194475328761342,14.95918892649361,0.0,8.438815154121269,0.0,8.452596134857608,7.266418122014291,0.0
2024-03-22,39.68524902790095,21.192735860716986,14.966168376139505,0.0,8.438122565648797,0.0,8.451902415355693,7.265821754238062,0.0
2024-03-25,38.317275591392274,23.909267735587374,14.450275915177974,0.0,8.147255611136389,0.0,8.160560461471484,7.0153646852345,0.0
2024-03-26,38.340061868268194,23.923485948811436,14.399401742378146,0.0,8.152100569951152,0.0,8.165413332331111,7.019536538259959,0.0
2024-03-28,38.33854194004056,23.922537541849493,14.398830901954243,0.0,8.151777393431162,0.0,8.165089628048712,7.023222594675836,0.0
2024-04-02,34.743771972482236,21.85909905062782,13.04874082875202,0.0,7.387435217822169,9.164421995819911,7.399499245836581,6.3970316886592675,0.0
2024-04-03,29.037496395408844,18.268986752279286,10.905631233120275,9.759602444672453,6.17413168837068,7.6592682821080045,6.18421433484499,5.34639085093813,6.664278018257337
2024-04-05,29.007012890439366,18.249808006947145,10.894182523515175,9.749356833770909,6.269630472311909,7.651227597761087,6.177722159147693,5.34077822063922,6.660281295467501
2024-04-08,29.004402996417696,18.25416429383685,10.893202323935627,9.748479639410645,6.269066364895899,7.650539181713517,6.177166321144256,5.343296839240725,6.659682039404791
2024-04-10,29.00809069447177,18.253216124527956,10.892636502353612,9.747973277735925,6.268740733098851,7.650141792584559,6.176845462877214,5.34301929434797,6.65933611800214
2024-04-11,28.985489570422722,18.238994464568684,10.88414970357034,9.74037832239752,6.263856558251485,7.6441813243321635,6.172032886551227,5.416769552011239,6.654147617894618
2024-04-12,28.942990734745123,18.302020258843047,10.868191246542436,9.726096875235642,6.2546724245859,7.6329733436905665,6.162983385737899,5.465680495327875,6.644391235291512
2024-04-15,28.935198369773317,18.324015928932454,10.865265187050085,9.723478303530403,6.2529884697120535,7.630918306785113,6.161324116442028,5.4642089619390415,6.642602355835503
2024-04-17,28.934698935719304,18.323699648482457,10.865077647867842,9.725036515388394,6.252880540423261,7.630786593830631,6.161217769319667,5.464114647326127,6.642487701642316
2024-04-19,28.891485802601906,18.296333734848027,10.848850969727135,9.710512455592761,6.243542044807295,7.7687373333125835,6.152016169392107,5.455954150679931,6.632567339038253
2024-04-26,28.889759961879342,18.295240798401316,10.848202910678715,9.709932395503523,6.243169085133722,7.768273265685728,6.151648677041469,5.461601764842729,6.6321711408334565
2024-04-30,3.362397154436257,2.129331142987765,1.2625915426692385,1.1301114685442202,0.7266247277311217,0.9041272740891884,0.7159729272264346,0.5970744027952394,0.771899572758583
2024-05-02,28.85700811929166,18.274499786792926,10.835904482635057,9.698924405898412,6.236091307699975,7.759466502891177,6.14467465477922,5.571761759288156,6.621668980723413
