date,CHINA MERCHANTS SECURITIES (HK) CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CHINA GALAXY INTERNATIONAL SECURITIES,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD,FUTU SECURITIES INTERNATIONAL,PHILLIP SECURITIES (HONG KONG) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-03-01,87.43223359606971,0.0,0.0,0.0,0.0,0.0,0.0,12.567766403930298,0.0,0.0
2024-03-04,58.09304027736212,31.216574068916973,0.0,0.0,0.0,0.0,2.355427401979752,8.334958251741153,0.0,0.0
2024-03-05,58.11732155470428,31.22928934637948,0.0,0.0,0.0,0.0,2.356411905213422,8.296977193702817,0.0,0.0
2024-03-06,58.12161995795295,31.226280560407915,0.0,0.0,0.0,0.0,2.356586187308977,8.295513294330151,0.0,0.0
2024-03-07,45.1608249842219,24.26299529016878,22.302086030809324,0.0,0.0,0.0,1.8322429698784215,6.441850724921573,0.0,0.0
2024-03-08,41.54045604630379,22.317924656050163,20.521994578804783,0.0,0.0,8.010852570622655,1.6854185210447803,5.923353627173835,0.0,0.0
2024-03-11,35.722652973883505,19.185064161682718,17.70404219541806,0.0,7.621040264479477,6.88892067256827,1.4493731334082418,5.039127677137342,4.157601027571242,2.2321778938511416
2024-03-12,35.72931390732131,19.18864145577323,17.70223477421487,0.0,7.622461302328083,6.890205197603177,1.4555693170322073,5.020603670464259,4.158376264050061,2.232594111212802
2024-03-13,35.733094241948905,19.18864145577323,17.699731579664164,0.0,7.622461302328083,6.890205197603177,1.4555693170322073,5.020603670464259,4.157099123973172,2.232594111212802
2024-03-14,35.736471637478886,19.19045511432293,17.694609483078874,0.0,7.618072713622396,6.898417825052857,1.4497804034519775,5.0210782043593545,4.158309488656187,2.2328051299765397
2024-03-18,35.70413445052817,19.17317820016426,17.671187090593858,0.0,7.6212577876197845,6.902579810132608,1.4478309589981082,5.087680571064857,4.159639160478928,2.2325119704194223
