date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,DBS BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,EAST ASIA SECURITIES CO LTD,DT SECURITIES & FUTURES CO. LTD,HANG SENG BANK LTD,TAI YIP STOCK CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.
2024-03-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,87.154039213154,0.0,0.0,0.0,0.0,12.84596078684601,0.0,0.0,0.0,0.0
2024-03-05,46.94222078647105,45.52706984967114,0.0,0.0,0.0,7.530709363857809,0.0,0.0,0.0,0.0
2024-03-06,46.73965537109817,45.27769008565946,0.0,0.0,0.0,7.98265454324237,0.0,0.0,0.0,0.0
2024-03-07,43.55628053605206,42.1938877327471,0.0,0.0,0.0,7.827186009307501,0.0,0.0,0.0,6.422645721893344
2024-03-11,43.34498370671583,41.9781955152637,0.0,0.0,0.0,8.287007174054727,0.0,0.0,0.0,6.389813603965745
2024-03-12,43.416356685927234,41.97581132164095,0.0,0.0,0.0,8.286536505189295,0.0,0.0,0.0,6.321295487242525
2024-03-18,43.42278340519625,41.971043746779145,0.0,0.0,0.0,8.285595327832867,0.0,0.0,0.0,6.320577520191738
2024-03-20,35.61557619686007,34.42485233330943,0.0,17.979518114911805,0.0,6.795885214936871,0.0,0.0,0.0,5.1841681399818205
2024-03-26,35.45538278335909,34.27001461359772,0.0,17.898648992817286,0.0,7.215103065498367,0.0,0.0,0.0,5.16085054472753
2024-04-09,29.230169915815228,28.206662309317554,17.64501405356723,14.73186263927311,0.0,5.938543592411648,0.0,0.0,0.0,4.24774748961523
2024-04-12,29.309001715223065,28.140822081953175,17.63962825915227,14.727366027182939,0.0,5.936730968470636,0.0,0.0,0.0,4.246450948017911
2024-04-18,28.037573055987647,26.92006922120812,16.87441867866709,14.088490796155032,0.0,5.679194735444878,0.0,4.338014210067902,0.0,4.062239302469331
2024-04-26,24.373749710947003,23.40227622729173,14.669345901311026,12.2474704848653,9.43544332924069,4.937063231722903,0.0,3.771142116601504,3.632104770319949,3.5314042276998947
2024-04-30,3.7969404938271603,3.634878024691358,2.283108888888889,1.906172839506173,1.4739464197530865,0.7683950617283951,0.0,0.5869333333333333,0.5652938271604938,0.549620987654321
2024-05-03,24.453558174821822,23.333952137524665,14.656324965021078,12.236599275339714,9.461939294294396,4.932680951406372,0.0,3.767794741635302,3.6288808089292433,3.5282696510274056
2024-05-07,24.503104332901962,23.29889804195737,14.644254776388951,12.226521847210794,9.482654366490054,4.928618651362694,0.0,3.7646917814207046,3.625892251020503,3.525363951246966
2024-05-09,24.700233278438326,23.093500948117374,14.646574422271863,12.228458524870277,9.484156416303868,4.929399343186049,0.0,3.765288107551637,3.626466591344431,3.525922367916175
2024-05-10,23.82136109846695,22.271798768520547,14.125426842550343,11.793351217166267,9.146695586245121,4.7540037548991485,3.5581533585699847,3.631313382292952,3.4974313485270905,3.400464642761595
2024-05-13,23.851913821827488,22.24124604516001,14.125426842550343,11.793351217166267,9.146695586245121,4.7540037548991485,3.5581533585699847,3.631313382292952,3.4974313485270905,3.400464642761595
2024-05-14,23.886028407715383,22.157676106185733,14.13838582827962,11.804170704026888,9.155086971432516,4.758365185353844,3.5614176888525493,3.6346448312342274,3.5006399710657146,3.403584305853525
2024-05-16,24.05031282928458,21.988441157989573,14.139683034747833,11.805253744677715,9.155926956858051,4.758801768579929,3.5617444513357697,3.634978312357319,3.500961157152195,3.4038965870170377
2024-05-20,24.05031282928458,21.954799243173134,14.139683034747833,11.805253744677715,9.189568871674492,4.758801768579929,3.5617444513357697,3.634978312357319,3.500961157152195,3.4038965870170377
2024-05-22,24.143016072397057,21.825741711099177,14.149203160496752,11.813202119465965,9.195756128561488,4.762005828468664,3.564142542932229,3.637425711676186,3.503318323884735,3.4061884010177534
2024-05-23,24.14966779302092,21.72767221173291,14.153101453327757,11.89298826912066,9.198289681142862,4.763317824131724,3.565124511398312,3.638427870625655,3.5042835344730507,3.407126851026148
2024-05-24,24.221008975629694,21.3924721699042,14.150069262197263,11.89044028953727,9.471773234827028,4.762297320597167,3.564360711396014,3.6376483659528,3.5035327691735145,3.406396900785049
2024-05-30,24.20772121737086,21.397314064135333,14.151247330683825,11.891430231899877,9.478683524705014,4.762693807165047,3.5646574633730554,3.6379512195166748,3.5038244569010106,3.4044766842493015
2024-06-11,24.214680258624195,21.39534942085406,14.149948001576135,11.890338393062542,9.477813217719456,4.762256509550919,3.564330166203211,3.637617192713141,3.5035027452526526,3.4041640944436873
2024-06-13,24.24945630487877,21.385531613610766,14.143454933421488,11.884882204986134,9.473464078968357,4.760071225471925,3.5626945814864155,3.6359479783562985,3.501895072764924,3.402602006054927
2024-06-24,24.24055758143665,21.37768385285689,14.138264767819992,11.917217448072376,9.46998764074155,4.75832444167324,3.561387194079837,3.634613709451358,3.5006099967044935,3.4013533671636136
2024-06-27,24.161705723369657,21.399934149838398,14.152980140731877,11.929621112998753,9.479844182678836,4.763276995593035,3.5650939531132213,3.6383966840245154,3.5042534976833286,3.404893559968379
