date,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,THE HONGKONG AND SHANGHAI BANKING,HSBC BROKING SECURITIES (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD
2024-03-01,72.15610354190954,0.0,18.66803364512713,0.0,0.7687299243628744,1.1631604732518643,3.4438651171306107,1.7093501070140409,1.294937261759852,0.7958199294440761
2024-03-04,64.94141470644726,0.0,16.73813485902634,10.094749178552425,0.6925077700235588,1.0462408232239102,3.061917522118123,1.5374034865488762,1.173481067425367,0.7141505866341399
2024-03-05,64.95710116852979,0.0,16.700835474242773,10.099284424948221,0.6942943196329209,1.0494509464032524,3.0553869562761764,1.539780396097818,1.1849685979573954,0.7188977159116433
2024-03-06,64.98707010945448,0.0,16.656445108982645,10.107130390419107,0.6895581732552151,1.0383438670057124,3.083785969932252,1.5348071948322664,1.1838360023332626,0.7190231837850636
2024-03-07,65.11759867025437,0.0,16.607677284487828,10.128689462351312,0.7038023225789353,1.045878564024536,3.09116868084989,1.5490226397931008,1.0331902610898285,0.7229721145702116
2024-03-08,65.16047870274183,0.0,16.581011826872423,10.134565151172257,0.7102041892651074,1.046171577399152,3.0637155787456263,1.549448610491741,1.031360257403201,0.7230441059086595
2024-03-11,65.12526276950956,0.0,16.587106536852055,10.12905506598584,0.7106633297709158,1.0521536482097504,3.096660411068379,1.5473382775918925,1.029108968626587,0.7226509923850236
2024-03-12,65.2486549371952,0.0,16.559345907452638,10.149803792240787,0.7216027162210337,1.0527607702614377,3.060932853266517,1.527331435489958,0.9678428675191025,0.7117247203533272
2024-03-13,65.24633029816168,0.0,16.558614867601552,10.149178701113971,0.7287569199831084,1.0713277208351333,2.9936114737793047,1.519615278000524,1.0223659267445073,0.7101988137802149
2024-03-14,65.23524409235138,0.0,16.510488185380197,10.148075184002703,0.7324577553084388,1.0751887107547864,3.029538844258549,1.516422956096533,1.0439741555710467,0.7086101162763562
2024-03-15,65.23078715390352,0.0,16.496269067093632,10.147152840107218,0.7412505553029217,1.1376989533846957,2.9230231406485467,1.5079669406485634,1.1124151551745172,0.7034361937363948
2024-03-18,65.20098099272853,0.0,16.469660990469446,10.14195680418366,0.7389669755341299,1.2488182240417889,2.863936010004153,1.503175184330478,1.127796885281912,0.7047079334259003
2024-03-19,65.14778494267543,0.0,16.509458638179154,10.124339889433315,0.7437948895486993,1.321245198797647,2.7710390374121476,1.5202059987609504,1.1472804726161079,0.7148509325765426
2024-03-20,51.96238180639507,20.20185987147659,13.159160366357545,8.075226325988032,0.6111248177275977,1.065970268273545,2.2197783073833213,1.2184247527339254,0.916241821965621,0.569831661698753
2024-03-21,51.914615317549654,20.179772864015813,13.078464961915193,8.066128305530606,0.6138042132551783,1.1304438089388236,2.2405025821488698,1.2505628517277063,0.9396758170061609,0.5860292779120005
2024-03-22,51.89664729094788,20.173751093350962,13.060061536275972,8.06399049193337,0.6225641671903915,1.3114588594951733,2.183753750006338,1.2461909695953062,0.8526775535327911,0.5889042876718106
2024-03-25,51.90201666096833,20.17533321817118,12.938244777977232,8.064824814592978,0.6226285793932912,1.3671563181918671,2.223897621031158,1.2451413209113467,0.8675822463141356,0.5931744424484823
2024-03-26,51.79335779297578,20.13979471419917,13.023855232804452,7.946760116046517,0.6663083341312177,1.4683648109699552,2.157454976347986,1.2841156041263604,0.9185196470151797,0.6014687713833775
2024-03-27,51.89950092680943,20.180254815709205,12.936347477379936,7.963163462366377,0.6624227750558982,1.552779587577028,2.0464877428690196,1.2824760803765312,0.920020558909478,0.5565465729471036
2024-03-28,51.85912379104811,20.16468565266076,12.831544932551953,7.957188055055445,0.6873116285053398,1.754108091545199,1.9717974810550272,1.2794681075966001,0.9356272608448222,0.5591449991367393
2024-04-02,51.82453769697028,20.151498795252856,12.722239705323965,7.9519843883056955,0.6863578514915464,1.8943342220078954,2.037133637417262,1.271907334811341,0.9000503171075815,0.5599560513115683
2024-04-03,51.97236277855771,20.209044781265515,12.632134818808355,7.974692613983188,0.7056817458335773,1.971222325377931,1.9364170092659383,1.2837999682817465,0.7515716262437182,0.5630723323823196
2024-04-05,51.78247201811247,20.13617762454034,12.500742539476342,7.945735117642677,0.7125556970118034,2.1895717846649827,2.1371023545306125,1.2751609178203838,0.7613383821112816,0.5591435640891038
2024-04-08,51.68296542086711,20.096821574779923,12.549108722969912,7.930205221527144,0.711498306865384,2.2711280780172847,2.211512097593641,1.2797098406633407,0.7141971051085317,0.5528536316077295
2024-04-09,51.71466626460024,20.108757016802915,12.62518446491919,7.93474719899819,0.711920863574635,2.2724768941671964,2.1051104051538614,1.2823150802247754,0.6908011037806262,0.5540207077783699
2024-04-10,51.65148352292718,20.083276985709258,12.515784482903047,7.924692992008578,0.7115213858499891,2.4502002043927695,2.0734319556367167,1.2708056760877213,0.7678630903516561,0.5509397041330899
2024-04-11,51.63729640905527,20.077630465386083,12.396626895792377,7.9221299464464305,0.7121587775882346,2.6422899518419545,2.0650266418230223,1.260399105101146,0.73599197837216,0.550449828593331
2024-04-12,51.69726692908219,20.10120901937747,12.42801293952657,7.931433453102316,0.7129951150343669,2.64220696792016,1.9313759909278045,1.254836524054106,0.7515790167227907,0.549084044252233
2024-04-15,51.68570321452523,20.09873370626188,12.38041751044691,7.930456756564659,0.7152546109912924,2.642552255938528,1.9318745367359933,1.255520320333199,0.8094311427504549,0.5500559454518464
2024-04-16,51.63447912937702,20.080182385670238,12.458328307218542,7.923136870253446,0.7484312910291692,2.6376005166842655,1.9155830879105182,1.2543614632473636,0.7995212746686755,0.5483756739407689
2024-04-17,51.67708496061631,20.098027468210937,12.39336014926356,7.930111939588219,0.7680353743312036,2.6198037020954783,1.9083816386116694,1.2547951033685916,0.8002251267435246,0.5501745371704996
2024-04-18,51.68815775645362,20.101486049874534,12.380397814468266,7.9313089123173866,0.7698443977624991,2.6806213336160556,1.841869909416496,1.2605446589921168,0.7872833604456847,0.5584858066533397
2024-04-19,51.68573539717134,20.100152745374785,12.30361240688611,7.930782839278037,0.7741528703526037,2.68832423009818,1.9001420396974056,1.2670003517608455,0.787993053637127,0.5621040657435634
2024-04-22,51.650091087858506,20.087426729238434,12.258567540830514,7.9258277370480315,0.7802044018904459,2.7925486163024664,1.9258990412956893,1.258668102743241,0.7642085359549524,0.5565582068377235
2024-04-23,51.588674264366354,20.064740543563964,12.28779110866491,7.916440423632544,0.7841838345709751,2.893027405917766,1.9064300734436952,1.2522356311167238,0.7580746137343929,0.5484021009886773
2024-04-24,51.64458595840471,20.087464286641794,12.200164730044726,7.925405959861981,0.7939532227628742,2.99500336649237,1.8268592190129818,1.2296911063823286,0.7549114360261433,0.5419607143700864
2024-04-25,51.65119547397179,20.089904724864752,12.198774748159636,7.926704005727241,0.7905302540084483,3.018494891869019,1.808285080849257,1.228834951839982,0.7454169029472828,0.5418589657625922
2024-04-26,51.65116177518237,20.0911954087156,12.076971305447943,7.926878054930764,0.7986259624393992,3.0557289710797746,1.8745797765105665,1.2289189269013283,0.7570628862753914,0.5388769325168637
2024-04-29,51.65163394121771,20.09111829704489,12.008188410456919,7.926847630916768,0.8125338522251387,3.081360328621942,1.9177146431525627,1.2188580981762933,0.7567247768709637,0.5350200213168123
2024-04-30,51.62765299140024,20.08205099545257,11.948066333550816,7.922935121146423,0.8145125155996235,3.162057534336259,1.9469918203309362,1.2079213905293338,0.760068837196773,0.5277424604570256
2024-05-02,51.59510402242737,20.070236778925725,11.95365701162963,7.918274079748285,0.8175493211867727,3.208416473868959,1.9483243398275836,1.1995091007269887,0.7635060127311935,0.5254228589274831
2024-05-03,51.61045356340582,20.06973179956497,11.967151838482534,7.921581659396171,0.880497693943544,3.204931210502133,1.8349769580603859,1.1770132063063747,0.8144066024390076,0.519255467899054
2024-05-06,51.631300248203296,20.0788167735626,11.89611184283982,7.9251675251224505,0.8808962692077446,3.2063819880711795,1.8225614783823532,1.1765406073105655,0.8637381458708993,0.5184851214290959
2024-05-07,51.6078209403788,20.070783395942954,11.905020579516966,7.921996727552741,0.8805438294970739,3.2050991397044912,1.8559197336913862,1.1693699105399964,0.8655030621937603,0.5179426809818315
2024-05-08,51.55281160389303,20.050365867670905,11.960479307903002,7.913937869611572,0.898723568901269,3.202340655675384,1.8882234054577376,1.1532880655982332,0.865593114284219,0.5142365410046418
2024-05-09,51.50079609580032,20.0337769550699,12.01123534652045,7.907222986971853,0.9230585691646549,3.2103913503169177,1.9191235308601653,1.1326054036500681,0.8560158605972306,0.5057739010484491
2024-05-10,51.550370119931635,20.05280082397941,11.997441310608476,7.91473160473673,0.9813358818255785,3.1782965667857073,1.8440034209127858,1.1276563418506704,0.8501220367480298,0.5032418926209827
2024-05-13,51.557137322263245,20.061361618739056,12.052292132827906,7.918110503945902,1.0470488890230338,3.103979277660225,1.8588549903955616,1.0512916637185281,0.8812903684517494,0.46863323297479675
2024-05-14,51.55842848886515,20.06186402367184,12.076810630777134,7.917639100981779,1.2071332824017962,2.954714031598738,1.8398820777112426,1.0317292823498545,0.8903533817221109,0.46144569992035467
2024-05-16,51.58592688630617,20.073719031140396,12.041716601454901,7.922079693538079,1.2559678618849082,2.9151789735439895,1.873866858406961,1.0062388314645223,0.8815276056492372,0.443777656610841
2024-05-17,51.49417928107096,20.037571414691428,12.12692820306525,7.906471709410131,1.246734646432727,2.930788018609462,1.9681807697875193,0.9758716358395764,0.8759632881448801,0.4373110329480677
2024-05-20,51.528811195907195,20.051112609408626,11.865425223786813,7.911814825635517,1.2718425954483814,2.9786218889981235,2.023196327135467,0.9760290772135003,0.9561384631069472,0.43700779335942264
2024-05-21,51.512301575872414,20.04481851230099,11.84341928754417,7.909331286104307,1.2699377040934265,2.975344759228243,2.076013723129851,0.970703843741913,0.9630989394931079,0.4350303684915885
2024-05-22,51.502324003503595,20.041391586604213,11.825093367450986,7.907979081762222,1.272396856762601,2.9592802931305293,2.111230715263366,0.9665234912711084,0.9811663420184084,0.43261426223297345
2024-05-23,51.5037629979022,20.041561011003335,11.808603025036279,7.90557036735925,1.2712367373125706,3.0111583875132757,2.09300464316542,0.954488366588117,0.9795019566106428,0.431112507508911
2024-05-24,51.64264015610595,20.09547148703924,11.843830427456922,7.926835829745422,1.2679475629484307,3.012046333728951,1.8492069276468601,0.955210980034106,0.9750412773955837,0.43176901789853567
2024-05-27,51.687092651424024,20.113823366246745,11.817329038085022,7.933942455977153,1.2606908980275948,3.059231814334872,1.7653959928649394,0.9557316163459685,0.9767547701815722,0.43000739651210845
2024-05-28,51.626271067915084,20.091982013985234,11.876362274850806,7.925327085898168,1.2724014380792397,3.07619983942589,1.7777322819550232,0.9469802427682248,0.9761971822733874,0.43054657284893805
2024-05-29,51.63535694191883,20.09681453478741,11.843941010050326,7.927701065047504,1.2859793221972164,3.041767967659648,1.8343962491121384,0.941185572163398,0.967894089621256,0.42496324744227065
2024-05-30,51.52642403580137,20.053610134108897,11.820521132478545,7.912146060112201,1.3302999570453893,3.023850311320991,2.0586454608963556,0.906509277713111,0.9572648998064676,0.41072873071666854
2024-05-31,51.47731768562377,20.03573512544286,11.8067689485505,7.903086513200959,1.3478458753644995,3.024667161678493,2.1477565278505497,0.8948301770057634,0.9533018350499294,0.4086901502326841
2024-06-03,51.47310967719649,20.033641687935567,11.857761520483407,7.901926298116557,1.333824971139312,2.945585887869589,2.2139521209144846,0.895572829562581,0.937315397102203,0.4073096096798019
2024-06-04,51.456440466684604,20.025536467717135,11.878278082851415,7.898597466756032,1.3452985469886405,2.89369571905074,2.4018145857522546,0.8973686247935005,0.793993263384094,0.40897677602158594
2024-06-05,51.39899087982409,20.00293755608144,11.818538100123082,7.889881440404864,1.3710309322411234,2.998535316183911,2.4245694380130347,0.8958774624348378,0.7916143253219732,0.40802454937163707
2024-06-06,51.376334327775965,19.99443702474811,11.775366076598242,7.88652852365389,1.3919789021663351,3.070531878076027,2.402655393698266,0.8951943166829981,0.7981209793632418,0.40885257723692026
2024-06-07,51.363826304528715,19.99008872920174,11.76196984187655,7.884813398751237,1.413869578315776,3.0675279662668373,2.406292886028362,0.8951665017068724,0.8060124549344716,0.41043233838943416
2024-06-11,51.295643877085986,19.963914292961178,11.717187664184504,7.874423523302575,1.446835895049997,3.1676407156312307,2.457020983156687,0.8886542058777886,0.7852859302521711,0.4033929124978881
2024-06-12,51.23635375992682,19.940551963494528,11.646004071786423,7.865142999328461,1.4697655053885732,3.2251615438741785,2.5353042168581044,0.890942553927261,0.787522995172105,0.40325039024354814
2024-06-13,51.31049043668181,19.970822409784738,11.6650866672794,7.877253897897852,1.3930875067925725,3.1474075883391843,2.5138890007611523,0.9130949305470614,0.7961869336266633,0.41268062828956686
2024-06-14,51.38801084772263,20.00010289929652,11.736073761287367,7.891210830545596,1.3697091628174334,3.176289608888154,2.5182218978857764,0.923083814191395,0.5848933569486218,0.4124038204165018
2024-06-17,51.36145069062658,19.990201353447105,11.693687136915317,7.884683947398102,1.3810099087702885,3.1561173655066783,2.6107978143129746,0.9241053582720619,0.5852565491112168,0.41268987563966564
2024-06-18,51.33886646670253,19.981393428883738,11.610088226990282,7.881472992494346,1.3961249342452842,3.2565685660104435,2.6077945960288402,0.9222279957776485,0.5886873946249647,0.41677539824192733
2024-06-19,51.316278446231166,19.973852856940596,11.604412762093643,7.878235651771168,1.4172241139864437,3.2754031487462245,2.6073606115905044,0.9218491876221643,0.5886123019941109,0.41677091902397534
2024-06-20,51.268720346182825,19.954545914848573,11.603902751469167,7.870550128608691,1.4213978640190936,3.4090896977669094,2.567478923204675,0.9129941281311393,0.5762374256089592,0.41508282015995873
2024-06-21,51.2554423896357,19.948906306140195,11.609230423769953,7.868588442900595,1.4400263606083574,3.4180644200055217,2.550739939928055,0.9124335389452749,0.5780919884509752,0.4184761896153844
2024-06-24,51.17567432360004,19.91895126591743,11.701351292860869,7.85690422891518,1.4661536452403792,3.469852622195676,2.5089360551636104,0.9089171617670332,0.5805589343485861,0.4127004699911968
2024-06-25,51.38960509667396,20.002478836588676,10.998231154143271,7.889851150390954,1.5100359755886288,3.5177961045640007,2.7703613558164886,0.9150661064497757,0.5911747433399667,0.41539947644428027
2024-06-26,51.32054867894512,19.974756191740525,11.005459461066595,7.878916128630204,1.5207816504890357,3.5464341306766576,2.8302918656265676,0.9152984678297442,0.592356207618945,0.4151572173766108
2024-06-27,51.24492421797079,19.94585832502173,10.975097226927339,7.8672548685719175,1.5513288051891299,3.5558360829823394,2.9347231872012007,0.9162745945884031,0.5936604693650354,0.4150422221821172
2024-06-28,51.17879664896292,19.919472599242603,11.271602474152504,7.855849931115884,1.6167810352475758,3.6008460387039025,2.6210853772317604,0.9168914226188013,0.6033499609940768,0.4153245117299659
2024-07-02,51.140182728565755,19.90445250502533,11.237777719702992,7.8501275340568615,1.6153688079045048,3.647414050060218,2.6473430921235876,0.9249901176411482,0.6100289199695321,0.42231452495007155
2024-07-03,51.04877078685923,19.868873737899154,11.223301869962624,7.836095605302505,1.6927488803967856,3.667528597082664,2.7105077183594233,0.9160396721165153,0.6154026947096133,0.42073043731148224
2024-07-04,50.8705466686371,19.801041468308323,11.188384298627794,7.809143012187344,1.7157564684655184,3.8583612805837717,2.8365138482272934,0.8987136017950148,0.6042216309386317,0.41731772222921226
2024-07-05,50.82176303079075,19.782843384919403,11.20534992573087,7.802031167707938,1.7564666879776476,3.8604617948250675,2.838378832469707,0.8942623203357253,0.6216703153738002,0.41677253986909396
2024-07-08,50.7821244291095,19.767477918668103,11.227236950975144,7.79597127812248,1.7753973988652707,3.877263319421511,2.845139671585867,0.8920827430095732,0.6208574603817348,0.4164488298608194
2024-07-09,50.72910105514809,19.74638889508443,11.256300889696725,7.787654110762111,1.8110831179620146,3.8825217959106326,2.8497300559844887,0.8962405560371962,0.6223378042384764,0.4186417191758252
2024-07-10,50.68500843645482,19.72798029039542,11.314829378053284,7.779670439515208,1.8434660497263957,3.9323872574449457,2.741245707420554,0.9097237368769053,0.6275158433268652,0.4381728607855968
2024-07-11,50.630150301524566,19.706837804097965,11.279880379461146,7.77107350342112,1.8633056597790985,4.018673954577951,2.773462048102157,0.8983557814512475,0.6156373085007676,0.44262325908398026
2024-07-12,50.584846160024675,19.688098919796417,11.162474231241529,7.763943339458875,1.8729351986376535,4.06017906279381,2.8906809876689836,0.9034476055079762,0.6313416900545553,0.4420528048155283
2024-07-15,50.53902918878476,19.66956361361327,11.152121322840962,7.756469815417501,1.8582016225531548,3.9138474288209615,3.117890260857621,0.9203286154210363,0.6279562365705611,0.4445918951201715
2024-07-16,50.52253061142229,19.662248194326786,11.163683899959388,7.753585062608674,1.8040073976119946,3.878583080859281,3.179734379605106,0.944276095585739,0.614428967159483,0.47692231086126347
2024-07-17,50.48294202194236,19.646649729862336,11.139419364019814,7.747433984671102,1.8648923780152857,3.8792778875640512,3.198890631084074,0.9472987481596692,0.6141055179000462,0.4790897367812642
2024-07-18,50.60979198955749,19.695385562627234,10.94935768465312,7.767015936708117,1.8734327077487356,3.74712844571267,3.2914881084680845,0.9626198982548495,0.617920116388766,0.48585954988092994
2024-07-19,50.609627088073324,19.693092119288586,10.853665778597254,7.766600007844948,1.909456687145973,3.8275598465495118,3.263972593142092,0.9684657140399967,0.6166410866428695,0.49091907867544443
2024-07-22,48.03118866718631,18.692636972583728,15.296552078979522,7.371054120281899,1.8363913099485776,3.7407404870803687,3.056304294236722,0.9227308597470529,0.5847680865237818,0.4676331234320333
2024-07-23,48.00634162741355,18.682776583235373,15.283650954430076,7.367288855639324,1.8702256619211064,3.8312962021676458,2.9925338296284987,0.9269648593299025,0.569344156612304,0.4695772696222224
2024-07-24,48.00472790182908,18.681533316115974,15.272401658141671,7.366921562358334,1.8868161118372744,3.825336068206839,2.989926366584143,0.9322200050725276,0.5702513061621356,0.4698657036920215
2024-07-25,47.99850988016496,18.679360685658175,15.23064667903779,7.366064801947089,1.8996926308236621,3.8460941588319586,3.0031582105462284,0.9352296734003217,0.5714322204776439,0.4698110591121767
2024-07-26,48.02143342677802,18.68655614341804,15.174838210273991,7.368840773556269,1.903839732971466,3.80549598464027,3.0433742946107687,0.944160085861971,0.5778860881547512,0.47357525973445874
2024-07-29,48.024154453709706,18.6861584514354,15.12976170369652,7.368683948035586,1.9184594202850136,3.8333317690582347,3.0307706823455005,0.9488187809382385,0.583488336151945,0.47637245434385517
2024-07-30,48.01811919972996,18.683749463205476,15.098178636017497,7.367733989650774,1.9177442771371709,3.8641814268546995,3.0373501453523226,0.9494761584356675,0.5837249928633497,0.4797417107530835
2024-07-31,48.01404798199068,18.68259006476069,15.051393994599533,7.367276793446875,1.9360249958291105,3.9677909184816,2.9944094440322195,0.9509765382742272,0.5557773276485012,0.47971194093656777
2024-08-01,47.97983405757832,18.669398456929507,15.030094558590545,7.362074825951679,1.9725221847586534,4.074530579765702,2.9253914168686532,0.9468770278966275,0.5567872760336544,0.4824896156266514
2024-08-02,48.00626609176875,18.679406174187893,15.146871963641455,7.3660827400052105,2.00384151369424,4.073318853830966,2.7814757650265602,0.9422813322018568,0.5206654695772862,0.4797900960657805
2024-08-05,47.99751324203914,18.676728261553414,15.135398677208379,7.365026725383967,2.0069836483910555,4.121993678788713,2.7747856011463954,0.9379374250089586,0.5067173080212193,0.47691543245875717
2024-08-06,47.98756360799115,18.67711686869931,15.147004880531966,7.36364348384916,2.010970595027824,4.118881724048309,2.7743888333382225,0.9377612689606917,0.5058428756093387,0.47682586194403054
2024-08-07,48.00046229386007,18.681670392340845,15.158938862054791,7.365377295826164,1.9785513744598255,4.100833001618356,2.773954281115167,0.954818151876316,0.5048707516926662,0.4805235951558016
2024-08-08,48.00793320983431,18.68461260679928,15.165218883946622,7.366475814419038,1.969803520097202,4.091310287388845,2.771493284100365,0.9591702076226233,0.5038546610174103,0.48012752477430176
2024-08-09,48.00170349666158,18.682690233194144,15.161592639739077,7.365472068322347,1.970158683919782,4.086855519674079,2.779753912308315,0.9654310700652967,0.5017594149967507,0.4845829611186331
2024-08-12,47.20544123999556,18.37137993321765,16.643934425791244,7.244213451083254,1.9195317394757074,3.980246096109786,2.6827536241708123,0.9680378527857365,0.5027453212839473,0.4817163160863146
2024-08-13,47.182507535887396,18.361841737539308,16.629475076658164,7.240694012573214,1.97881395820892,3.9755544540183387,2.679715531282513,0.966188588891602,0.5043396929947136,0.4808694119458279
2024-08-14,47.17402532071886,18.35871959701672,16.625044494296663,7.2396160393930975,1.9927243684702143,3.983304045891952,2.675500244667887,0.9678626104296442,0.5021092469650561,0.48109403214990537
2024-08-15,47.176275862442566,18.359714682658588,16.590267966922795,7.240008443554801,2.011063240816631,4.0031296170136805,2.668215344179969,0.9679150708521618,0.5021364624633736,0.481273309095438
2024-08-16,47.17945226201263,18.360712351638643,16.576758353489414,7.240401866435513,2.033081387207925,4.002274685609089,2.6549689629060027,0.9687337116972868,0.5024701663078653,0.48114625269562916
2024-08-19,47.164430223692,18.354525989083715,16.545725129806065,7.238143516794847,2.0940179955728304,4.002557948969045,2.661412327468624,0.9590090861787255,0.50093499159423,0.47924279083991617
