date,CHINA GALAXY INTERNATIONAL SECURITIES,KGI ASIA LTD,PHILLIP SECURITIES (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CGS INTERNATIONAL SECURITIES HK LTD,CHINA CONSTRUCTION BANK (ASIA),FUTU SECURITIES INTERNATIONAL,BOOM SECURITIES (H.K.) LTD,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-05,0.0,0.0,0.0,0.0,6.059500166666667,0.0,0.0,0.0,0.0,3.3755,9.435000166666667
2024-03-06,0.0,0.0,27.553333333333335,0.0,6.059500166666667,0.0,0.0,0.0,0.0,3.367166666666667,36.98000016666666
2024-03-11,0.0,0.0,27.553333333333335,0.0,6.106166833333333,5.86,0.0,0.0,0.0,3.367166666666667,42.88666683333333
2024-03-12,0.0,0.0,27.611666666666668,0.0,6.106166833333333,5.86,0.0,0.0,0.0,3.367166666666667,42.94500016666667
2024-03-15,0.0,0.0,27.611666666666668,0.0,6.234500166666666,5.8950000000000005,0.0,0.0,4.390000000000001,3.367166666666667,47.4983335
2024-03-18,0.0,0.0,27.611666666666668,0.0,6.234500166666666,5.8950000000000005,0.0,3.956833333333333,4.390000000000001,3.4021666666666666,51.490166833333326
2024-03-19,0.0,0.0,27.611666666666668,0.0,6.3745001666666665,5.8950000000000005,0.0,3.9335,4.390000000000001,3.3905,51.59516683333333
2024-03-20,0.0,0.0,27.611666666666668,0.0,6.3745001666666665,5.856666666666667,0.0,3.945166666666667,4.390000000000001,3.3905,51.56850016666667
2024-03-21,0.0,0.0,27.611666666666668,0.0,6.3745001666666665,5.856666666666667,0.0,3.956833333333333,4.390000000000001,3.3905,51.58016683333333
2024-03-25,0.0,0.0,27.611666666666668,0.0,6.409500166666667,5.856666666666667,0.0,3.9684999999999997,4.390000000000001,3.5071666666666665,51.743500166666664
2024-03-28,0.0,0.0,27.611666666666668,0.0,6.409500166666667,5.856666666666667,0.0,3.991833333333333,4.390000000000001,3.5071666666666665,51.7668335
2024-04-09,0.0,0.0,27.634999999999998,0.0,6.409500166666667,5.856666666666667,0.0,3.991833333333333,4.390000000000001,3.5071666666666665,51.79016683333333
2024-04-10,0.0,0.0,27.634999999999998,0.0,6.421166833333333,5.856666666666667,0.0,3.991833333333333,4.390000000000001,3.5071666666666665,51.80183350000001
2024-04-11,0.0,0.0,27.64666666666667,0.0,6.421166833333333,5.856666666666667,0.0,3.991833333333333,4.390000000000001,3.5071666666666665,51.81350016666667
2024-04-15,0.0,0.0,27.64666666666667,0.0,6.5028335,5.856666666666667,6.291666666666666,3.9801666666666664,4.390000000000001,3.4738333333333338,58.1418335
