date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HSBC BROKING SECURITIES (HONG KONG) LTD,CMB WING LUNG BANK LTD,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,CITIBANK N.A.
2024-03-01,0.0,0.0,0.0,72.20464135021098,0.0,0.0,0.0,27.79535864978903
2024-03-13,79.68945628096608,0.0,0.0,14.649701976479149,0.0,0.0,0.0,5.660841742554763
2024-03-14,79.68092960549545,0.0,0.0,14.648134476080422,0.0,0.0,0.0,5.670935918424122
2024-04-08,79.64191194591177,0.0,0.0,14.668538182129884,0.0,0.0,0.0,5.689549871958341
2024-04-12,71.35081690249007,0.0,0.0,13.141474840171252,0.0,10.410467103115941,0.0,5.0972411542227425
2024-04-16,71.35081690249007,0.0,0.0,13.151074164378828,0.0,10.410467103115941,0.0,5.0876418300151665
2024-04-22,71.3782918081209,0.0,0.0,13.138462128622667,0.0,10.400483341964438,0.0,5.082762721291981
2024-04-29,71.58424221439975,0.0,0.0,13.176371015830881,0.0,10.141958566564718,0.0,5.097428203204648
2024-05-03,67.93198495856304,0.0,0.0,12.504107188492569,0.0,9.624511700923662,5.1020408163265305,4.837355335694206
2024-05-07,67.92578531403434,0.0,0.0,12.502966032087903,0.0,9.62363334367642,5.101575191194992,4.846040119006333
2024-05-14,67.90268946868376,0.0,0.0,12.515530219980997,0.0,9.633304099978075,5.106701746692977,4.841774464664182
2024-05-16,68.02698052423489,0.0,0.0,12.355396104846976,0.0,9.650937179674916,5.116049201932933,4.850636989310295
2024-05-17,68.25185484463381,0.0,0.0,12.396238889296995,0.0,9.682839932417542,4.802394769705429,4.866671563946228
2024-05-20,68.32747059470154,0.0,0.0,12.36671430141805,0.0,9.659777948774321,4.790956725660474,4.8550804294456045
2024-05-21,68.29843027946893,0.0,0.0,12.378053253135773,0.0,9.668634929949388,4.7953495195481555,4.859532017897748
2024-05-22,68.27370410813093,0.0,0.0,12.387707723506363,0.0,9.676176144027748,4.799089732884317,4.863322291450647
2024-05-24,54.82613533369194,15.64376717830063,0.0,9.947755859965072,4.052789424430215,7.7703026328393845,3.8538343072309136,3.9054152635418435
2024-05-29,54.83421648033371,15.646073005180966,0.0,9.93448252990294,4.053386788906986,7.77144794345894,3.8544023465424613,3.9059909056740048
2024-06-07,54.92529380499616,15.672060473631372,0.0,9.78488749778539,4.060119293686883,7.78435599125967,3.860804346542255,3.9124785920982696
2024-06-11,54.95854356613851,15.660499837715028,0.0,9.77766958779617,4.0571243102888666,7.7786137912720195,3.857956389601959,3.9095925171874537
2024-06-14,54.883645551716775,15.639157562854974,0.0,9.764344488725515,4.187876153783822,7.7680130240370096,3.8526987307457143,3.9042644881361923
2024-06-21,54.913111698797046,15.609691415774702,0.0,9.764344488725515,4.187876153783822,7.7680130240370096,3.8526987307457143,3.9042644881361923
2024-07-02,54.879873791918854,15.621198829331584,0.0,9.771542731608784,4.190963442413877,7.773739577881149,3.8555389276736283,3.907142699172128
2024-07-17,54.87582836376503,15.627418748479643,0.0,9.770822429768758,4.190654508731451,7.773166542581031,3.855254719554176,3.906854687119911
2024-07-19,54.87582836376503,15.61267590060372,0.0,9.785565277644682,4.190654508731451,7.773166542581031,3.855254719554176,3.906854687119911
2024-07-22,54.89808560219463,15.619008288841037,0.0,9.789534232028553,4.151794932302882,7.776319282617032,3.8568183829385565,3.9084392790773137
2024-07-23,54.896061470846334,15.618432404928875,0.0,9.789173284958963,4.151641852679394,7.7760325642103405,3.856676179309633,3.9119822430664635
2024-07-25,54.91023352560226,15.563456119904998,0.0,9.791700473542123,4.1527136471594845,7.811232242170328,3.857671824981191,3.9129921666396212
2024-07-29,54.91688422791569,15.561160523326992,0.0,9.790256206026815,4.152101125418529,7.81008009203947,3.8571028216587755,3.912415003613729
