date,SPDB INTERNATIONAL SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,QUAM SECURITIES LTD,BLUEMOUNT SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,SOOCHOW SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD
2024-03-01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-28,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,0.0,0.0,0.0,80.53056979568407,12.273150472158187,7.196279732157746,0.0,0.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,80.54415735462239,12.264585139035992,7.191257506341624,0.0,0.0,0.0
2024-04-12,0.0,0.0,0.0,0.0,80.54213487772189,12.265860069173431,7.192005053104679,0.0,0.0,0.0
2024-04-22,0.0,13.492995301303456,0.0,0.0,69.84379937755632,10.5033592162289,6.15984610491132,0.0,0.0,0.0
2024-04-23,0.0,13.440338746679348,0.0,0.0,69.91127551122806,10.4940179544986,6.154367787593996,0.0,0.0,0.0
2024-04-24,0.0,13.324041342088478,0.0,0.0,70.0220715788717,10.497485625754678,6.156401453285144,0.0,0.0,0.0
2024-04-26,0.0,13.312198100745382,0.0,0.0,70.0487178367256,10.488154803928964,6.150929258600044,0.0,0.0,0.0
2024-04-29,0.0,13.300375894732136,0.0,0.0,70.07531676692597,10.478840555008349,6.145466783333544,0.0,0.0,0.0
2024-04-30,0.0,2.1283447583127186,0.0,0.0,11.213753241883692,1.6768387258348179,0.9834061923673393,0.0,0.0,0.0
2024-05-02,0.0,13.242254131766476,0.0,0.0,70.01910012500169,10.59777551681946,6.140870226412374,0.0,0.0,0.0
2024-05-03,0.0,1.7671940304042413,29.5624216218967,0.0,9.345482806860609,1.4195298890556072,0.8195061881171927,0.0,0.0,0.0
2024-05-06,0.0,4.014720234309512,67.16005725385389,0.0,21.251100411217553,3.2817778830798243,1.8617582557266508,0.0,2.4305859618125556,0.0
2024-05-07,0.0,4.014720234309512,67.16005725385389,0.0,21.245719607380526,3.287158686916854,1.8617582557266508,0.0,2.4305859618125556,0.0
2024-05-08,0.0,4.012453260799842,67.12213429488872,0.0,21.247935551055615,3.3275564138770877,1.8607069853016105,0.0,2.4292134940771164,0.0
2024-05-09,0.0,4.02008174244711,67.0955879329615,0.0,21.269866093264532,3.3262403872366364,1.859971087946867,0.0,2.428252756143353,0.0
2024-05-10,0.0,4.019155791201631,67.08013370909418,0.0,21.28800011894316,3.325474249474609,1.859542678114486,0.0,2.427693453171936,0.0
2024-05-17,0.0,4.017681941453553,67.0811637691961,0.0,21.28832701035437,3.325525314345159,1.859571232630028,0.0,2.4277307320207924,0.0
2024-05-21,0.0,4.016679661120681,67.06442921127642,0.0,21.285702839642074,3.3469558650265707,1.859107330384603,0.0,2.4271250925496557,0.0
2024-05-23,0.0,4.016186414475624,67.05619372637298,0.0,21.2953689236388,3.3465448601940078,1.8588790327530076,0.0,2.4268270425655807,0.0
2024-05-24,0.0,3.1945617389378524,53.3379501670977,19.28875502943413,18.107875214734868,2.661914329843364,1.4785926803454665,0.0,1.9303508396066167,0.0
2024-05-30,0.0,3.194434979065666,53.33583372287204,17.726433197365157,18.107156696160065,2.661808705364078,1.4785340099441742,0.0,1.9302742434893085,1.5655244457395103
2024-06-03,0.0,3.1944544799296906,53.33615931874358,17.72654141079435,18.111540479242098,2.661824954738369,1.478543035856698,0.0,1.9254023179981994,1.5655340026970141
2024-06-04,0.0,3.1945227348287872,53.33729893560002,17.726920168201264,18.109790794412707,2.661881829110766,1.478574627418373,0.0,1.9254434574609027,1.5655674529671797
2024-06-05,0.0,3.1942692313338377,53.333066318456964,17.725513436557648,18.11628924690747,2.6616705936922593,1.4784572941367824,0.0,1.925290662603483,1.565443216311551
2024-06-06,0.0,3.1939865248966894,53.3283461148457,17.723944653093465,18.10430951650681,2.68066181219711,1.4783264443668254,0.0,1.9251202661765439,1.5653046679168507
2024-06-25,0.0,3.1938793045106,53.32655591134442,17.723349669935608,18.10705871018194,2.680571823841731,1.4782768177541596,0.0,1.9250556409388986,1.565252121492646
