date,FUTU SECURITIES INTERNATIONAL,CHINA INTERNATIONAL CAPITAL CORPORATION,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,MORGAN STANLEY HONG KONG SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD
2024-03-01,193137717.0,0.0,193296152.0,281069624.0,187670659.0,0.0,14927210.0,17732100.0,74731087.0
2024-03-04,193380217.0,0.0,192751994.0,279448124.0,187957659.0,0.0,16099113.0,0.0,74669087.0
2024-03-05,193334217.0,0.0,191649494.0,280270124.0,187873659.0,147853980.0,15772313.0,17742100.0,74748087.0
2024-03-06,193479217.0,0.0,190597945.0,284391124.0,187520152.0,147856980.0,13403413.0,17761100.0,74860587.0
2024-03-07,193457717.0,0.0,189843945.0,286426124.0,187434652.0,0.0,12745913.0,17788100.0,74863587.0
2024-03-08,193484217.0,0.0,189988520.0,286757124.0,187377119.0,0.0,13115413.0,17790100.0,74731087.0
2024-03-11,193603217.0,0.0,190325170.0,286884624.0,187391119.0,0.0,12842656.0,0.0,74781587.0
2024-03-12,193553217.0,0.0,189720670.0,286577624.0,187543119.0,147857480.0,12781563.0,0.0,74737587.0
2024-03-13,193560217.0,0.0,189492170.0,285467624.0,187735619.0,0.0,12680563.0,17775600.0,74819587.0
2024-03-14,193366717.0,0.0,189139632.0,283893624.0,187983619.0,147853980.0,14485137.0,17715600.0,74928087.0
2024-03-15,193362717.0,0.0,190160632.0,283522124.0,187954119.0,147857480.0,0.0,17695600.0,75028087.0
2024-03-18,193427717.0,0.0,190260632.0,285343124.0,187573119.0,147862480.0,14154737.0,17699100.0,74803087.0
2024-03-19,193354217.0,0.0,190134132.0,286410624.0,187641619.0,147864480.0,13459078.0,17692100.0,0.0
2024-03-20,194013217.0,300987232.0,188642632.0,285646624.0,187876112.0,147853980.0,13273078.0,17680100.0,74863087.0
2024-03-21,193974217.0,0.0,188581132.0,285562624.0,187972612.0,0.0,13377578.0,0.0,74856087.0
2024-03-22,194127717.0,0.0,188622132.0,285339124.0,188050612.0,0.0,0.0,17681100.0,74815087.0
2024-03-25,194010717.0,0.0,191707133.0,283433624.0,187470112.0,0.0,11227456.0,17771100.0,75448587.0
2024-03-26,194233717.0,0.0,191904133.0,282995124.0,187454112.0,0.0,11291956.0,17766100.0,75839587.0
2024-03-27,194295717.0,0.0,191883633.0,283618624.0,187111105.0,0.0,10565756.0,17844600.0,76267087.0
2024-03-28,194855717.0,0.0,192062633.0,284393124.0,186713105.0,0.0,10414756.0,17924600.0,76318587.0
2024-04-02,194452217.0,301987232.0,187096463.0,292245124.0,186009276.0,0.0,8377174.0,17816600.0,75767087.0
2024-04-03,195593717.0,0.0,186202968.0,289847124.0,185120800.0,147803980.0,9299908.0,17845100.0,76347587.0
