date,KGI ASIA LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BONUS EVENTUS SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CHINA GALAXY INTERNATIONAL SECURITIES,FORTUNE (HK) SECURITIES LTD,FULBRIGHT SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,KINGSTON SECURITIES LTD
2024-03-07,0.0,0.0,1.022718814699427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,0.0,1.0543895314560117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,0.0,1.0766928531155784,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,0.0,1.0989961747751449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-13,0.0,0.0,1.1560926782236354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-19,0.0,0.0,1.1565387446568267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25,0.0,3.204262464525786,1.1614454754219314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26,0.0,3.2024781987930213,1.1632297411546966,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-27,0.0,3.2020321323598298,1.1792881327495846,0.0,1.072789771825154,0.0,0.0,0.0,0.0,0.0
2024-03-28,0.0,3.201139999493447,1.170366804085758,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-02,0.0,0.0,1.1685825383529926,0.0,1.0718976389587715,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,3.203370331659404,1.1708128705189493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,0.0,0.0,1.202483587275534,0.0,0.0,0.0,0.0,0.007137062931061316,0.0,0.0
2024-04-09,0.0,0.0,1.2033757201419166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-10,0.0,0.0,1.1917779928789418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-11,5.458068876529142,0.0,1.193116192178516,0.0,0.0,0.0,0.0,0.8921328663826645,0.0,0.0
2024-04-12,12.137913713569342,3.213629859622804,1.2029296537087253,0.0,1.087509964120468,0.0,0.0,1.1151660829783308,0.0,0.0
2024-04-15,12.086616073752339,3.3135487406576623,1.342102380864421,0.0,1.072789771825154,0.0,0.0,0.9055148593784045,0.0,0.0
2024-04-16,0.0,0.0,1.3635135696576048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-17,12.099998066748078,3.313102674224471,1.3492394437954822,0.0,1.1388076039374713,0.0,0.0,1.2021490374506405,1.4886352041677737,0.0
2024-04-18,0.0,3.3144408735240454,1.3644057025239875,0.0,0.0,0.0,0.0,1.240510750705095,1.4792678090707556,0.0
2024-04-19,12.086616073752339,0.0,1.3550383074269696,0.0,1.1432682682693844,0.0,0.0,1.2021490374506405,1.470346480406929,0.0
2024-04-22,12.082155409420425,3.3233622021878717,1.4063359472439727,0.0,0.0,0.0,0.0,1.5920111000598647,1.3570456063763305,0.0
2024-04-23,10.297889676655096,0.0,1.4313156675026872,0.0,0.0,0.0,0.0,3.1425380218329355,1.2468671973780714,0.0
2024-04-24,0.0,0.0,1.5669198631928523,0.0,0.0,0.0,0.0,3.162611011326546,1.0795922849313218,0.0
2024-04-25,8.703202177996083,3.608844719430325,1.8907640936897594,0.0,0.0,0.0,0.0,2.9971203646125613,0.9903789982930554,0.0
2024-04-26,7.097363018507287,3.626687376757978,1.9657032544659034,0.0,1.2248984255433983,0.0,0.0,3.290632077652458,0.8083838935509919,0.0
2024-04-29,8.881628751272617,3.661480558546902,1.9607965237007987,0.0,1.2222220269442503,0.0,0.0,2.468531641280833,0.6924066209212455,0.0
2024-04-30,9.084588978374672,0.0,1.950536995737398,0.0,0.0,0.0,0.0,2.241037760353253,0.6794706943586968,0.0
2024-05-02,9.149268611187415,3.7083175340319916,2.0415345481084297,0.0,1.2289130234421204,0.0,0.0,2.4640709769489195,0.3855129148856089,0.0
2024-05-03,0.0,3.703856869700078,2.0433188138411955,0.0,0.0,0.0,0.0,2.3596914315821476,0.0,0.0
2024-05-06,0.0,0.0,2.069636733399484,0.0,0.0,0.0,0.0,2.5849549803437704,0.0,0.0
2024-05-07,0.0,0.0,2.0593772054360833,0.0,0.0,0.0,0.0,1.869910487938065,0.0,0.0
2024-05-08,0.0,3.712778198363905,2.205240929089649,0.0,0.0,0.0,0.0,1.95867770814314,0.11787305497080955,0.0
2024-05-09,9.220639240498029,3.7350815200234715,2.1963196004258223,0.0,1.257907341599557,0.0,0.0,1.9270069913865553,0.0,0.0
2024-05-10,9.262569485218014,0.0,2.135654565511801,0.0,1.2690590024293402,0.0,0.0,1.9725057675720712,0.0,0.0
2024-05-13,9.446348855692843,0.0,2.09506252009139,0.0,1.3671936177314334,0.2823600522101133,0.0,2.410989071399151,0.0,0.0
2024-05-14,9.408879275304772,3.7462331808532547,2.074543464164589,0.0,1.3984182680548267,0.31759930043222856,0.0,2.425709263694465,0.0,0.0
2024-05-16,9.387914152944779,3.7341893871570893,2.0682985340999096,0.0,1.3542576911688846,0.40859685280326036,0.0,2.6723840012492714,0.0,0.0
2024-05-17,0.0,3.745341047986872,2.0790041284965017,0.0,0.0,0.5040550695062054,0.0,2.3645981623472525,0.0,0.0
2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3458633721532163,0.0,0.0
2024-05-21,0.0,3.7216995270277318,2.0236918907807766,0.0,1.3319543695093181,0.0,0.0,3.209447986811635,0.0,0.042822377586367893
2024-05-22,0.0,3.732851187857515,2.0210154921816286,0.0,1.2824409954250802,0.0,0.0,3.1635031441929287,0.0,0.0
2024-05-23,0.0,3.7239298591936887,2.024137957213968,0.0,1.2503242122353042,0.5620437058210787,0.0,2.279399473607708,0.0,0.0
2024-05-24,9.532885743731962,0.0,1.9946975726233398,0.0,1.205717568916171,0.6334143351316918,0.0,2.3503240364851297,0.0,0.17218164321185425
2024-05-27,9.56544859335493,3.7578309081162296,1.973286383830156,0.0,0.0,0.6659771847546591,0.0,3.1594885462942064,0.0,0.24578260468842406
2024-05-28,9.581506984949817,3.7600612402821865,1.978639181028452,0.0,1.2610298066318963,0.6762367127180596,0.0,3.1157740358414556,0.0,0.2502432690203374
2024-05-29,0.0,3.762737638881334,1.9777470481620694,0.0,1.2788724639595497,0.0,0.0,2.2463905575515493,0.0,0.36711267451646645
2024-05-30,9.614961967439166,3.7689825689460132,1.9715021180973908,0.0,1.3011757856191162,0.0,0.0,1.790956729263199,0.11921125427038354,0.44963496465686287
2024-05-31,9.626559694702141,3.770320768245587,0.0,0.0,1.368085750597816,0.687388373547843,0.0,1.605839159488796,0.18433695351631807,0.0
2024-06-03,9.403526478106475,3.7725511004115435,1.9884526425586615,0.0,1.3903890722573826,0.0,0.0,1.7004052433253585,0.0,0.4906730765104655
