date,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,FULBRIGHT SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,VALUABLE CAPITAL LTD
2024-03-01,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,98.65921787709497,0.0,0.0,1.3407821229050279,0.0,0.0,0.0,0.0,0.0
2024-03-06,84.69241773962804,0.0,0.0,1.144492131616595,0.0,0.0,0.0,14.163090128755366,0.0
2024-03-07,85.50794415021666,0.0,0.0,1.1555127587867116,0.0,0.0,0.0,13.33654309099663,0.0
2024-03-08,85.79682233991333,0.0,0.0,1.1555127587867116,0.0,0.0,0.0,13.047664901299951,0.0
2024-03-13,86.16562948779321,0.0,0.0,1.1488750598372426,0.0,0.0,0.0,12.685495452369555,0.0
2024-03-14,89.65517241379311,0.0,0.0,1.2315270935960592,0.0,0.0,0.0,9.113300492610838,0.0
2024-03-15,90.10880316518298,0.0,0.0,0.741839762611276,0.0,0.0,0.0,9.149357072205737,0.0
2024-03-19,89.7878638381845,0.0,0.0,1.0853478046373952,0.0,0.0,0.0,9.126788357178096,0.0
2024-03-20,89.69935929029079,0.0,0.0,1.1828486939379004,0.0,0.0,0.0,9.117792015771316,0.0
2024-03-25,36.76056338028169,59.3158953722334,0.0,0.482897384305835,0.0,0.0,0.0,3.440643863179074,0.0
2024-03-26,36.856913183279744,59.244372990353696,0.0,0.482315112540193,0.0,0.0,0.0,3.4163987138263665,0.0
2024-03-27,36.831523924406916,59.2681946119823,0.0,0.48250904704463204,0.0,0.0,0.0,3.417772416566144,0.0
2024-04-11,36.904522613065325,59.256281407035175,0.0,0.4824120603015076,0.0,0.0,0.0,3.3567839195979903,0.0
2024-04-12,37.018459069020864,59.14927768860353,0.0,0.4815409309791332,0.0,0.0,0.0,3.350722311396469,0.0
2024-04-15,34.64772939637451,55.0925060736311,0.0,0.4485142963931975,5.157914408521772,0.0,0.0,3.1209119790693327,1.5324238460100916
2024-04-16,34.74687091350644,55.071922286568274,0.0,0.44834672146459925,5.081262843265458,0.0,0.0,3.1197459368578366,1.5318512983373809
2024-04-22,34.76555202690081,55.071922286568274,0.0,0.429665608070241,5.081262843265458,0.0,0.0,3.1197459368578366,1.5318512983373809
2024-04-24,34.75905864774001,55.061636159880464,0.0,0.4295853567426224,5.0803137840866635,0.0,0.0,3.119163242435562,1.5502428091146805
2024-04-25,34.95344506517691,54.897579143389194,0.0,0.42830540037243947,5.065176908752328,0.0,0.0,3.1098696461824953,1.5456238361266295
2024-04-26,35.15639632890054,55.216332646563025,0.0,0.43079228319910096,5.094587001311107,0.0,0.0,2.509833302116501,1.592058437909721
