date,ONE CHINA SECURITIES LTD,LONG BRIDGE HK LTD,THE HONGKONG AND SHANGHAI BANKING,TIGER BROKERS (HK) GLOBAL LTD,FUTU SECURITIES INTERNATIONAL,FIRST SHANGHAI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,HGNH INTERNATIONAL SECURITIES CO LTD,SHANGHAI COMMERCIAL BANK LTD,THE BANK OF EAST ASIA LTD
2024-03-01,66.46289316058801,8.460465013852355,0.0,9.837580908936523,4.832298238836022,0.0,0.0,10.406762677787087,0.0,0.0
2024-03-04,66.49127669334979,8.501673805954187,0.0,9.861866274704283,4.7945170465161935,0.0,0.0,10.350666179475542,0.0,0.0
2024-03-05,62.27281454069713,7.962368086536283,6.316165156603688,9.236276419403355,4.517734563098358,0.0,0.0,9.69464123366119,0.0,0.0
2024-03-06,62.22793084403095,8.027478636800213,6.311612723201193,9.240446333392175,4.590282337338395,0.0,0.0,9.60224912523707,0.0,0.0
2024-03-07,62.20293172848884,8.063295159559638,6.309025473467332,9.291041454125756,4.639330019107888,0.0,0.0,9.494376165250547,0.0,0.0
2024-03-08,62.202812976207824,8.063295159559638,6.309025473467332,9.353207279492965,4.647519082000944,0.0,0.0,9.424140029271294,0.0,0.0
2024-03-11,62.11485314602708,8.071913418416237,6.300103998976065,9.339981084654086,4.787500630382527,0.0,0.0,9.385647721544006,0.0,0.0
2024-03-12,62.077789915586735,8.100426716886282,6.29634479816522,9.489699762560734,4.849107446078929,0.0,0.0,9.186631360722103,0.0,0.0
2024-03-13,60.60929521407049,7.911442890373971,6.147358746828276,9.3551623771013,4.730735326307927,0.0,2.3843860467122866,8.861619398605745,0.0,0.0
2024-03-14,60.675663718370046,7.921352235953562,6.155328697012129,9.58100236508327,4.78076831137526,0.0,2.374890599634601,8.510994072571137,0.0,0.0
2024-03-15,60.697857235500564,7.9947718325529635,6.15764163314552,9.638487477927855,4.77165553288695,0.0,2.375782992315988,8.363803295670166,0.0,0.0
2024-03-18,60.6984563747148,7.994868741089601,6.157716272929156,9.638604310745157,4.771713372455697,0.0,2.375811790342745,8.362829137722844,0.0,0.0
2024-03-19,60.72113124289654,7.997777090034554,6.161168897981901,9.622709175606815,4.7552603644132665,0.0,2.376676055903272,8.36527717316365,0.0,0.0
2024-03-20,60.757428470108806,7.998892014342294,6.164831850043568,9.628860087744643,4.745954365194403,0.0,2.378089042724935,8.325944169841353,0.0,0.0
2024-03-21,60.780468937732245,8.066783023531297,6.167226333858842,9.68119149171737,4.705315372522064,0.0,2.381440280856337,8.217574559781843,0.0,0.0
2024-03-22,60.83065410047573,8.07465838185143,6.172318483732804,9.690399833364651,4.638742969888991,0.0,2.383406586318394,8.209819644367991,0.0,0.0
2024-03-25,60.834314697862624,8.06411717059874,6.172618419704187,9.690870726027558,4.645042599826116,0.0,2.3895966210506074,8.203439764930168,0.0,0.0
2024-03-26,60.83357566529091,8.067666363426856,6.172543432978561,9.691128502050098,4.659564112111844,0.0,2.3907824200161008,8.184739504125632,0.0,0.0
2024-03-27,60.83374372154747,8.067764372924982,6.172618419704187,9.691246234068009,4.659620718510715,0.0,2.390811464274324,8.184195068970308,0.0,0.0
2024-03-28,60.82889779226864,8.067176351653464,6.173383281357099,9.701472676980956,4.655636836707775,0.0,2.3906372093094785,8.182795851722585,0.0,0.0
2024-04-02,60.821509470944065,8.066196506658217,6.172633457819309,9.700294329188038,4.6672174310815695,0.0,2.390346840808422,8.181801963500371,0.0,0.0
2024-04-03,60.82150218330127,8.066196506658217,6.172633457819309,9.70614436299092,4.6672174310815695,0.0,2.390346840808422,8.175959217340296,0.0,0.0
2024-04-05,60.76546093290324,8.110346665938065,6.166865911931752,9.7092099200938,4.7368783127200516,0.0,2.408742391811202,8.102495864601893,0.0,0.0
2024-04-08,60.783900826941206,8.112807832706737,6.162668107407917,9.95832943902962,4.718894318729131,0.0,2.4094733490653373,7.853926126120051,0.0,0.0
2024-04-10,60.78325815531412,8.105544723324387,6.163897106393341,9.958353929019989,4.722547454044906,0.0,2.409479274555097,7.856919357348155,0.0,0.0
2024-04-11,60.80775074193656,8.151116495990685,6.166380845968873,9.962366643271011,4.702592415967469,0.0,2.4104501731485253,7.7993426837168744,0.0,0.0
2024-04-12,60.840997284302965,8.15557310615322,6.169752305026994,9.993883488842277,4.665068665989764,0.0,2.4117680830009025,7.762957066683873,0.0,0.0
2024-04-15,60.82252249608084,8.153096610160523,6.167878817209467,9.990848777229806,4.694017775063966,0.0,2.4110357329973993,7.7605997912579925,0.0,0.0
2024-04-16,60.82252249608084,8.718753893944172,6.167878817209467,9.990848777229806,4.694017775063966,0.0,2.4110357329973993,7.1949425074743445,0.0,0.0
2024-04-17,61.041701823510365,8.750106851043398,6.190058734466165,10.039189751884063,4.362264944587613,0.0,2.4197059054579237,7.196971989050476,0.0,0.0
2024-04-18,61.1333630094944,8.763246150038905,5.979605166060472,10.055485584055821,4.448169072977148,0.0,2.428222677683601,7.191908339689644,0.0,0.0
2024-04-19,61.088615871513255,8.756831809892466,6.082582379209247,10.048125377145116,4.410755089922258,0.0,2.4264453173379845,7.186644154979671,0.0,0.0
2024-04-22,61.57651704868049,8.82671610364915,6.131124703992471,10.208339847499623,4.469319013347638,0.0,2.4581063544486463,6.329876928381976,0.0,0.0
2024-04-23,61.59156795591699,8.828887423737093,6.132632924498846,10.21085103887761,4.447048999914182,0.0,2.4587110341101472,6.330300622945129,0.0,0.0
