date,CHINA INTERNATIONAL CAPITAL CORPORATION,MORGAN STANLEY HONG KONG SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIC SECURITIES BROKERAGE (HK) LTD,CMB INTERNATIONAL SECURITIES LTD
2024-03-01,0.0,66.88905016468995,0.0,0.0,0.0,12.513166501475217,6.419680872066323,14.17810246176852,0.0,0.0
2024-03-04,0.0,45.64791637064308,0.0,27.913106273869264,0.0,8.578314823187696,4.4006997271015305,9.706149305134877,0.0,3.7538135000635444
2024-03-05,0.0,45.67184503282207,0.0,27.890460217495782,0.0,8.567764155146282,4.403090370423564,9.710987496259401,0.0,3.755852727852894
2024-03-06,0.0,45.71525554312213,0.0,27.911799930145904,0.0,8.531757592196403,4.382581472679701,9.699469005942488,0.0,3.7591364559133735
2024-03-07,0.0,46.578582592268155,0.0,28.438640293072265,0.0,6.76184569483353,4.5087354852925285,9.882105085865845,0.0,3.830090848667677
2024-03-08,61.005489112578616,18.174413800837673,0.0,11.061070355640638,0.0,2.656621411129707,1.7522717433867643,3.855734156519376,0.0,1.4943994199072341
2024-03-11,43.93813339515902,13.12467433193453,0.0,7.964673772494408,0.0,1.9304471462158652,1.2524532950008085,2.777024890215792,1.2238686696632248,1.0763149679262842
2024-03-12,59.61281654700866,17.79151967360636,0.0,10.799774636760947,0.0,2.6116886409511384,1.6975692886480005,3.765854296010189,1.6543940149968934,2.066382902017809
2024-03-13,59.61624150626401,17.79254185698072,0.0,10.793128954732218,0.0,2.6191048572029008,1.6919214793447281,3.766070657159897,1.654489065565242,2.066501622750284
2024-03-14,59.63738293764466,17.799911064175905,0.0,10.783229887474603,0.0,2.6318541127907724,1.694819886783271,3.730270285434565,1.6551743118231588,2.0673575138730733
2024-03-15,56.57324887066196,16.901522544535283,0.0,10.23493260053874,5.038496522653319,2.520883995073987,1.6043575459085464,3.541762424544237,1.5715306760950163,2.0132648199889136
2024-03-18,56.55656848025457,16.89637873957767,0.0,10.231914872637683,5.040059689325811,2.5632644426492672,1.6144748909673905,3.5137608111065455,1.5710673167204399,2.01251075676063
2024-03-19,56.620349161404015,16.997521044356912,0.0,10.243453735718951,5.045743528509429,2.5986046638033935,1.4003906147653915,3.505032729976034,1.5728390604150215,2.016065461050855
2024-03-20,56.64819528461836,17.0008981661854,0.0,10.239812611943506,5.048225046163133,2.6116152512687076,1.3586491699376009,3.5019349102466895,1.573612589206725,2.01705697042987
2024-03-21,56.65657267776971,17.00196563971163,0.0,10.241326922074931,5.045917463128675,2.621324625556387,1.3392393152195392,3.502452792332538,1.573845302204226,2.0173552620023565
2024-03-22,56.66467925329079,16.997163808244576,0.0,10.213050368779909,5.04663944663482,2.628130375016258,1.3931271423278655,3.465655969899232,1.5740704922430477,2.0174831435634957
2024-03-25,44.13669389922893,13.239889551712904,0.0,7.954672940210986,3.9308786957081265,2.0587231778199615,1.0849956503126077,2.6994346163989706,1.2260594855110787,1.5698102004567813
2024-03-26,56.652133282669936,16.99261321210694,0.0,10.205976020278017,5.045049733910953,2.681624659209229,1.396063346615829,3.436760329710803,1.5735746533949904,2.0162047621033
2024-03-27,56.69129240663465,17.011097877948096,0.0,10.190021266060008,5.049009653106192,2.6483441289430245,1.3923338556310327,3.426751319149674,1.5748097707483903,2.016339721778932
2024-03-28,56.68673358619122,17.00394006595489,0.0,10.189201837267778,5.0486036378708965,2.6624450019279133,1.393991017528782,3.4251891203127167,1.5746831326938917,2.015212600251918
2024-04-02,56.70141560927806,17.00673542106905,0.0,10.182188590638095,5.049911240381717,2.673591217698091,1.3974086199731066,3.397923774946406,1.5750909800445159,2.01573454597096
2024-04-03,56.69977376325615,17.00399084098649,0.0,10.168702689902414,5.049765015166845,2.632331938757822,1.4081462221739667,3.3946080516724786,1.6271661663665586,2.015515311717276
2024-04-05,56.698952875900645,17.00358379647539,0.0,10.115148514944181,5.049691905734936,2.6279504917401915,1.3938089107464036,3.3943980409325247,1.701622789298339,2.014842674227393
2024-04-08,56.65365852087246,16.990161100458845,0.0,10.107067957812879,5.0456579240410955,2.6226364188397637,1.3914095702418448,3.3916864023188547,1.7846497381615205,2.013072367252736
2024-04-09,56.633904800893944,16.984237054359603,0.0,10.103543874894758,5.043898628766243,2.62541760551454,1.4220962955590974,3.3905038057276444,1.7840274752378575,2.012370459046321
2024-04-10,56.636361886631114,16.984813235874768,0.0,10.0928948363165,5.044117460425901,2.6044815473983958,1.4231221142449106,3.3819738201899887,1.8307040306658688,2.001531068252551
2024-04-11,56.64819528461836,16.988201261421096,0.0,10.093717846997238,5.04517136020716,2.60534715904329,1.421008651564831,3.378983870440424,1.8310865313892575,1.9882880343183387
2024-04-12,56.66313062704975,16.992519451714482,0.0,10.082553472732396,5.04650152371036,2.6023365191128525,1.4236339792684876,3.3798747422664652,1.8315692988318988,1.9778803853133087
2024-04-15,56.708257657980774,17.00605244825752,0.0,10.061783870778005,5.050520603274687,2.594433818845859,1.4117356259257028,3.3761308763376774,1.833188867946602,1.9578962306531684
2024-04-16,56.71929964484536,17.009363793298036,0.0,10.063743057850996,5.051504018820567,2.5846399846946397,1.4042862546665502,3.376144573758577,1.833545818560783,1.9574728535044879
2024-04-17,56.735368395027386,17.01434356545694,0.0,10.065950276330407,5.052935125280452,2.5646073957617923,1.4035573197694533,3.3711452431827125,1.834065267670526,1.958027411520331
2024-04-18,56.74020906386746,17.01627817552715,0.0,10.063428495679016,5.053366242347352,2.5646652270188444,1.3990086116759475,3.3714328697231877,1.8390511915063599,1.9525601226546692
2024-04-19,56.740939802613624,17.016175355763675,0.0,10.063558099310063,5.053431323011889,2.564215306175235,1.3985436787189252,3.371476289313433,1.839074876050072,1.9525852690430834
2024-04-22,56.73436383140788,17.014364236910385,0.0,10.062391786793588,5.0528456573710665,2.5719663667423722,1.4017618555387195,3.371085553258012,1.8388617371159592,1.95235897486201
2024-04-23,56.722037992806975,17.010828706711052,0.0,10.056021504060181,5.051747900106472,2.581063382585185,1.4175502971580345,3.370353167211298,1.8384622347429627,1.9519348146178463
2024-04-24,56.732720076762014,17.01419320300613,0.0,10.057915287671653,5.052699262171345,2.6064982763440225,1.3738751410360777,3.370987883395065,1.8388084601014765,1.9523024095122181
2024-04-25,56.73052855205933,17.01385787061207,0.0,10.057043899370035,5.052504081766928,2.6120309768154493,1.3722125306331097,3.370857665714529,1.8387374288842466,1.9522269941443005
2024-04-26,56.74669502804331,17.018706302870335,0.0,10.05314786064966,5.057163887301279,2.5868543626928133,1.3738915676764658,3.3714962581253727,1.8392614131523928,1.9527833194883726
2024-04-29,56.75373077815238,17.021138409978356,0.0,10.05149594692555,5.057790900757377,2.589751410100542,1.3644007257829305,3.3719142737499674,1.8394894543393165,1.950288100213582
2024-04-30,44.13669389922893,13.237385089481243,0.0,7.808412345881812,3.933383157939791,2.0058790247318528,1.062956382673965,2.603513712926242,1.4305488267264388,1.5103292224547629
2024-05-02,56.79607346486487,17.03577117833171,0.0,10.047876491885676,5.0615644052060125,2.5973234609854257,1.3926513123425859,3.2875755943781817,1.8408618561992136,1.9403022358063275
2024-05-03,56.789210210471474,17.067064492688925,0.0,10.044889979146928,5.060952764259338,2.597009599646654,1.3824935593813392,3.2871783227665152,1.8406394059055322,1.9305616657332907
2024-05-06,56.7975959594745,17.071357277901843,0.0,10.046373252568339,5.061700087200438,2.6236595883432168,1.340035747678761,3.287663722233082,1.8409112029600396,1.930703161639782
2024-05-07,56.83166406303282,17.089175269864086,0.0,10.052399227410623,5.064736175609442,2.5563834604681652,1.342129449242181,3.2896357153476123,1.842015410848501,1.9318612281765777
2024-05-08,56.8676080371837,17.103049069430178,0.0,10.044397495403711,5.066326010009989,2.512662947156332,1.3379766700890545,3.2917162910806606,1.8431804190425185,1.933083060603861
2024-05-09,56.82195232226223,17.093025925768494,0.0,10.036172216040042,5.062258549745773,2.5285403506332007,1.3855888998432784,3.2832698838929466,1.857660751846137,1.9315310999679087
2024-05-10,56.821769113774266,17.09474415396989,0.0,10.025983452273188,5.062242227731189,2.5254691553208977,1.3660776870383278,3.283098085021039,1.8890912526529116,1.9315248722182838
2024-05-13,56.83398272803708,17.098741096378863,0.0,9.998952714110903,5.063330336652096,2.546167922818224,1.3535840768711358,3.283803773953694,1.8894973053370678,1.9319400458409333
