date,ADVENT SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,NANYANG COMMERCIAL BANK LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,0.0,27.581963182037565,20.55998086543652,19.86918359574721,15.617571109105178,16.37130124767353
2024-03-04,0.0,27.840669221669256,20.195016517153974,19.974053759615167,15.435164765800854,16.55509573576075
2024-03-05,0.0,27.89046465802622,20.352312846993208,20.072945551329536,15.573200104947455,16.111076838703582
2024-03-06,0.0,27.74243793745808,20.707949106883415,20.48736205258125,15.899603681275135,15.16264722180212
2024-03-07,0.0,27.74460482156486,20.670710010942326,20.50541675188485,15.973855485788674,15.105412929819288
2024-03-08,0.0,27.967526672048166,20.583353139752575,20.489039031456873,15.900069940577724,15.060011216164664
2024-03-11,0.0,28.110995541932365,20.272368791877277,20.501128727707677,15.88965057533351,15.225856363149173
2024-03-12,0.0,27.941995004995107,20.32296248638642,20.54700340333283,15.928112363327001,15.25992674195864
2024-03-13,0.0,27.269439495890584,20.258523486174195,20.470724640259135,16.79846668001465,15.202845697661438
2024-03-14,0.0,27.273861423251212,20.26180854523464,20.4740441091977,16.80119066704196,15.18909525527449
2024-04-03,0.0,27.28018095062473,20.243332698496502,20.478788075597866,16.805083609910604,15.1926146653703
2024-04-24,0.0,27.295992588888552,20.19710560144088,20.49065761523614,16.81482386432879,15.201420330105636
2024-06-04,0.0,27.28318375214756,20.234553671610193,20.481042229854776,16.806933389820294,15.19428695656718
2024-11-07,0.0,27.25476266479474,20.317645906681815,20.459706981902062,16.78942548728427,15.178458959337112
2024-11-18,0.0,26.923843371805273,20.594198095515686,20.480923577785447,16.806836022830694,15.1941989320629
2024-12-09,0.0,26.955074940831757,20.618087297012035,20.504681381216866,16.826331896882373,15.095824484056966
2024-12-19,0.0,26.96132995149868,20.62287178958931,20.509439557591556,16.83023650058803,15.076122200732422
2025-03-03,0.0,26.969309301587945,20.599379703100603,20.515509436142022,16.835217499276332,15.080584059893102
2025-04-17,74.4529443712916,6.889864449955102,5.262534991919979,5.241108608164124,4.300902379754176,3.852645198915023
2025-04-22,74.56758160581666,6.746500227950918,5.270637860962425,5.24917848641755,4.30752459676575,3.8585772220866974
