date,SUPREME CHINA SECURITIES LTD,SUCCESS SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,INTERACTIVE BROKERS HONG KONG LTD,XIN YONGAN INTERNATIONAL SECURITIES,THE HONGKONG AND SHANGHAI BANKING,IFAST SECURITIES (HK) LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,TFI SECURITIES AND FUTURES LTD
2024-03-01,0.0,0.0,0.0,45.73349543396969,11.652371743672754,42.61413282235755,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,40.29564727069664,27.734150546432833,6.940687275956606,25.029514906913924,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,40.278624800427835,27.69968780913732,7.002745937534044,25.018941452900805,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,37.47806193017522,26.18494422147953,6.5158467357951135,23.18564917260085,0.0,0.0,6.635497939949292,0.0
2024-03-07,0.0,0.0,37.49166508248412,26.29123854038637,6.518211747511396,23.060978248984497,0.0,0.0,6.6379063806336225,0.0
2024-03-08,0.0,0.0,37.46786604222238,26.316868141991094,6.514074102958342,23.064476184560192,0.0,0.0,6.636715528267984,0.0
2024-03-11,0.0,0.0,37.464468645586855,26.32657185392327,6.513483439657261,23.056339818254166,0.0,0.0,6.639136242578444,0.0
2024-03-12,0.0,0.0,37.48146179273403,26.21151056925393,6.516437827815754,23.148442185815846,0.0,0.0,6.642147624380428,0.0
2024-03-13,0.0,0.0,37.487129601304574,26.20035254571912,6.517423219537511,23.161015586924204,0.0,0.0,6.634079046514592,0.0
2024-03-14,0.0,0.0,37.47466268434886,26.37303845074172,6.5152557509981115,22.99912369054319,0.0,0.0,6.637919423368121,0.0
2024-03-15,0.0,0.0,37.41696970300703,26.41695928860908,6.505225386438311,23.03012674020439,0.0,0.0,6.63071888174119,0.0
2024-03-18,0.0,0.0,37.41809923047351,26.378512908885003,6.505421763397962,23.067047050198763,0.0,0.0,6.630919047044764,0.0
2024-03-19,0.0,0.0,37.453148438528046,26.342789735615856,6.481299486950001,23.12491277062258,0.0,0.0,6.597849568283512,0.0
2024-03-20,0.0,0.0,34.623402757699054,24.34968592094377,5.991609567837911,21.41683270222178,0.0,7.438109815616804,6.180359235680675,0.0
2024-03-21,0.0,0.0,34.684439513118356,24.2023327434602,6.002172030756976,21.46857899318699,0.0,7.451222278674663,6.191254440802816,0.0
2024-03-22,0.0,0.0,34.65147233673207,24.23523980822152,5.996467032584411,21.487311126314584,0.0,7.444139974257964,6.18536972188945,0.0
2024-03-25,80.15780172956373,0.0,6.861610973111828,4.801225005701023,1.1874076688818955,4.290853773604213,0.0,1.4740727908003812,1.2270280583369302,0.0
2024-03-26,80.15735800246998,0.0,6.861572989501625,4.801198427706465,1.187401095785545,4.291383587800511,0.0,1.4740646308206746,1.2270212659152004,0.0
2024-03-27,80.10237388978962,0.0,6.856866278704002,4.851011008787542,1.1865865954417905,4.291759027312671,0.0,1.473053493006518,1.2383497069578637,0.0
2024-03-28,80.09927219720753,0.0,6.856600769827795,4.86409914913773,1.1865406489028512,4.282189024846828,0.0,1.4729964540091651,1.2383017560681013,0.0
