date,YUE XIU SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,ZHONGTAI INTERNATIONAL SECURITIES LTD,HUNG SING SECURITIES LTD,VALUABLE CAPITAL LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,HUATAI FINANCIAL HOLDINGS (HONG KONG),PHILLIP SECURITIES (HONG KONG) LTD
2025-03-27,90665000.0,55555000.0,25140000.0,7200000.0,4595000.0,935000.0,345000.0,470000.0,3380000.0,25265000.0
2025-03-31,89905000.0,36318500.0,22725000.0,0.0,5445000.0,7770000.0,3870000.0,6665000.0,2015000.0,10510000.0
2025-04-01,88855000.0,36376908.0,11755000.0,8890000.0,5880000.0,9710000.0,6260000.0,7230000.0,1535000.0,6510000.0
2025-04-02,0.0,35356908.0,11765000.0,0.0,5755000.0,10775000.0,7335000.0,6875000.0,1355000.0,6650000.0
2025-04-03,89765000.0,35776908.0,0.0,0.0,6075000.0,10780000.0,5645000.0,6210000.0,2180000.0,6640000.0
2025-04-07,89605000.0,36071908.0,0.0,0.0,6570000.0,11300000.0,4905000.0,6365000.0,2090000.0,6680000.0
2025-04-08,0.0,35361908.0,0.0,0.0,6920000.0,11465000.0,5445000.0,6190000.0,2575000.0,6670000.0
2025-04-09,87920000.0,36146908.0,13260000.0,11230000.0,6665000.0,11005000.0,6475000.0,4600000.0,2275000.0,6300000.0
2025-04-10,87170000.0,36256908.0,0.0,0.0,5990000.0,11000000.0,5960000.0,4480000.0,2755000.0,6280000.0
2025-04-11,87015000.0,35986908.0,0.0,11360000.0,6220000.0,11090000.0,6085000.0,4445000.0,2740000.0,6005000.0
2025-04-14,89410000.0,31587908.0,13255000.0,11340000.0,6835000.0,10785000.0,5615000.0,5080000.0,3640000.0,5995000.0
2025-04-15,87395000.0,31212908.0,0.0,12215000.0,8145000.0,10655000.0,5835000.0,4940000.0,3660000.0,6005000.0
2025-04-16,86865000.0,32267908.0,0.0,0.0,8200000.0,10485000.0,6250000.0,5110000.0,4075000.0,6050000.0
2025-04-17,86785000.0,30872908.0,0.0,12415000.0,7010000.0,10365000.0,6695000.0,5200000.0,4860000.0,5555000.0
2025-04-22,88500000.0,29859908.0,18705000.0,11135000.0,7535000.0,10860000.0,6830000.0,5120000.0,5260000.0,5495000.0
2025-04-23,95225000.0,29509908.0,0.0,10525000.0,6305000.0,9685000.0,6725000.0,5360000.0,5250000.0,5465000.0
2025-04-24,94595000.0,28359908.0,18695000.0,0.0,6875000.0,9375000.0,6575000.0,5320000.0,4865000.0,5350000.0
2025-04-25,93860000.0,26699908.0,0.0,0.0,7270000.0,8960000.0,6680000.0,5330000.0,4795000.0,5455000.0
2025-04-28,0.0,25474908.0,0.0,13525000.0,7140000.0,8990000.0,5830000.0,6820000.0,4150000.0,5170000.0
2025-04-29,93210000.0,25739908.0,18495000.0,11565000.0,6235000.0,9535000.0,6250000.0,7165000.0,4225000.0,5390000.0
2025-04-30,0.0,25839908.0,0.0,0.0,6080000.0,7260000.0,6415000.0,7025000.0,5385000.0,5410000.0
2025-05-02,93820000.0,25594908.0,18555000.0,10815000.0,7455000.0,6910000.0,6715000.0,6685000.0,5975000.0,5330000.0
