date,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,FUTU SECURITIES INTERNATIONAL,TIGER BROKERS (HK) GLOBAL LTD,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA)
2024-03-01,0.0,0.0,62.626786295239725,0.0,37.37321370476028,0.0,0.0,0.0,0.0
2024-03-07,0.0,0.0,62.63833867417705,0.0,37.36166132582295,0.0,0.0,0.0,0.0
2024-03-08,0.0,82.90889329838343,10.705585298923555,0.0,6.38552140269301,0.0,0.0,0.0,0.0
2024-03-11,50.547163109235285,40.91410610208367,5.353456706416897,0.0,3.185274082264148,0.0,0.0,0.0,0.0
2024-03-12,50.58225091352602,40.91095431200103,5.357172860393486,0.0,3.1496219140794666,0.0,0.0,0.0,0.0
2024-03-13,50.62458050100872,40.95150633108442,5.34744538900572,0.0,3.0764677789011348,0.0,0.0,0.0,0.0
2024-03-14,50.59741752918069,40.9674081247572,5.3556229411500045,0.0,3.0795514049121064,0.0,0.0,0.0,0.0
2024-03-15,50.554074105921345,41.02034248827863,5.348532865263929,0.0,3.077050540536098,0.0,0.0,0.0,0.0
2024-03-18,50.56523095697369,41.0073261831516,5.349713240645769,0.0,3.0777296192289327,0.0,0.0,0.0,0.0
2024-03-19,50.661863625,40.89458825321358,5.359936808378686,0.0,3.0836113134077396,0.0,0.0,0.0,0.0
2024-03-22,50.661863625,40.88511197384913,5.359936808378686,0.0,3.0930875927721826,0.0,0.0,0.0,0.0
2024-04-03,50.658777660324695,40.87292000046873,5.359610318698501,0.0,3.1086920205080726,0.0,0.0,0.0,0.0
2024-04-09,50.6203889386765,40.89294028208383,5.362235550953165,0.0,3.1244352282865138,0.0,0.0,0.0,0.0
2024-04-10,50.582026140044924,40.86826489591856,5.452903354233964,0.0,3.0968056098025465,0.0,0.0,0.0,0.0
2024-04-11,50.582026140044924,40.84616085872037,5.452903354233964,0.0,3.118909647000736,0.0,0.0,0.0,0.0
