date,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,SHANGHAI COMMERCIAL BANK LTD
2024-03-04,0.0,0.0,79.88621765461552,0.0,0.0,20.11378234538447,0.0,0.0,0.0
2024-03-14,0.0,29.70863683662851,45.29656607700312,0.0,0.0,11.404786680541102,0.0,13.590010405827263,0.0
2024-03-20,0.0,26.17813048720664,39.931964368401026,0.0,0.0,10.040298733271898,11.874601711893858,11.975004699226576,0.0
2024-03-21,0.0,26.317122710378083,39.64609595571133,0.0,0.0,10.077330152311385,11.929292882770437,12.030158298828763,0.0
2024-03-26,29.151078350006088,18.666344186704414,28.081071436412376,0.0,0.0,7.137707284255376,8.449440419081283,8.514358323540462,0.0
2024-03-28,29.16630178874337,18.6760922290843,28.102263909894415,0.0,0.0,7.134906957843112,8.453852932986937,8.466582181447864,0.0
2024-04-03,29.135870794817404,18.760942456629014,28.07294309203612,0.0,0.0,7.127462671218461,8.445032509022386,8.457748476276619,0.0
2024-04-09,29.130172051526365,18.763792699730647,28.067452248902164,0.0,0.0,7.13910806330961,8.443380728209233,8.456094208321977,0.0
2024-04-10,29.130172051526365,18.763792699730647,28.073971982293315,0.0,0.0,7.13258832991846,8.443380728209233,8.456094208321977,0.0
2024-04-11,29.12827296578755,18.762569430226467,28.085180370193058,0.0,0.0,7.125604026142296,8.442830278184427,8.455542929466201,0.0
2024-04-16,29.126374127647104,18.76134632020931,28.08986841340581,0.0,0.0,7.125139516326885,8.442279899926014,8.454991722484877,0.0
2024-04-24,28.53660614372756,18.91050956168389,28.313198645342556,0.0,0.0,7.208071226256855,8.509400767150357,8.52221365583878,0.0
2024-04-25,28.564759765826874,18.948897861132465,28.334554663574686,0.0,0.0,7.10337024992123,8.517795964963415,8.530621494581329,0.0
2024-04-26,28.562881129529956,18.960805161416598,28.3326911673197,0.0,0.0,7.096326316048737,8.517235769785836,8.530060455899175,0.0
2024-04-30,28.562881129529956,18.97395868563541,28.3326911673197,0.0,0.0,7.083172791829925,8.517235769785836,8.530060455899175,0.0
2024-05-02,28.566638649263187,19.01592052200313,28.277219759284495,0.0,0.0,7.090682228543542,8.518356233836098,8.531182607069548,0.0
2024-05-06,28.562881129529956,19.03314954462006,28.27350030833505,0.0,0.0,7.083172791829925,8.517235769785836,8.530060455899175,0.0
2024-05-07,28.540356753104025,19.018140210548687,28.25120413446745,0.0,0.0,7.156445988005363,8.51051917058434,8.523333743290133,0.0
2024-05-14,25.915889142764826,17.297180472917706,25.694740446811753,0.0,0.0,6.496902271617673,7.740398607965471,7.752053584441694,9.102835473480878
2024-05-16,25.92518629465424,17.351218162241125,25.62025149042151,0.0,0.0,6.49923299185255,7.743175424193787,7.754834581814865,9.106101054821927
2024-05-17,25.92518629465424,17.36317627262172,25.62025149042151,0.0,0.0,6.487274881471958,7.743175424193787,7.754834581814865,9.106101054821927
2024-05-27,25.923636306132163,17.362138180797672,25.61871973302962,0.0,0.0,6.486887026916485,7.7486911808618535,7.754370943696482,9.10555662856572
2024-05-28,25.89576817150665,17.38527962514208,25.537428951256448,0.0,0.0,6.605331248851644,7.734388999842063,7.746034927450799,9.095768075950321
2024-05-30,25.900408698964263,17.388395071145624,25.542005264245514,0.0,0.0,6.588594903288775,7.735775004083526,7.747423018645096,9.097398039627203
2024-05-31,25.901955911064906,17.389433801289904,25.54353106640867,0.0,0.0,6.583014788396248,7.7362371158916154,7.747885826270356,9.097941490678298
2024-06-03,25.89576817150665,17.38527962514208,25.47770624557063,0.0,0.0,6.6650539545374645,7.734388999842063,7.746034927450799,9.095768075950321
2024-06-11,25.89731482921825,17.386317983093942,25.47922793400163,0.0,0.0,6.659479406097472,7.734850946068638,7.746497569245222,9.096311332274844
2024-06-14,25.89731482921825,17.386317983093942,25.47922793400163,0.0,0.0,6.665452033367515,7.728878318798596,7.746497569245222,9.096311332274844
2024-06-17,25.891129306620293,17.382165295315733,25.47314227063446,0.0,0.0,6.628032798969585,7.57775227345257,7.744647333570769,9.30313072143659
2024-06-20,25.891129306620293,17.382165295315733,25.48508467207405,0.0,0.0,6.622061598249792,7.571781072732778,7.744647333570769,9.30313072143659
2024-06-21,25.8895833876307,17.39903996587543,25.483562997376918,0.0,0.0,6.609724516892279,7.571328973482615,7.744184912745516,9.302575245996541
2024-06-27,26.226258124597152,17.62530151347448,25.814957741767014,0.0,0.0,6.695679058138726,7.669788464022413,7.844892265949348,8.123122832050866
2024-06-28,26.234191987736246,17.630633449480325,25.82276717995265,0.0,0.0,6.667453006632574,7.672108697876983,7.847265471508573,8.125580206812655
2024-07-02,26.474460437156427,17.792105354663548,25.949364364214166,0.0,0.0,6.83842072656938,7.74237446636277,7.919135430679006,7.284139220354706
2024-07-08,26.472844076034814,17.791019082577467,25.953885422112837,0.0,0.0,6.838003216364709,7.74190176652792,7.918651938950918,7.2836944974313385
2024-07-15,26.868180267498854,18.05670393707096,24.798534370678787,0.0,0.0,6.989691846608115,7.857516618875373,8.03690631653433,7.392466642733582
2024-07-16,26.868180267498854,18.062900472395967,24.798534370678787,0.0,0.0,6.983495311283107,7.857516618875373,8.03690631653433,7.392466642733582
2024-07-17,26.89651335066533,18.15018196239755,24.65720208493857,0.0,0.0,6.9846564899725365,7.865802541838077,8.045381409852913,7.400262160335022
2024-07-22,26.84489192254568,18.115347026682464,24.60987847951565,0.0,0.0,7.16317720774833,7.850706014075426,8.029940223379068,7.386059126053376
2024-07-24,26.838245522938912,18.110861933738075,24.60378543629831,0.0,0.0,7.1861622368659965,7.8487622949680675,8.027952128522996,7.384230446667643
2024-07-25,26.921562800265654,18.011864547425827,24.680166003453174,0.0,0.0,7.053249957213284,7.873128176271396,8.052874290938055,7.407154224432613
2024-07-29,26.921562800265654,18.011864547425827,24.444229825306955,0.0,0.0,7.289186135359503,7.873128176271396,8.052874290938055,7.407154224432613
2024-07-31,26.902936259885685,18.011864547425827,24.444229825306955,0.0,0.0,7.307812675739468,7.873128176271396,8.052874290938055,7.407154224432613
2024-08-06,26.491728550238946,17.736555655657828,25.599089462336888,0.0,0.0,7.196113756190714,7.752788486438092,7.929787206269631,7.293936882867904
2024-08-08,26.491728550238946,17.736555655657828,25.599089462336888,0.0,0.0,7.043265120757606,7.905637121871199,7.929787206269631,7.293936882867904
2024-08-09,26.519291925806826,17.7550096928827,25.4788367292212,0.0,0.0,7.032232380945269,7.975065625753468,7.9380377703098475,7.301525875080685
2024-08-12,26.519291925806826,17.7550096928827,25.4727164225363,0.0,0.0,7.038352687630166,7.975065625753468,7.9380377703098475,7.301525875080685
2024-08-13,26.519291925806826,17.871295519895725,25.240144768510262,0.0,0.0,7.154638514643185,7.975065625753468,7.9380377703098475,7.301525875080685
2024-08-19,26.520915087145802,17.872389364936776,25.24168963732852,0.0,0.0,6.98369735116194,8.140812148915808,7.938523632302398,7.301972778208758
2024-08-20,26.52416200598792,17.96027748567501,25.244779942373462,0.0,0.0,6.886609465366185,8.141808817253596,7.939495534737727,7.302866748606096
2024-08-21,26.553420091450263,18.194575387543996,25.272626776096814,0.0,0.0,6.569412197860277,8.150789826272446,7.948253377448489,7.310922343327715
2024-08-22,26.553420091450263,18.68483002917536,25.272626776096814,0.0,0.0,6.079157556228913,8.150789826272446,7.948253377448489,7.310922343327715
2024-08-23,23.925943773596877,17.857487476360156,22.70010235476704,0.0,9.050223244821984,5.521795756450265,7.195175960442518,7.161769096115994,6.587502337445166
2024-08-26,23.91933988812231,17.852558567253237,22.693836818175033,0.0,9.047725260274598,5.520271665817327,7.220791352472354,7.1597923505650725,6.585684097320072
2024-08-28,23.920660373559187,17.853544131391264,22.695089648778442,0.0,9.048224746861559,5.515055840216411,7.221189981776853,7.160187612373058,6.586047665043221
2024-08-29,23.907462076427123,17.89335115789928,22.682567564022182,0.0,9.04323236133115,5.517530421800579,7.217205668236248,7.156236957075351,6.582413793208092
2024-08-30,23.940485165230076,17.918067027880827,22.713898720819635,0.0,8.917594876040596,5.525151719975587,7.227174707314066,7.166121780808337,6.591506001930875
2024-09-02,23.91010057057285,18.033279401798378,22.685070875395695,0.0,8.900758774510644,5.512621212483654,7.218002179168412,7.15702673933063,6.583140246739738
2024-09-03,23.912739647165996,18.035269824441162,22.687574739375034,0.0,8.901741195478456,5.502192171042791,7.218798865930314,7.15781669593029,6.583866860635956
2024-09-09,23.916699354566575,18.06585459371546,22.691331571880312,0.0,8.90321523362757,5.492063953787621,7.186876252290625,7.159001957851804,6.584957082280033
2024-09-10,23.916699354566575,18.06585459371546,22.691331571880312,0.0,8.90321523362757,5.54174091417364,7.137199291904607,7.159001957851804,6.584957082280033
2024-09-20,23.916699354566575,18.104492229571253,22.691331571880312,0.0,8.90321523362757,5.503103278317847,7.137199291904607,7.159001957851804,6.584957082280033
2024-09-23,23.916699354566575,18.242483786199085,22.691331571880312,0.0,8.90321523362757,5.503103278317847,6.999207735276777,7.159001957851804,6.584957082280033
2024-09-24,23.91801954846615,18.243490765274693,22.69258412588329,0.0,8.903706688165833,5.4978870808513145,6.99959408923043,7.15939713239373,6.585320569734557
2024-09-27,23.91537930639944,18.357383428200514,22.690079156143206,0.0,8.902723833339575,5.486241469522342,6.998821423971635,7.158606826932069,6.490764555491221
