date,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CHINA GALAXY INTERNATIONAL SECURITIES,CHINA MERCHANTS BANK CO LTD,FUTU SECURITIES INTERNATIONAL,HUATAI FINANCIAL HOLDINGS (HONG KONG),REALORD ASIA PACIFIC SECURITIES LTD,RUISEN PORT SECURITIES LTD
2024-06-05,0.0,0.0,0.0,0.0,1.3333333333333335,0.0,0.0,0.0
2024-06-06,0.0,0.0,0.0,0.0,1.3291666666666666,0.0,0.0,0.0
2024-06-07,0.0,2.1618055555555555,0.0,0.0,1.3340277777777778,0.0,0.0,1.4729166666666667
2024-06-11,0.0,0.0,0.0,0.0,1.338888888888889,1.8458333333333334,0.0,0.0
2024-06-12,1.4749999999999999,0.0,0.0,0.0,1.3125,0.0,0.0,0.0
2024-06-13,0.0,0.0,0.0,0.9479166666666667,1.2902777777777779,0.0,0.0,1.4680555555555557
2024-06-14,0.0,0.0,0.0,0.0,1.2645833333333334,0.0,0.0,0.0
2024-06-17,0.0,0.0,0.0,0.0,1.2527777777777778,0.0,0.0,0.0
2024-06-18,0.0,0.0,0.0,0.9493055555555555,1.23125,0.0,0.0,1.4604166666666667
2024-06-19,0.0,0.0,0.0,0.0,1.2263888888888888,0.0,0.0,1.4513888888888888
2024-06-20,0.0,0.0,0.0,0.0,1.20625,0.0,0.0,0.0
2024-06-21,0.0,0.0,0.0,0.0,1.2027777777777777,0.0,0.0,0.0
2024-06-24,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0
2024-06-25,0.0,0.0,0.0,0.0,1.2013888888888888,0.0,0.0,0.0
2024-06-27,1.4791666666666667,0.0,0.0,0.0,1.2,1.840277777777778,0.0,0.0
2024-07-03,0.0,0.0,0.0,0.0,1.2069444444444446,0.0,0.0,0.0
2024-07-05,0.0,0.0,0.0,0.0,1.2125000000000001,0.0,0.0,0.0
2024-07-08,0.0,0.0,0.0,0.9479166666666667,1.2097222222222224,0.0,0.0,0.0
2024-07-09,0.0,0.0,0.0,0.0,1.2090277777777778,0.0,0.0,0.0
2024-07-10,0.0,0.0,0.0,0.0,1.2097222222222224,0.0,0.0,0.0
2024-07-11,0.0,0.0,0.0,0.0,1.2104166666666667,1.8388888888888888,0.0,0.0
2024-07-12,0.0,0.0,0.0,0.0,1.2180555555555554,0.0,0.0,0.0
2024-07-15,1.4749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-16,0.0,0.0,0.0,0.0,1.2159722222222222,0.0,0.0,0.0
2024-07-17,0.0,0.0,0.0,0.0,1.215277777777778,0.0,0.0,0.0
2024-07-18,0.0,0.0,0.0,0.0,1.2145833333333333,0.0,0.0,0.0
2024-07-19,0.0,0.0,0.0,0.9458333333333333,1.1708333333333332,1.898611111111111,0.0,0.0
2024-07-22,0.0,0.0,0.0,0.0,1.1652777777777779,1.9034722222222225,0.0,0.0
2024-07-23,0.0,0.0,0.0,0.9416666666666667,1.2173611111111111,1.9118055555555555,0.0,0.0
2024-07-24,0.0,0.0,0.0,0.0,1.2798611111111111,1.9208333333333334,0.0,0.0
2024-07-25,0.0,0.0,0.0,0.0,1.3187499999999999,1.9284722222222224,1.0999999999999999,0.0
2024-07-26,0.0,0.0,0.0,0.0,0.0,1.9375,0.0,0.0
2024-07-29,0.0,0.0,0.0,0.0,1.325,1.9444444444444444,0.0,0.0
2024-07-30,0.0,0.0,0.0,0.0,0.0,1.95,0.0,0.0
2024-07-31,0.0,0.0,0.0,0.0,0.0,1.9673611111111111,0.0,0.0
2024-08-01,0.0,0.0,0.0,0.9326388888888889,1.3138888888888889,1.9805555555555556,0.0,0.0
2024-08-02,0.0,0.0,0.0,0.0,1.3111111111111111,1.984722222222222,0.0,0.0
2024-08-05,0.0,0.0,0.0,0.9249999999999999,1.3027777777777776,2.015972222222222,0.0,0.0
2024-08-06,0.0,0.0,0.0,0.0,0.0,2.0319444444444446,0.0,0.0
2024-08-07,0.0,0.0,0.0,0.0,0.0,2.040972222222222,0.0,0.0
2024-08-08,0.0,0.0,0.0,0.0,1.3034722222222221,2.0493055555555557,0.0,0.0
2024-08-09,0.0,0.0,0.0,0.0,1.3041666666666667,0.0,0.0,0.0
2024-08-12,0.0,0.0,0.0,0.0,0.0,2.060416666666667,0.0,0.0
2024-08-14,0.0,0.0,0.0,0.0,1.3048611111111112,2.0659722222222223,0.0,0.0
2024-08-15,0.0,0.0,0.0,0.0,1.3083333333333333,0.0,0.0,0.0
2024-08-16,0.0,0.0,0.0,0.0,0.0,2.0770833333333334,0.0,0.0
2024-08-19,0.0,0.0,0.0,0.0,1.3097222222222222,2.0812500000000003,0.0,1.4395833333333334
2024-08-20,0.0,0.0,0.0,0.0,1.3,2.1,0.0,0.0
2024-08-21,0.0,0.0,0.0,0.0,1.3083333333333333,0.0,0.0,0.0
2024-08-22,0.0,0.0,0.0,0.0,1.3145833333333334,0.0,0.0,0.0
2024-08-23,0.0,0.0,0.0,0.0,0.0,2.104861111111111,0.0,0.0
2024-08-26,0.0,0.0,0.0,0.0,1.2826388888888889,2.1381944444444443,0.0,0.0
2024-08-27,0.0,0.0,0.0,0.0,1.2833333333333334,2.1576388888888887,0.0,0.0
2024-08-28,0.0,0.0,0.0,0.9312499999999999,1.25,2.1791666666666667,0.0,0.0
2024-08-29,0.0,0.0,0.0,0.0,1.242361111111111,0.0,0.0,0.0
2024-08-30,0.0,0.0,0.0,0.0,1.2125000000000001,2.170138888888889,0.0,0.0
2024-09-02,0.0,0.0,0.0,0.0,1.2020833333333334,2.1791666666666667,0.0,0.0
2024-09-03,1.4236111111111112,0.0,0.0,0.0,1.2395833333333333,2.170138888888889,0.0,1.4333333333333333
2024-09-04,0.0,0.0,0.0,0.0,1.2493055555555557,0.0,0.0,0.0
2024-09-05,0.0,0.0,0.0,0.0,1.2527777777777778,0.0,0.0,0.0
2024-09-09,0.0,0.0,0.0,0.0,1.2604166666666665,2.1756944444444444,0.0,1.4277777777777778
2024-09-10,0.0,0.0,17.77777777777778,0.0,1.2902777777777779,0.0,0.0,0.0
2024-09-11,1.4229166666666666,0.0,0.0,0.0,1.3048611111111112,2.1729166666666666,0.0,1.4194444444444445
2024-09-12,1.4208333333333334,0.0,0.0,0.0,1.3145833333333334,2.1534722222222222,0.0,1.4131944444444444
2024-09-13,0.0,0.0,0.0,0.0,1.3118055555555557,0.0,0.0,0.0
2024-09-16,0.0,0.0,0.0,0.0,1.3083333333333333,0.0,0.0,0.0
2024-09-17,1.3972222222222224,0.0,0.0,0.0,1.3354166666666667,0.0,0.0,0.0
2024-09-23,0.0,0.0,0.0,0.0,1.3381944444444445,0.0,0.0,0.0
2024-09-24,0.0,0.0,0.0,0.0,1.36875,0.0,0.0,0.0
2024-09-25,0.0,0.0,0.0,0.0,1.370138888888889,0.0,0.0,0.0
2024-09-26,0.0,0.0,0.0,0.0,0.0,2.1527777777777777,0.0,0.0
2024-09-27,0.0,0.0,0.0,0.0,1.363888888888889,0.0,0.0,0.0
2024-09-30,1.35,0.0,0.0,0.0,1.3833333333333333,0.0,0.0,1.4076388888888889
2024-10-02,1.3361111111111112,0.0,0.0,0.9319444444444445,1.3972222222222224,2.158333333333333,0.0,1.4006944444444445
2024-10-03,1.2944444444444445,0.0,0.0,0.9270833333333334,1.4152777777777779,2.178472222222222,1.0888888888888888,0.0
2024-10-04,1.2861111111111112,0.0,0.0,0.9194444444444444,0.0,2.183333333333333,0.0,1.39375
2024-10-07,0.0,0.0,0.0,0.920138888888889,1.4201388888888888,2.1861111111111113,0.0,0.0
2024-10-08,0.0,0.0,0.0,0.0,1.4194444444444445,0.0,0.0,0.0
2024-10-09,0.0,2.1624999999999996,0.0,0.0,1.4180555555555556,2.180555555555556,0.0,0.0
2024-10-10,0.0,2.163194444444444,0.0,0.0,1.4152777777777779,2.199305555555555,0.0,0.0
2024-10-14,0.0,0.0,0.0,0.0,1.4180555555555556,2.20625,0.0,0.0
2024-10-15,0.0,0.0,0.0,0.9215277777777777,1.4222222222222223,0.0,0.0,0.0
2024-10-16,0.0,2.1618055555555555,0.0,0.0,1.4319444444444445,2.2069444444444444,0.0,0.0
2024-10-17,0.0,0.0,0.0,0.0,1.4388888888888889,2.214583333333333,0.0,0.0
2024-10-21,0.0,0.0,0.0,0.0,1.4402777777777778,0.0,0.0,0.0
2024-10-22,0.0,0.0,0.0,0.0,1.4465277777777779,0.0,0.0,0.0
2024-10-23,0.0,0.0,0.0,0.0,1.4458333333333333,0.0,0.0,0.0
2024-10-24,0.0,0.0,0.0,0.0,1.4451388888888888,2.2201388888888887,0.0,0.0
2024-10-28,0.0,0.0,0.0,0.0,1.4479166666666665,0.0,0.0,0.0
2024-10-29,0.0,0.0,0.0,0.0,1.4465277777777779,0.0,0.0,0.0
2024-10-30,0.0,0.0,0.0,0.0,1.4541666666666666,2.220833333333333,0.0,0.0
2024-10-31,0.0,0.0,0.0,0.0,1.4569444444444444,2.2381944444444444,0.0,0.0
2024-11-01,0.0,0.0,0.0,0.0,1.465277777777778,2.252083333333333,0.0,0.0
2024-11-04,0.0,0.0,0.0,0.0,1.4659722222222222,0.0,0.0,0.0
2024-11-05,0.0,0.0,0.0,0.0,1.4666666666666666,0.0,0.0,0.0
2024-11-06,0.0,0.0,0.0,0.0,1.4965277777777777,0.0,0.0,0.0
2024-11-07,0.0,0.0,0.0,0.0,1.4916666666666667,2.2527777777777778,0.0,0.0
2024-11-08,0.0,0.0,0.0,0.0,1.4972222222222222,0.0,0.0,0.0
2024-11-11,0.0,0.0,0.0,0.0,1.5055555555555555,2.2534722222222223,0.0,0.0
2024-11-12,0.0,0.0,0.0,0.0,1.5048611111111112,0.0,0.0,0.0
2024-11-13,0.0,0.0,0.0,0.0,1.5069444444444444,0.0,0.0,0.0
2024-11-14,0.0,0.0,0.0,0.0,1.5256944444444445,0.0,0.0,0.0
2024-11-15,0.0,0.0,0.0,0.0,0.0,2.2555555555555555,0.0,0.0
2024-11-18,1.3118055555555557,0.0,0.0,0.0,1.5340277777777778,2.263888888888889,0.0,0.0
2024-11-19,1.3125,0.0,0.0,0.9305555555555555,1.5236111111111112,2.2624999999999997,0.0,0.0
2024-11-20,1.3145833333333334,0.0,0.0,0.0,1.5215277777777778,0.0,0.0,0.0
2024-11-21,0.0,0.0,0.0,0.0,1.4909722222222221,2.252083333333333,0.0,0.0
2024-11-22,1.3208333333333333,0.0,0.0,0.0,1.4874999999999998,2.25625,0.0,0.0
2024-11-25,1.3222222222222222,0.0,0.0,0.0,1.4826388888888888,0.0,0.0,0.0
2024-11-26,1.3263888888888888,0.0,0.0,0.0,1.4729166666666667,0.0,0.0,0.0
2024-11-27,1.3354166666666667,0.0,0.0,0.0,1.4694444444444443,2.2458333333333336,0.0,0.0
2024-11-28,1.3361111111111112,0.0,0.0,0.0,1.4666666666666666,0.0,0.0,0.0
2024-11-29,1.3486111111111112,0.0,0.0,0.0,1.465277777777778,2.2381944444444444,0.0,0.0
2024-12-02,1.3479166666666667,0.0,0.0,0.0,1.4736111111111112,2.242361111111111,0.0,0.0
2024-12-03,1.3506944444444444,0.0,0.0,0.0,1.4874999999999998,0.0,0.0,0.0
2024-12-04,1.351388888888889,0.0,0.0,0.9298611111111111,1.488888888888889,0.0,0.0,0.0
2024-12-05,0.0,0.0,0.0,0.0,1.4847222222222223,2.2430555555555554,0.0,0.0
2024-12-06,1.3493055555555555,0.0,0.0,0.0,1.479861111111111,2.2527777777777778,0.0,0.0
2024-12-09,1.3527777777777779,0.0,0.0,0.0,1.4805555555555556,2.254861111111111,0.0,0.0
2024-12-10,1.3520833333333333,2.1624999999999996,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-11,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-12,1.35625,0.0,0.0,0.0,1.488888888888889,0.0,0.0,0.0
2024-12-13,1.35,0.0,0.0,0.0,1.4965277777777777,0.0,0.0,0.0
2024-12-16,1.3534722222222222,0.0,0.0,0.0,1.5138888888888888,2.260416666666667,0.0,0.0
2024-12-17,1.351388888888889,0.0,0.0,0.0,1.5152777777777777,2.2708333333333335,0.0,0.0
2024-12-18,1.3444444444444446,0.0,0.0,0.0,1.5180555555555555,2.2756944444444445,0.0,0.0
2024-12-19,0.0,0.0,0.0,0.0,1.5229166666666667,2.279861111111111,0.0,0.0
2024-12-20,1.34375,0.0,17.797222222222224,0.0,1.5305555555555554,2.2854166666666664,0.0,0.0
2024-12-23,1.3381944444444445,0.0,17.77777777777778,0.0,1.5319444444444446,0.0,0.0,0.0
2024-12-27,1.3395833333333333,0.0,0.0,0.0,1.53125,0.0,0.0,0.0
2024-12-30,1.338888888888889,0.0,0.0,0.9305555555555555,1.5326388888888889,0.0,0.0,0.0
2025-01-02,1.3395833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-03,1.3381944444444445,0.0,0.0,0.0,0.0,2.2909722222222224,0.0,0.0
2025-01-06,1.3409722222222222,0.0,0.0,0.0,1.526388888888889,0.0,0.0,0.0
2025-01-07,0.0,0.0,0.0,0.0,1.5284722222222222,2.2868055555555555,0.0,0.0
2025-01-08,1.3430555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-09,1.338888888888889,0.0,0.0,0.0,1.5291666666666668,0.0,0.0,0.0
2025-01-10,1.3361111111111112,0.0,0.0,0.0,1.5347222222222223,2.2895833333333333,0.0,0.0
2025-01-13,1.3333333333333335,0.0,0.0,0.0,1.5375,0.0,0.0,0.0
2025-01-14,1.3319444444444444,0.0,0.0,0.0,1.538888888888889,0.0,0.0,0.0
2025-01-15,1.3222222222222222,0.0,0.0,0.0,1.5486111111111112,0.0,0.0,0.0
2025-01-16,1.3263888888888888,0.0,0.0,0.0,0.0,2.2888888888888888,0.0,0.0
2025-01-21,1.3222222222222222,0.0,0.0,0.0,1.5569444444444445,0.0,0.0,0.0
2025-01-22,1.3270833333333334,0.0,0.0,0.0,1.55625,2.286111111111111,0.0,0.0
2025-01-23,1.3298611111111112,0.0,0.0,0.0,1.5527777777777778,0.0,0.0,0.0
2025-01-24,1.3416666666666668,0.0,0.0,0.0,1.5638888888888889,2.302777777777778,0.0,0.0
2025-01-27,1.3520833333333333,0.0,0.0,0.0,1.565972222222222,2.2972222222222225,0.0,0.0
2025-02-03,1.3645833333333333,0.0,0.0,0.0,1.567361111111111,0.0,0.0,0.0
2025-02-04,1.38125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-05,1.3854166666666667,0.0,0.0,0.0,1.5625,2.298611111111111,0.0,0.0
2025-02-06,1.3902777777777777,0.0,0.0,0.0,0.0,2.3180555555555555,0.0,0.0
2025-02-07,1.3895833333333334,0.0,0.0,0.0,1.5631944444444446,0.0,0.0,0.0
2025-02-10,1.3888888888888888,0.0,0.0,0.0,0.0,2.313888888888889,0.0,0.0
2025-02-11,0.0,0.0,0.0,0.0,1.5645833333333334,0.0,0.0,0.0
2025-02-12,1.4034722222222222,0.0,0.0,0.0,1.5618055555555554,2.3020833333333335,0.0,0.0
2025-02-13,1.4020833333333333,0.0,0.0,0.0,1.5631944444444446,0.0,0.0,0.0
2025-02-14,1.3944444444444446,0.0,0.0,0.0,1.5638888888888889,2.302777777777778,0.0,0.0
2025-02-18,1.39375,0.0,0.0,0.0,1.55,0.0,0.0,0.0
2025-02-19,0.0,0.0,0.0,0.0,1.5493055555555555,0.0,0.0,0.0
2025-02-20,0.0,0.0,0.0,0.9291666666666667,1.5479166666666666,0.0,0.0,0.0
2025-02-21,1.3930555555555555,0.0,0.0,0.0,1.5472222222222223,0.0,0.0,0.0
2025-02-24,1.4048611111111111,0.0,0.0,0.0,1.5423611111111113,2.2972222222222225,0.0,0.0
2025-02-25,1.4305555555555556,0.0,0.0,0.9361111111111111,1.4826388888888888,2.2868055555555555,0.0,0.0
2025-02-26,1.4569444444444444,2.1618055555555555,0.0,0.9555555555555555,1.4756944444444444,0.0,0.0,0.0
2025-02-27,1.48125,0.0,0.0,0.0,1.4777777777777779,0.0,0.0,0.0
2025-02-28,1.4777777777777779,0.0,0.0,0.9833333333333333,1.4805555555555556,0.0,0.0,0.0
2025-03-03,1.4972222222222222,0.0,0.0,0.9805555555555555,1.4680555555555557,2.2840277777777778,0.0,0.0
2025-03-04,1.5145833333333334,0.0,0.0,0.9840277777777777,1.4597222222222221,2.28125,0.0,0.0
2025-03-05,1.5347222222222223,0.0,0.0,1.0118055555555556,1.4409722222222223,0.0,0.0,0.0
2025-03-06,1.5256944444444445,0.0,0.0,1.0395833333333333,0.0,0.0,0.0,0.0
2025-03-07,1.5104166666666667,0.0,0.0,1.0479166666666666,0.0,0.0,0.0,0.0
2025-03-10,1.5145833333333334,0.0,0.0,1.0791666666666666,1.4451388888888888,0.0,0.0,0.0
2025-03-11,1.5215277777777778,0.0,0.0,0.0,1.4423611111111112,0.0,0.0,0.0
2025-03-12,1.5319444444444446,0.0,0.0,1.0743055555555556,1.4465277777777779,2.270138888888889,0.0,0.0
2025-03-13,1.5277777777777777,2.155555555555556,0.0,0.0,1.4451388888888888,0.0,0.0,0.0
2025-03-14,1.5284722222222222,0.0,0.0,0.0,1.4458333333333333,0.0,0.0,0.0
2025-03-17,1.5270833333333333,0.0,0.0,0.0,1.4444444444444444,2.2645833333333334,0.0,0.0
2025-03-18,1.46875,0.0,17.794444444444444,1.0812499999999998,1.4609722222222221,2.2576388888888888,0.0,0.0
2025-03-19,1.4673611111111111,0.0,17.77777777777778,0.0,1.4715277777777778,0.0,0.0,0.0
